clr1p1	clr2p1	clr3p1	clr4p1	clr1p2	clr2p2	clr3p2	clr4p2	Hshow	Htest	stim_var	blank_clr	difficulty	answ	l_test	r_test	realclr2	realclr3	realclr	training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	CC_resp_2.keys	CC_resp_2.corr	CC_resp_2.rt	CC_resp.keys	CC_resp.corr	CC_resp.rt	participant	session	date	expName	psychopyVersion	frameRate
#F57F17	#FFFDE7	#FDD835	#FFF176	#BF360C	#FBE9E7	#000000	#FF8A65	yellow	d_orange	l_rand2	clr3	high	right	#FF5722	#F4511E	#FBE9E7	#F4511E	#F4511E	0	0	0	53	NA	NA	NA	NA	None	0	NA	NA	NA	NA	dkv	1	2026-02-10_15h09.16.993	MCT	2023.1.0	59.99502040332685
#FB8C00	#E65100	#FFF3E0	#FFB74D	#FDD835	#000000	#FFFDE7	#FFF176	orange	yellow	l_rand1	clr2	high	left	#F57F17	#F9A825	#F57F17	#FFFDE7	#F57F17	0	1	1	23	NA	NA	NA	NA	left	1	0.8613885999657214	NA	NA	NA	dkv	1	2026-02-10_15h09.16.993	MCT	2023.1.0	59.99502040332685
#8E24AA	#4A148C	#F3E5F5	#BA68C8	#5E35B1	#000000	#EDE7F6	#9575CD	purple	d_purple	l_rand1	clr2	high	left	#311B92	#4527A0	#311B92	#EDE7F6	#311B92	0	2	2	20	NA	NA	NA	NA	left	1	0.6980194000061601	NA	NA	NA	dkv	1	2026-02-10_15h09.16.993	MCT	2023.1.0	59.99502040332685
#EDE7F6	#9575CD	#5E35B1	#311B92	#FFF8E1	#000000	#FFB300	#FF6F00	d_purple	amber	l_down	clr2	low	right	#FFC107	#FFD54F	#FFD54F	#FFB300	#FFD54F	0	3	3	8	NA	NA	NA	NA	right	1	0.662246200023219	NA	NA	NA	dkv	1	2026-02-10_15h09.16.993	MCT	2023.1.0	59.99502040332685
#004D40	#00897B	#4DB6AC	#E0F2F1	#3E2723	#000000	#A1887F	#EFEBE9	teal	brown	l_up	clr2	low	left	#6D4C41	#4E342E	#6D4C41	#A1887F	NA	NA	NA	NA	NA	0	0	0	67	NA	NA	NA	left	1	0.994440299924463	dkv	1	2026-02-10_15h09.16.993	MCT	2023.1.0	59.99502040332685
#EFEBE9	#A1887F	#6D4C41	#3E2723	#E8F5E9	#000000	#43A047	#1B5E20	brown	green	l_down	clr2	high	left	#81C784	#A5D6A7	#81C784	#43A047	NA	NA	NA	NA	NA	0	1	1	2	NA	NA	NA	left	1	0.9444691999815404	dkv	1	2026-02-10_15h09.16.993	MCT	2023.1.0	59.99502040332685
#EDE7F6	#9575CD	#5E35B1	#311B92	#FFF8E1	#000000	#FFB300	#FF6F00	d_purple	amber	l_down	clr2	low	right	#FFC107	#FFD54F	#FFD54F	#FFB300	NA	NA	NA	NA	NA	0	2	2	8	NA	NA	NA	right	1	0.5239484999328852	dkv	1	2026-02-10_15h09.16.993	MCT	2023.1.0	59.99502040332685
#33691E	#7CB342	#AED581	#F1F8E9	#880E4F	#000000	#F06292	#FCE4EC	l_green	pink	l_up	clr2	high	left	#D81B60	#E91E63	#D81B60	#F06292	NA	NA	NA	NA	NA	0	3	3	61	NA	NA	NA	left	1	1.000128100044094	dkv	1	2026-02-10_15h09.16.993	MCT	2023.1.0	59.99502040332685
#E0F2F1	#4DB6AC	#00897B	#004D40	#FBE9E7	#000000	#F4511E	#BF360C	lime	d_orange	l_down	clr2	low	right	#FF5722	#FF8A65	#FF8A65	#F4511E	NA	NA	NA	NA	NA	0	4	4	9	NA	NA	NA	right	1	0.6137294999789447	dkv	1	2026-02-10_15h09.16.993	MCT	2023.1.0	59.99502040332685
#FFF3E0	#FFB74D	#FB8C00	#E65100	#FCE4EC	#F06292	#000000	#880E4F	orange	pink	l_down	clr3	low	left	#D81B60	#EC407A	#F06292	#D81B60	NA	NA	NA	NA	NA	0	5	5	15	NA	NA	NA	left	1	0.7409124000696465	dkv	1	2026-02-10_15h09.16.993	MCT	2023.1.0	59.99502040332685
#FF6F00	#FFF8E1	#FFB300	#FFD54F	#4A148C	#000000	#8E24AA	#BA68C8	amber	purple	l_rand2	clr2	high	right	#E1BEE7	#F3E5F5	#F3E5F5	#8E24AA	NA	NA	NA	NA	NA	0	6	6	44	NA	NA	NA	right	1	0.520124000031501	dkv	1	2026-02-10_15h09.16.993	MCT	2023.1.0	59.99502040332685
#3E2723	#6D4C41	#A1887F	#EFEBE9	#006064	#00ACC1	#000000	#E0F7FA	brown	cyan	l_up	clr3	low	left	#4DD0E1	#B2EBF2	#00ACC1	#4DD0E1	NA	NA	NA	NA	NA	0	7	7	76	NA	NA	NA	right	0	0.7942614000057802	dkv	1	2026-02-10_15h09.16.993	MCT	2023.1.0	59.99502040332685
#FDD835	#F57F17	#FFFDE7	#FFF176	#FFB300	#FF6F00	#000000	#FFD54F	yellow	amber	l_rand1	clr3	high	left	#FFF8E1	#FFECB3	#FF6F00	#FFF8E1	NA	NA	NA	NA	NA	0	8	8	30	NA	NA	NA	left	1	0.7261017999844626	dkv	1	2026-02-10_15h09.16.993	MCT	2023.1.0	59.99502040332685
#1B5E20	#43A047	#81C784	#E8F5E9	#4A148C	#000000	#BA68C8	#F3E5F5	green	purple	l_up	clr2	low	right	#6A1B9A	#8E24AA	#8E24AA	#BA68C8	NA	NA	NA	NA	NA	0	9	9	69	NA	NA	NA	right	1	0.7714668000116944	dkv	1	2026-02-10_15h09.16.993	MCT	2023.1.0	59.99502040332685
#4A148C	#8E24AA	#BA68C8	#F3E5F5	#0D47A1	#000000	#64B5F6	#E3F2FD	purple	blue	l_up	clr2	high	left	#1E88E5	#2196F3	#1E88E5	#64B5F6	NA	NA	NA	NA	NA	0	10	10	60	NA	NA	NA	right	0	1.062336599919945	dkv	1	2026-02-10_15h09.16.993	MCT	2023.1.0	59.99502040332685
#3949AB	#1A237E	#E8EAF6	#7986CB	#7CB342	#000000	#F1F8E9	#AED581	indigo	l_green	l_rand1	clr2	high	left	#33691E	#558B2F	#33691E	#F1F8E9	NA	NA	NA	NA	NA	0	11	11	24	NA	NA	NA	left	1	0.9602682000258936	dkv	1	2026-02-10_15h09.16.993	MCT	2023.1.0	59.99502040332685
#004D40	#E0F2F1	#00897B	#4DB6AC	#3E2723	#EFEBE9	#000000	#A1887F	teal	brown	l_rand2	clr3	high	right	#5D4037	#6D4C41	#EFEBE9	#6D4C41	NA	NA	NA	NA	NA	0	12	12	52	NA	NA	NA	left	0	0.7769510999787599	dkv	1	2026-02-10_15h09.16.993	MCT	2023.1.0	59.99502040332685
#1A237E	#E8EAF6	#3949AB	#7986CB	#01579B	#E1F5FE	#000000	#4FC3F7	indigo	l_blue	l_rand2	clr3	high	right	#03A9F4	#039BE5	#E1F5FE	#039BE5	NA	NA	NA	NA	NA	0	13	13	51	NA	NA	NA	right	1	0.6239140999969095	dkv	1	2026-02-10_15h09.16.993	MCT	2023.1.0	59.99502040332685
#3949AB	#1A237E	#E8EAF6	#7986CB	#FB8C00	#000000	#FFF3E0	#FFB74D	indigo	orange	l_rand1	clr2	low	right	#F57C00	#E65100	#E65100	#FFF3E0	NA	NA	NA	NA	NA	0	14	14	26	NA	NA	NA	right	1	0.6256649000570178	dkv	1	2026-02-10_15h09.16.993	MCT	2023.1.0	59.99502040332685
#880E4F	#FCE4EC	#D81B60	#F06292	#33691E	#000000	#7CB342	#AED581	pink	l_green	l_rand2	clr2	high	left	#F1F8E9	#DCEDC8	#F1F8E9	#7CB342	NA	NA	NA	NA	NA	0	15	15	40	NA	NA	NA	left	1	0.7055779999354854	dkv	1	2026-02-10_15h09.16.993	MCT	2023.1.0	59.99502040332685
#00897B	#004D40	#E0F2F1	#4DB6AC	#3949AB	#1A237E	#000000	#7986CB	lime	indigo	l_rand1	clr3	low	left	#E8EAF6	#9FA8DA	#1A237E	#E8EAF6	NA	NA	NA	NA	NA	0	16	16	37	NA	NA	NA	left	1	0.5158471999457106	dkv	1	2026-02-10_15h09.16.993	MCT	2023.1.0	59.99502040332685
#E8EAF6	#7986CB	#3949AB	#1A237E	#FFF3E0	#FFB74D	#000000	#E65100	indigo	orange	l_down	clr3	high	left	#FB8C00	#FF9800	#FFB74D	#FB8C00	NA	NA	NA	NA	NA	0	17	17	10	NA	NA	NA	left	1	0.5925437998957932	dkv	1	2026-02-10_15h09.16.993	MCT	2023.1.0	59.99502040332685
