training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	arsal_train.thisRepN	arsal_train.thisTrialN	arsal_train.thisN	arsal_train.thisIndex	arsal_s2.thisRepN	arsal_s2.thisTrialN	arsal_s2.thisN	arsal_s2.thisIndex	arsal_s3.thisRepN	arsal_s3.thisTrialN	arsal_s3.thisN	arsal_s3.thisIndex	arsal_s4.thisRepN	arsal_s4.thisTrialN	arsal_s4.thisN	arsal_s4.thisIndex	blank.started	blank.stopped	matrix_resp.started	sequence	repeat_idx	matrix_resp.keys	matrix_resp.rt	trainconf.keys	trainconf.rt	matrix_resp_2.started	matrix_resp_2.keys	matrix_resp_2.rt	matrix_resp_3.started	matrix_resp_3.keys	matrix_resp_3.rt	byebye_text.started	participant	session	date	expName	psychopyVersion	frameRate	...43
0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	175.1071695999708	175.65707800001837	175.65707800001837	[[(-1, -1, 1), (1, -1, 1), (1, 1, -1), (1, 1, -1), (1, -1, 1), (-1, -1, 1), (-1, -1, 1), (1, 1, -1), (1, 1, -1)], [(1, 0.5, -1), (1, -1, -1), (1, -1, -1), (1, 0.5, -1), (-1, 1, -1), (-1, -1, 1), (-1, 1, -1), (1, -1, -1), (-1, -1, 1)], [(1, 1, -1), (-1, -1, 1), (1, 0.5, -1), (-1, -1, 1), (1, 0.5, -1), (-1, -1, 1), (1, 0.5, -1), (1, 1, -1), (1, 0.5, -1)], [(-1, -1, 1), (-1, -1, 1), (1, -1, -1), (1, -1, 1), (1, -1, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, -1)], [(-1, -1, 1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (1, 0.5, -1), (1, 0.5, -1), (-1, 1, -1), (1, 1, -1), (1, 1, -1)], [(1, -1, 1), (-1, 1, -1), (-1, -1, 1), (1, -1, -1), (1, -1, 1), (1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, -1, 1)], [(1, 0.5, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, 0.5, -1), (1, -1, 1), (1, 0.5, -1), (1, -1, 1), (1, 0.5, -1)], [(1, 1, -1), (-1, -1, 1), (1, 0.5, -1), (-1, -1, 1), (1, 0.5, -1), (-1, -1, 1), (1, 0.5, -1), (1, 1, -1), (1, 0.5, -1)]]	2	['left', 'left', 'left', 'left', 'left', 'left', 'left']	[4.368840500013903, 7.674512300058268, 10.538919999962673, 12.90134099998977, 15.861476000049151, 19.01007049996406, 22.647577099967748]	NA	NA	NA	NA	NA	NA	NA	NA	NA	dkv	001	2026-02-10_14h52.04.855	CMT	2023.1.0	60.0463918041003	NA
0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	199.63694250001572	NA	NA	NA	NA	NA	NA	['n']	[2.928654000046663]	NA	NA	NA	NA	NA	NA	NA	dkv	001	2026-02-10_14h52.04.855	CMT	2023.1.0	60.0463918041003	NA
1	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	203.0699116999749	203.6031834000023	203.6031834000023	[[(-1, 1, -1), (-1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, 0.5, -1), (1, 0.5, -1), (1, 0.5, -1)], [(1, -1, -1), (-1, -1, 1), (1, -1, -1), (-1, 1, -1), (-1, 1, -1), (-1, -1, 1), (1, -1, -1), (-1, 1, -1), (1, 0.5, -1)], [(-1, -1, 1), (-1, 1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (1, -1, -1), (1, -1, 1), (-1, 1, -1), (1, -1, -1)], [(1, -1, 1), (-1, 1, -1), (1, 1, -1), (1, -1, 1), (1, 1, -1), (-1, -1, 1), (1, -1, 1), (-1, 1, -1), (1, -1, 1)], [(1, -1, 1), (1, -1, 1), (1, -1, -1), (1, -1, -1), (1, -1, 1), (-1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1)], [(1, 1, -1), (1, -1, 1), (1, 1, -1), (1, -1, 1), (1, 1, -1), (1, -1, 1), (1, 1, -1), (1, 1, -1), (1, 1, -1)], [(1, -1, -1), (1, -1, -1), (1, -1, -1), (1, 0.5, -1), (-1, 1, -1), (1, -1, -1), (1, -1, -1), (1, 0.5, -1), (1, -1, -1)], [(-1, -1, 1), (-1, 1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (1, -1, -1), (1, -1, 1), (-1, 1, -1), (1, -1, -1)]]	2	['left', 'left', 'left', 'left', 'left', 'left', 'left']	[3.8363868000451475, 7.153664799989201, 10.268919400055893, 13.155363199999556, 16.168852900038473, 18.993048100033775, 22.34148470009677]	NA	NA	NA	NA	NA	NA	NA	NA	NA	dkv	001	2026-02-10_14h52.04.855	CMT	2023.1.0	60.0463918041003	NA
1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	227.59969559998717	NA	NA	NA	NA	NA	NA	['y']	[11.527672299998812]	NA	NA	NA	NA	NA	NA	NA	dkv	001	2026-02-10_14h52.04.855	CMT	2023.1.0	60.0463918041003	NA
NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	260.22873590001836	260.76187030004803	260.76187030004803	[[(1, 1, -1), (1, 1, -1), (1, -1, -1), (-1, -1, 1), (1, 1, -1), (1, -1, -1), (1, 1, -1), (1, 1, -1), (1, -1, -1)], [(1, -1, -1), (1, -1, 1), (-1, 1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, -1), (1, -1, 1)], [(-1, -1, 1), (-1, -1, 1), (-1, 1, -1), (-1, 1, -1), (1, -1, -1), (1, -1, -1), (1, 0.5, -1), (1, -1, -1), (1, 0.5, -1)], [(1, -1, -1), (1, -1, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, -1), (1, -1, 1), (-1, -1, 1)], [(-1, 1, -1), (1, -1, 1), (1, -1, -1), (1, -1, 1), (1, -1, 1), (-1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -1, 1)], [(1, 1, -1), (-1, -1, 1), (-1, -1, 1), (-1, -1, 1), (-1, -1, 1), (1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, -1, -1)], [(-1, 1, -1), (1, 1, -1), (1, -1, -1), (1, -1, -1), (-1, 1, -1), (1, -1, -1), (-1, 1, -1), (-1, 1, -1), (1, 1, -1)], [(1, -1, -1), (1, -1, 1), (-1, 1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, -1), (1, -1, 1)]]	1	['left', 'left', 'left', 'right', 'left', 'right', 'left']	[3.9714075999800116, 7.0906233000569046, 9.871915100025944, 13.760193699970841, 15.970458399970084, 19.99289860005956, 22.544808399979956]	NA	NA	NA	NA	NA	NA	NA	NA	NA	dkv	001	2026-02-10_14h52.04.855	CMT	2023.1.0	60.0463918041003	NA
NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	284.7585880999686	NA	285.2753600999713	[[(-1, 1, -1), (-1, -1, 1), (1, -1, 1), (1, -1, 1), (1, 1, -1), (1, -1, 1), (-1, 1, -1), (-1, -1, 1), (1, -1, 1)], [(1, 1, -1), (1, 0.5, -1), (-1, -1, 1), (1, 1, -1), (1, 0.5, -1), (1, 1, -1), (-1, 1, -1), (-1, -1, 1), (1, 1, -1)], [(-1, -1, 1), (1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, 1, -1), (1, 1, -1), (1, -1, -1), (-1, -1, 1), (-1, 1, -1)], [(-1, -1, 1), (-1, 1, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -1, -1), (-1, 1, -1), (1, -1, -1), (1, 1, -1)], [(1, -1, 1), (-1, -1, 1), (-1, 1, -1), (-1, -1, 1), (1, -1, 1), (-1, 1, -1), (1, 0.5, -1), (1, 0.5, -1), (1, -1, 1)], [(1, -1, -1), (1, -1, -1), (1, -1, -1), (1, -1, 1), (1, -1, -1), (1, -1, 1), (-1, -1, 1), (1, -1, 1), (1, -1, 1)], [(-1, 1, -1), (-1, -1, 1), (1, 1, -1), (1, -1, 1), (1, 1, -1), (1, -1, 1), (1, 1, -1), (1, -1, 1), (1, -1, 1)], [(-1, -1, 1), (1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, 1, -1), (1, 1, -1), (1, -1, -1), (-1, -1, 1), (-1, 1, -1)]]	2	['left', 'left', 'right', 'left', 'left', 'left', 'left']	[4.494158999994397, 7.252292999997735, 10.847700000042096, 13.088464900036342, 16.672792800003663, 19.844979100045748, 22.818353899987414]	NA	NA	NA	NA	NA	NA	NA	NA	NA	dkv	001	2026-02-10_14h52.04.855	CMT	2023.1.0	60.0463918041003	NA
NA	NA	NA	NA	NA	NA	NA	NA	2	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	309.25517520005815	NA	309.77173959999345	[[(1, 1, -1), (1, 1, -1), (1, -1, -1), (1, 1, -1), (1, -1, -1), (1, -1, -1), (1, 1, -1), (1, -1, -1), (1, -1, -1)], [(1, -1, -1), (-1, 1, -1), (1, -1, -1), (1, -1, -1), (-1, -1, 1), (1, 1, -1), (1, -1, -1), (1, 1, -1), (1, -1, -1)], [(-1, 1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (-1, 1, -1), (1, 0.5, -1), (1, 0.5, -1), (1, -1, -1), (1, 0.5, -1)], [(-1, -1, 1), (-1, -1, 1), (1, -1, -1), (-1, -1, 1), (1, 1, -1), (-1, 1, -1), (1, -1, -1), (1, -1, -1), (-1, -1, 1)], [(1, -1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (-1, -1, 1), (1, 0.5, -1), (-1, -1, 1), (1, 0.5, -1), (1, -1, -1)], [(1, -1, -1), (1, -1, -1), (1, 0.5, -1), (1, -1, -1), (1, 0.5, -1), (-1, -1, 1), (1, 0.5, -1), (1, 0.5, -1), (1, 0.5, -1)], [(1, -1, -1), (1, 1, -1), (1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1)], [(-1, 1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (-1, 1, -1), (1, 0.5, -1), (1, 0.5, -1), (1, -1, -1), (1, 0.5, -1)]]	2	['right', 'right', 'right', 'right', 'right', 'right', 'right']	[4.881591800018214, 7.527784900041297, 10.702491200063378, 14.031820600037463, 16.30400520004332, 19.734939200105146, 22.95923620008398]	NA	NA	NA	NA	NA	NA	NA	NA	NA	dkv	001	2026-02-10_14h52.04.855	CMT	2023.1.0	60.0463918041003	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	333.7351152000483	NA	NA	[[(1, -1, -1), (-1, -1, 1), (-1, -1, 1), (1, 0.5, -1), (1, 0.5, -1), (1, 1, -1), (1, 0.5, -1), (1, -1, -1), (1, -1, -1)], [(-1, 1, -1), (1, 1, -1), (1, -1, 1), (-1, 1, -1), (1, 0.5, -1), (1, 1, -1), (1, 0.5, -1), (1, -1, 1), (-1, 1, -1)], [(-1, -1, 1), (1, 1, -1), (1, 0.5, -1), (1, 1, -1), (-1, -1, 1), (1, 0.5, -1), (1, 1, -1), (-1, 1, -1), (1, 1, -1)], [(1, 0.5, -1), (1, 0.5, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -1, -1)], [(1, -1, -1), (-1, -1, 1), (-1, -1, 1), (1, -1, -1), (1, 0.5, -1), (1, -1, -1), (1, -1, -1), (1, 1, -1), (1, 1, -1)], [(1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, 1, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, -1), (1, -1, -1)], [(1, 1, -1), (1, 0.5, -1), (-1, 1, -1), (-1, -1, 1), (1, 0.5, -1), (1, -1, 1), (1, 1, -1), (-1, 1, -1), (-1, -1, 1)], [(-1, 1, -1), (1, 1, -1), (1, -1, 1), (-1, 1, -1), (1, 0.5, -1), (1, 1, -1), (1, 0.5, -1), (1, -1, 1), (-1, 1, -1)]]	1	NA	NA	NA	NA	334.2705133999698	['left', 'left', 'left', 'right', 'left', 'left', 'right']	[4.631892899982631, 8.29216249997262, 10.66829439997673, 13.331591599970125, 16.76516859990079, 19.966454099980183, 23.202630699961446]	NA	NA	NA	NA	dkv	001	2026-02-10_14h52.04.855	CMT	2023.1.0	60.0463918041003	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	NA	NA	358.2483756999718	NA	NA	[[(1, -1, -1), (1, -1, 1), (1, 1, -1), (1, -1, 1), (1, 1, -1), (1, -1, -1), (-1, 1, -1), (1, -1, 1), (-1, 1, -1)], [(1, 0.5, -1), (-1, 1, -1), (-1, 1, -1), (-1, -1, 1), (1, -1, 1), (1, -1, -1), (1, -1, 1), (-1, -1, 1), (1, 0.5, -1)], [(1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (-1, 1, -1), (1, 1, -1), (-1, 1, -1), (1, 0.5, -1), (1, 1, -1)], [(1, 1, -1), (1, 1, -1), (1, -1, 1), (1, 1, -1), (-1, 1, -1), (1, -1, 1), (1, 0.5, -1), (1, 1, -1), (-1, 1, -1)], [(-1, -1, 1), (1, -1, -1), (1, -1, 1), (1, 0.5, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (1, -1, -1), (-1, 1, -1)], [(1, -1, -1), (1, -1, -1), (1, 0.5, -1), (1, 0.5, -1), (1, -1, -1), (-1, -1, 1), (1, 1, -1), (1, -1, -1), (1, -1, -1)], [(1, 0.5, -1), (1, 1, -1), (1, 0.5, -1), (1, -1, -1), (1, -1, -1), (1, 1, -1), (1, 0.5, -1), (1, 1, -1), (-1, 1, -1)], [(1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (-1, 1, -1), (1, 1, -1), (-1, 1, -1), (1, 0.5, -1), (1, 1, -1)]]	2	NA	NA	NA	NA	358.7650654000463	['left', 'left', 'right', 'left', 'left', 'right']	[4.2257482999702916, 7.1664302999852225, 10.523663599975407, 13.086853399989195, 16.279264500015415, 19.487511200015433]	NA	NA	NA	NA	dkv	001	2026-02-10_14h52.04.855	CMT	2023.1.0	60.0463918041003	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	2	0	NA	NA	NA	NA	382.7616899999557	NA	NA	[[(1, -1, 1), (1, -1, -1), (1, 0.5, -1), (1, -1, -1), (1, -1, -1), (-1, 1, -1), (-1, -1, 1), (-1, 1, -1), (1, -1, 1)], [(1, 0.5, -1), (1, 0.5, -1), (1, -1, 1), (-1, 1, -1), (-1, -1, 1), (-1, -1, 1), (-1, -1, 1), (1, 0.5, -1), (-1, 1, -1)], [(-1, 1, -1), (1, -1, -1), (-1, 1, -1), (1, 0.5, -1), (1, 0.5, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (-1, 1, -1)], [(-1, 1, -1), (1, 0.5, -1), (1, 1, -1), (1, 0.5, -1), (-1, -1, 1), (1, 0.5, -1), (1, 1, -1), (1, 1, -1), (-1, -1, 1)], [(1, 1, -1), (1, 0.5, -1), (1, -1, -1), (-1, 1, -1), (1, 0.5, -1), (-1, -1, 1), (-1, 1, -1), (1, -1, -1), (1, -1, -1)], [(1, 1, -1), (1, 1, -1), (1, -1, -1), (1, -1, 1), (1, -1, 1), (-1, 1, -1), (-1, -1, 1), (-1, -1, 1), (-1, 1, -1)], [(1, 0.5, -1), (1, -1, 1), (1, 0.5, -1), (1, -1, -1), (-1, -1, 1), (1, -1, 1), (1, -1, 1), (-1, 1, -1), (1, -1, -1)], [(-1, 1, -1), (1, -1, -1), (-1, 1, -1), (1, 0.5, -1), (1, 0.5, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (-1, 1, -1)]]	2	NA	NA	NA	NA	383.27830740006175	['right', 'left', 'left', 'left', 'left', 'left', 'left']	[5.216974999988452, 7.222268000012264, 10.254374200012535, 13.5326893000165, 16.230547299957834, 19.419036200037226, 22.27609229995869]	NA	NA	NA	NA	dkv	001	2026-02-10_14h52.04.855	CMT	2023.1.0	60.0463918041003	NA
