imagefile	stimfile	corrAns	MRdir	angle	training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	mentalrot_trials.thisRepN	mentalrot_trials.thisTrialN	mentalrot_trials.thisN	mentalrot_trials.thisIndex	blank.started	mr_answ_2.started	mr_answ_2.keys	mr_answ_2.corr	mr_answ_2.rt	blank.stopped	mr_answ.started	mr_answ.keys	mr_answ.corr	mr_answ.rt	byebye_text.started	byebye_text.stopped	participant	session	date	expName	psychopyVersion	frameRate	...32
mr_images/7_a.png	mr_images/7_b_z_315.png	right	ccw	45	0	0	0	170	NA	NA	NA	NA	245.83917169994675	246.37321130000055	None	0	NA	NA	NA	NA	NA	NA	NA	NA	zaa	001	2026-02-10_12h47.51.343	MR	2023.1.0	60.04080373337148	NA
mr_images/12_b.png	mr_images/12_b_z_270.png	left	ccw	90	0	1	1	67	NA	NA	NA	NA	251.2873093999224	251.8729601999512	right	0	2.7927877000765875	NA	NA	NA	NA	NA	NA	NA	zaa	001	2026-02-10_12h47.51.343	MR	2023.1.0	60.04080373337148	NA
mr_images/7_a.png	mr_images/7_a_z_45.png	left	cw	45	0	2	2	169	NA	NA	NA	NA	254.69120429991744	255.2534748999169	right	0	1.8254679000237957	255.2534748999169	NA	NA	NA	NA	NA	NA	zaa	001	2026-02-10_12h47.51.343	MR	2023.1.0	60.04080373337148	NA
mr_images/3_a.png	mr_images/3_b_z_225.png	right	ccw	135	0	3	3	82	NA	NA	NA	NA	257.10337259992957	257.6866109999828	left	0	2.9979902000632137	257.6866109999828	NA	NA	NA	NA	NA	NA	zaa	001	2026-02-10_12h47.51.343	MR	2023.1.0	60.04080373337148	NA
mr_images/3_b.png	mr_images/3_b_z_315.png	left	ccw	45	0	4	4	87	NA	NA	NA	NA	260.70266199996695	261.28571450000163	right	0	2.605948300100863	261.28571450000163	NA	NA	NA	NA	NA	NA	zaa	001	2026-02-10_12h47.51.343	MR	2023.1.0	60.04080373337148	NA
mr_images/12_a.png	mr_images/12_b_z_225.png	right	ccw	135	NA	NA	NA	NA	0	0	0	58	344.00799779989757	NA	NA	NA	NA	NA	344.5078214999521	right	1	1.7920316000236198	NA	NA	zaa	001	2026-02-10_12h47.51.343	MR	2023.1.0	60.04080373337148	NA
mr_images/5_a.png	mr_images/5_b_z_90.png	right	cw	90	NA	NA	NA	NA	0	1	1	124	346.3241309999721	NA	NA	NA	NA	346.90750959992874	346.90750959992874	left	0	2.3110162999946624	NA	NA	zaa	001	2026-02-10_12h47.51.343	MR	2023.1.0	60.04080373337148	NA
mr_images/4_a.png	mr_images/4_a_z_45.png	left	cw	45	NA	NA	NA	NA	0	2	2	97	349.24054209992755	NA	NA	NA	NA	349.82365639996715	349.82365639996715	right	0	1.724034099956043	NA	NA	zaa	001	2026-02-10_12h47.51.343	MR	2023.1.0	60.04080373337148	NA
mr_images/7_a.png	mr_images/7_b_z_315.png	right	ccw	45	NA	NA	NA	NA	0	3	3	170	351.5733811999671	NA	NA	NA	NA	352.1066740999231	352.1066740999231	left	0	1.61036619998049	NA	NA	zaa	001	2026-02-10_12h47.51.343	MR	2023.1.0	60.04080373337148	NA
mr_images/12_b.png	mr_images/12_a_z_225.png	right	ccw	135	NA	NA	NA	NA	0	4	4	70	353.73992319998797	NA	NA	NA	NA	354.291121999966	354.291121999966	left	0	1.8432695999508724	NA	NA	zaa	001	2026-02-10_12h47.51.343	MR	2023.1.0	60.04080373337148	NA
mr_images/7_b.png	mr_images/7_a_z_315.png	right	ccw	45	NA	NA	NA	NA	0	5	5	182	356.1560881999321	NA	NA	NA	NA	356.7393536999589	356.7393536999589	left	0	1.459288900019601	NA	NA	zaa	001	2026-02-10_12h47.51.343	MR	2023.1.0	60.04080373337148	NA
mr_images/5_a.png	mr_images/5_a_z_225.png	left	ccw	135	NA	NA	NA	NA	0	6	6	131	358.22247759997845	NA	NA	NA	NA	358.79024209990166	358.79024209990166	left	1	1.570935600087978	NA	NA	zaa	001	2026-02-10_12h47.51.343	MR	2023.1.0	60.04080373337148	NA
mr_images/6_a.png	mr_images/6_a_z_225.png	left	ccw	135	NA	NA	NA	NA	0	7	7	155	360.3888645999832	NA	NA	NA	NA	360.9718872999074	360.9718872999074	right	0	1.7789629000471905	NA	NA	zaa	001	2026-02-10_12h47.51.343	MR	2023.1.0	60.04080373337148	NA
mr_images/3_b.png	mr_images/3_b_z_135.png	left	cw	135	NA	NA	NA	NA	0	8	8	93	362.77182549994905	NA	NA	NA	NA	363.3260743999854	363.3260743999854	left	1	2.4587190999882296	NA	NA	zaa	001	2026-02-10_12h47.51.343	MR	2023.1.0	60.04080373337148	NA
mr_images/12_a.png	mr_images/12_b_z_135.png	right	cw	135	NA	NA	NA	NA	0	9	9	56	365.80905099993106	NA	NA	NA	NA	366.3714220999973	366.3714220999973	right	1	1.6205195999937132	NA	NA	zaa	001	2026-02-10_12h47.51.343	MR	2023.1.0	60.04080373337148	NA
mr_images/1_a.png	mr_images/1_a_z_90.png	left	cw	90	NA	NA	NA	NA	0	10	10	5	368.02115359995514	NA	NA	NA	NA	368.60443419998046	368.60443419998046	right	0	1.975150699960068	NA	NA	zaa	001	2026-02-10_12h47.51.343	MR	2023.1.0	60.04080373337148	NA
mr_images/9_b.png	mr_images/9_b_z_45.png	left	cw	45	NA	NA	NA	NA	0	11	11	205	370.604167799931	NA	NA	NA	NA	371.1890189999249	371.1890189999249	right	0	2.4093764000572264	NA	NA	zaa	001	2026-02-10_12h47.51.343	MR	2023.1.0	60.04080373337148	NA
mr_images/3_b.png	mr_images/3_a_z_135.png	right	cw	135	NA	NA	NA	NA	0	12	12	92	373.6203666999936	NA	NA	NA	NA	374.1702884999104	374.1702884999104	left	0	1.7546494000125676	NA	NA	zaa	001	2026-02-10_12h47.51.343	MR	2023.1.0	60.04080373337148	NA
mr_images/4_b.png	mr_images/4_a_z_90.png	right	cw	90	NA	NA	NA	NA	0	13	13	112	375.9533724999055	NA	NA	NA	NA	376.53647539997473	376.53647539997473	left	0	1.831816100049764	NA	NA	zaa	001	2026-02-10_12h47.51.343	MR	2023.1.0	60.04080373337148	NA
mr_images/7_a.png	mr_images/7_b_z_225.png	right	ccw	135	NA	NA	NA	NA	0	14	14	178	378.3865723999915	NA	NA	NA	NA	378.9529323999304	378.9529323999304	right	1	1.6933714000042528	NA	NA	zaa	001	2026-02-10_12h47.51.343	MR	2023.1.0	60.04080373337148	NA
mr_images/11_b.png	mr_images/11_a_z_315.png	right	ccw	45	NA	NA	NA	NA	0	15	15	38	380.66942289995495	NA	NA	NA	NA	381.2527079998981	381.2527079998981	right	1	2.5042636999860406	NA	NA	zaa	001	2026-02-10_12h47.51.343	MR	2023.1.0	60.04080373337148	NA
mr_images/6_b.png	mr_images/6_b_z_270.png	left	ccw	90	NA	NA	NA	NA	0	16	16	163	383.78568209998775	NA	NA	NA	NA	384.36874329997227	384.36874329997227	right	0	1.44323059997987	NA	NA	zaa	001	2026-02-10_12h47.51.343	MR	2023.1.0	60.04080373337148	NA
mr_images/12_a.png	mr_images/12_a_z_225.png	left	ccw	135	NA	NA	NA	NA	0	17	17	59	385.8353283999022	NA	NA	NA	NA	386.3687071999302	386.3687071999302	left	1	1.6864496000343934	NA	NA	zaa	001	2026-02-10_12h47.51.343	MR	2023.1.0	60.04080373337148	NA
mr_images/1_b.png	mr_images/1_b_z_315.png	left	ccw	45	NA	NA	NA	NA	0	18	18	15	388.0850358000025	NA	NA	NA	NA	388.6681443999987	388.6681443999987	left	1	2.054612400010228	NA	NA	zaa	001	2026-02-10_12h47.51.343	MR	2023.1.0	60.04080373337148	NA
mr_images/4_a.png	mr_images/4_a_z_135.png	left	cw	135	NA	NA	NA	NA	0	19	19	105	390.7513073999434	NA	NA	NA	NA	391.3060253999429	391.3060253999429	left	1	2.048070300021209	NA	NA	zaa	001	2026-02-10_12h47.51.343	MR	2023.1.0	60.04080373337148	NA
mr_images/12_b.png	mr_images/12_b_z_135.png	left	cw	135	NA	NA	NA	NA	0	20	20	69	393.3718701999169	NA	NA	NA	NA	393.9009017999051	393.9009017999051	right	0	2.013204700080678	NA	NA	zaa	001	2026-02-10_12h47.51.343	MR	2023.1.0	60.04080373337148	NA
mr_images/1_a.png	mr_images/1_a_z_45.png	left	cw	45	NA	NA	NA	NA	0	21	21	1	395.93395939993206	NA	NA	NA	NA	396.50214469991624	396.50214469991624	left	1	1.6361587999854237	NA	NA	zaa	001	2026-02-10_12h47.51.343	MR	2023.1.0	60.04080373337148	NA
mr_images/11_a.png	mr_images/11_a_z_225.png	left	ccw	135	NA	NA	NA	NA	0	22	22	35	398.1670853999676	NA	NA	NA	NA	398.7503326999722	398.7503326999722	left	1	2.5712200000416487	NA	NA	zaa	001	2026-02-10_12h47.51.343	MR	2023.1.0	60.04080373337148	NA
