sequence	training_session.thisRepN	training_session.thisTrialN	training_session.thisN	training_session.thisIndex	training_2n.thisRepN	training_2n.thisTrialN	training_2n.thisN	training_2n.thisIndex	training_3n.thisRepN	training_3n.thisTrialN	training_3n.thisN	training_3n.thisIndex	training_4n.thisRepN	training_4n.thisTrialN	training_4n.thisN	training_4n.thisIndex	allrep_2nback.thisRepN	allrep_2nback.thisTrialN	allrep_2nback.thisN	allrep_2nback.thisIndex	trials_2nback.thisRepN	trials_2nback.thisTrialN	trials_2nback.thisN	trials_2nback.thisIndex	allrep_3nback.thisRepN	allrep_3nback.thisTrialN	allrep_3nback.thisN	allrep_3nback.thisIndex	trials_3nback.thisRepN	trials_3nback.thisTrialN	trials_3nback.thisN	trials_3nback.thisIndex	allrep_4nback.thisRepN	allrep_4nback.thisTrialN	allrep_4nback.thisN	allrep_4nback.thisIndex	trials_4nback.thisRepN	trials_4nback.thisTrialN	trials_4nback.thisN	trials_4nback.thisIndex	buffer02_txt.started	test_griddot_resp2.started	test_griddot_resp2.keys	test_griddot_resp2.rt	buffer23_txt.started	test_griddot_resp3.started	test_griddot_resp3.keys	test_griddot_resp3.rt	buffer34_txt.started	test_griddot_resp4.started	test_griddot_resp4.keys	test_griddot_resp4.rt	confirm_resp.started	confirm_resp.keys	confirm_resp.rt	instr_text_2.started	buffer02_txt.stopped	griddot_resp2.started	griddot_resp2.keys	griddot_resp2.rt	buffer23_txt.stopped	griddot_resp3.started	griddot_resp3.keys	griddot_resp3.rt	buffer34_txt.stopped	griddot_resp4.started	griddot_resp4.keys	griddot_resp4.rt	participant	session	date	expName	psychopyVersion	frameRate	...76
[(2, 2), (2, 1), (2, 2), (1, 2), (0, 2), (1, 1), (0, 2), (1, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	496.34899630001746	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	490.53309899999294	499.41474379994906	500.4182471999666	['right', 'left', 'left', 'left']	[7.014187900000252, 8.853442799998447, 11.175508699961938, 14.999130500014871]	NA	NA	NA	NA	NA	NA	NA	NA	zaa	001	2026-02-10_11h54.56.414	SS	2023.1.0	60.017633175155154	NA
[(0, 2), (1, 1), (2, 1), (0, 1), (0, 0), (1, 2), (0, 0), (1, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	1	547	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	517.4162393999286	['left', 'left', 'left', 'right', 'right']	[6.252275200095028, 7.014750600093976, 8.890839600004256, 10.814074800000526, 13.180603399989195]	NA	NA	NA	NA	NA	NA	NA	NA	zaa	001	2026-02-10_11h54.56.414	SS	2023.1.0	60.017633175155154	NA
[(1, 2), (1, 1), (2, 1), (2, 2), (0, 1), (1, 0), (0, 1), (1, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	2	2	496	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	534.4268973999424	['left', 'left', 'left', 'left', 'right', 'left']	[5.50510079995729, 6.963091199984774, 9.47524209995754, 11.503505900036544, 13.079776800004765, 14.710856899968348]	NA	NA	NA	NA	NA	NA	NA	NA	zaa	001	2026-02-10_11h54.56.414	SS	2023.1.0	60.017633175155154	NA
[(2, 1), (0, 0), (2, 1), (0, 1), (2, 0), (2, 2), (2, 0), (1, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	3	3	656	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	551.411608699942	['right', 'left', 'left', 'right', 'right', 'left']	[5.408950899960473, 7.3243733999552205, 8.826782900025137, 11.63617059995886, 13.422420599963516, 15.156842399970628]	NA	NA	NA	NA	NA	NA	NA	NA	zaa	001	2026-02-10_11h54.56.414	SS	2023.1.0	60.017633175155154	NA
[(2, 2), (0, 2), (2, 2), (0, 2), (1, 2), (0, 1), (1, 0), (1, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	4	4	104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	568.4089545999886	['right', 'right', 'left', 'left', 'left', 'left']	[5.172006199951284, 7.061358099919744, 8.956661999924108, 11.465088099939749, 13.732247599982657, 15.061393899959512]	NA	NA	NA	NA	NA	NA	NA	NA	zaa	001	2026-02-10_11h54.56.414	SS	2023.1.0	60.017633175155154	NA
[(0, 0), (1, 2), (0, 0), (0, 1), (0, 2), (0, 2), (0, 2), (1, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	5	5	413	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	585.4073028999846	['right', 'left', 'left', 'left', 'right', 'left']	[5.027943200082518, 7.306068400037475, 8.714181300019845, 11.456411100109108, 12.844576500006951, 15.608805800089613]	NA	NA	NA	NA	NA	NA	NA	NA	zaa	001	2026-02-10_11h54.56.414	SS	2023.1.0	60.017633175155154	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	zaa	001	2026-02-10_11h54.56.414	SS	2023.1.0	60.017633175155154	NA
[(0, 1), (2, 0), (0, 1), (0, 0), (2, 0), (2, 0), (0, 0), (2, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	0	0	91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	605.6040050999727	['right', 'left', 'right', 'left', 'right']	[5.0967400999506935, 6.923827399965376, 9.399840699974447, 11.009961999952793, 13.240026899962686]	NA	NA	NA	NA	NA	NA	NA	NA	zaa	001	2026-02-10_11h54.56.414	SS	2023.1.0	60.017633175155154	NA
[(2, 1), (0, 0), (0, 0), (1, 0), (0, 0), (1, 0), (0, 2), (2, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	1	1	344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	622.5981104000239	['right', 'left', 'right', 'right', 'left', 'left']	[5.287555700051598, 7.342700600042008, 8.942706600064412, 11.182777800015174, 12.979914000025019, 15.08545899996534]	NA	NA	NA	NA	NA	NA	NA	NA	zaa	001	2026-02-10_11h54.56.414	SS	2023.1.0	60.017633175155154	NA
[(2, 2), (0, 1), (2, 0), (2, 0), (2, 0), (0, 2), (0, 2), (0, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	2	2	232	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	639.6140366999898	['left', 'left', 'right', 'left', 'left', 'right']	[5.202977599925362, 7.253001899924129, 8.618999699945562, 11.011193200014532, 12.997364799957722, 14.549495599931106]	NA	NA	NA	NA	NA	NA	NA	NA	zaa	001	2026-02-10_11h54.56.414	SS	2023.1.0	60.017633175155154	NA
