clr1p1	clr2p1	clr3p1	clr4p1	clr1p2	clr2p2	clr3p2	clr4p2	Hshow	Htest	stim_var	blank_clr	difficulty	answ	l_test	r_test	realclr2	realclr3	realclr	training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	CC_resp_2.keys	CC_resp_2.corr	CC_resp_2.rt	CC_resp.keys	CC_resp.corr	CC_resp.rt	participant	session	date	expName	psychopyVersion	frameRate
#6D4C41	#3E2723	#EFEBE9	#A1887F	#00ACC1	#000000	#E0F7FA	#4DD0E1	brown	cyan	l_rand1	clr2	low	right	#0097A7	#006064	#006064	#E0F7FA	#006064	0	0	0	29	NA	NA	NA	NA	right	1	2.501068700104952	NA	NA	NA	eaj	1	2026-03-03_17h24.25.461	MCT	2023.1.0	60.043543433941366
#0D47A1	#1E88E5	#64B5F6	#E3F2FD	#FF6F00	#FFB300	#000000	#FFF8E1	blue	amber	l_up	clr3	low	right	#FFC107	#FFD54F	#FFB300	#FFD54F	#FFD54F	0	1	1	77	NA	NA	NA	NA	right	1	1.234778500162065	NA	NA	NA	eaj	1	2026-03-03_17h24.25.461	MCT	2023.1.0	60.043543433941366
#006064	#E0F7FA	#00ACC1	#4DD0E1	#311B92	#000000	#5E35B1	#9575CD	cyan	d_purple	l_rand2	clr2	low	right	#B39DDB	#EDE7F6	#EDE7F6	#5E35B1	#EDE7F6	0	2	2	46	NA	NA	NA	NA	right	1	0.8786420999094844	NA	NA	NA	eaj	1	2026-03-03_17h24.25.461	MCT	2023.1.0	60.043543433941366
#1B5E20	#43A047	#81C784	#E8F5E9	#004D40	#000000	#4DB6AC	#E0F2F1	green	lime	l_up	clr2	high	right	#00796B	#00897B	#00897B	#4DB6AC	#00897B	0	3	3	65	NA	NA	NA	NA	left	0	1.5317343999631703	NA	NA	NA	eaj	1	2026-03-03_17h24.25.461	MCT	2023.1.0	60.043543433941366
#004D40	#E0F2F1	#00897B	#4DB6AC	#BF360C	#FBE9E7	#000000	#FF8A65	teal	d_orange	l_rand2	clr3	low	right	#D84315	#F4511E	#FBE9E7	#F4511E	NA	NA	NA	NA	NA	0	0	0	59	NA	NA	NA	right	1	2.231268500443548	eaj	1	2026-03-03_17h24.25.461	MCT	2023.1.0	60.043543433941366
#33691E	#7CB342	#AED581	#F1F8E9	#880E4F	#000000	#F06292	#FCE4EC	l_green	pink	l_up	clr2	high	left	#D81B60	#E91E63	#D81B60	#F06292	NA	NA	NA	NA	NA	0	1	1	61	NA	NA	NA	left	1	2.083429399877786	eaj	1	2026-03-03_17h24.25.461	MCT	2023.1.0	60.043543433941366
#E65100	#FFF3E0	#FB8C00	#FFB74D	#004D40	#E0F2F1	#000000	#4DB6AC	orange	teal	l_rand2	clr3	low	left	#00897B	#00695C	#E0F2F1	#00897B	NA	NA	NA	NA	NA	0	2	2	58	NA	NA	NA	right	0	1.9988930001854897	eaj	1	2026-03-03_17h24.25.461	MCT	2023.1.0	60.043543433941366
#01579B	#039BE5	#4FC3F7	#E1F5FE	#F57F17	#FDD835	#000000	#FFFDE7	l_blue	yellow	l_up	clr3	high	left	#FFF176	#FFEE58	#FDD835	#FFF176	NA	NA	NA	NA	NA	0	3	3	70	NA	NA	NA	left	1	2.250450400169939	eaj	1	2026-03-03_17h24.25.461	MCT	2023.1.0	60.043543433941366
#1E88E5	#0D47A1	#E3F2FD	#64B5F6	#C0CA33	#827717	#000000	#DCE775	blue	lime	l_rand1	clr3	high	right	#F0F4C3	#F9FBE7	#827717	#F9FBE7	NA	NA	NA	NA	NA	0	4	4	32	NA	NA	NA	right	1	0.9636732004582882	eaj	1	2026-03-03_17h24.25.461	MCT	2023.1.0	60.043543433941366
#FBE9E7	#FF8A65	#F4511E	#BF360C	#F3E5F5	#BA68C8	#000000	#4A148C	d_orange	purple	l_down	clr3	low	right	#6A1B9A	#8E24AA	#BA68C8	#8E24AA	NA	NA	NA	NA	NA	0	5	5	19	NA	NA	NA	right	1	1.7897079000249505	eaj	1	2026-03-03_17h24.25.461	MCT	2023.1.0	60.043543433941366
#B71C1C	#FFEBEE	#E53935	#E57373	#1A237E	#E8EAF6	#000000	#7986CB	red	indigo	l_rand2	clr3	high	right	#303F9F	#3949AB	#E8EAF6	#3949AB	NA	NA	NA	NA	NA	0	6	6	50	NA	NA	NA	right	1	2.864150600042194	eaj	1	2026-03-03_17h24.25.461	MCT	2023.1.0	60.043543433941366
#33691E	#F1F8E9	#7CB342	#AED581	#0D47A1	#E3F2FD	#000000	#64B5F6	l_green	blue	l_rand2	clr3	low	left	#1E88E5	#42A5F5	#E3F2FD	#1E88E5	NA	NA	NA	NA	NA	0	7	7	57	NA	NA	NA	left	1	1.309909800067544	eaj	1	2026-03-03_17h24.25.461	MCT	2023.1.0	60.043543433941366
#827717	#C0CA33	#DCE775	#F9FBE7	#004D40	#000000	#4DB6AC	#E0F2F1	lime	teal	l_up	clr2	high	right	#009688	#00897B	#00897B	#4DB6AC	NA	NA	NA	NA	NA	0	8	8	63	NA	NA	NA	right	1	2.3010780001059175	eaj	1	2026-03-03_17h24.25.461	MCT	2023.1.0	60.043543433941366
#EFEBE9	#A1887F	#6D4C41	#3E2723	#E8F5E9	#000000	#43A047	#1B5E20	brown	green	l_down	clr2	high	left	#81C784	#A5D6A7	#81C784	#43A047	NA	NA	NA	NA	NA	0	9	9	2	NA	NA	NA	right	0	1.922599900048226	eaj	1	2026-03-03_17h24.25.461	MCT	2023.1.0	60.043543433941366
#3949AB	#1A237E	#E8EAF6	#7986CB	#7CB342	#000000	#F1F8E9	#AED581	indigo	l_green	l_rand1	clr2	high	left	#33691E	#558B2F	#33691E	#F1F8E9	NA	NA	NA	NA	NA	0	10	10	24	NA	NA	NA	left	1	2.531396800186485	eaj	1	2026-03-03_17h24.25.461	MCT	2023.1.0	60.043543433941366
