imagefile	stimfile	corrAns	MRdir	angle	training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	mentalrot_trials.thisRepN	mentalrot_trials.thisTrialN	mentalrot_trials.thisN	mentalrot_trials.thisIndex	blank.started	mr_answ_2.started	mr_answ_2.keys	mr_answ_2.corr	mr_answ_2.rt	blank.stopped	mr_answ.started	mr_answ.keys	mr_answ.corr	mr_answ.rt	byebye_text.started	byebye_text.stopped	participant	session	date	expName	psychopyVersion	frameRate	...32
mr_images/7_a.png	mr_images/7_a_z_315.png	left	ccw	45	NA	NA	NA	NA	0	142	142	171	690.487869199831	NA	NA	NA	NA	691.0042691999115	691.0042691999115	right	0	2.223899200093001	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/4_a.png	mr_images/4_a_z_135.png	left	cw	135	NA	NA	NA	NA	0	143	143	105	693.2542667998932	NA	NA	NA	NA	693.7873678999022	693.7873678999022	right	0	2.4979517995379865	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/1_b.png	mr_images/1_a_z_315.png	right	ccw	45	NA	NA	NA	NA	0	144	144	14	696.3043836001307	NA	NA	NA	NA	696.8596064001322	696.8596064001322	left	0	2.673144199885428	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/12_b.png	mr_images/12_b_z_270.png	left	ccw	90	NA	NA	NA	NA	0	145	145	67	699.5575859998353	NA	NA	NA	NA	700.1032332000323	700.1032332000323	right	0	2.613815499935299	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/3_a.png	mr_images/3_a_z_315.png	left	ccw	45	NA	NA	NA	NA	0	146	146	75	702.7364019998349	NA	NA	NA	NA	703.2694855001755	703.2694855001755	right	0	3.1002810997888446	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/9_a.png	mr_images/9_a_z_225.png	left	ccw	135	NA	NA	NA	NA	0	147	147	203	706.4024661998264	NA	NA	NA	NA	706.9357316000387	706.9357316000387	right	0	2.5479827001690865	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/1_a.png	mr_images/1_a_z_315.png	left	ccw	45	NA	NA	NA	NA	0	148	148	3	709.5021887999028	NA	NA	NA	NA	710.0352484998293	710.0352484998293	right	0	2.461629499681294	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/7_b.png	mr_images/7_a_z_45.png	right	cw	45	NA	NA	NA	NA	0	149	149	180	712.5182039001957	NA	NA	NA	NA	713.0514905001037	713.0514905001037	left	0	4.498068599961698	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/9_a.png	mr_images/9_b_z_45.png	right	cw	45	NA	NA	NA	NA	0	150	150	192	717.5675737001002	NA	NA	NA	NA	718.1009078002535	718.1009078002535	left	0	4.599378900136799	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/6_a.png	mr_images/6_a_z_225.png	left	ccw	135	NA	NA	NA	NA	0	151	151	155	722.7168481000699	NA	NA	NA	NA	723.2501348000951	723.2501348000951	right	0	1.9833390000276268	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/11_b.png	mr_images/11_b_z_315.png	left	ccw	45	NA	NA	NA	NA	0	152	152	39	725.249711799901	NA	NA	NA	NA	725.7830499000847	725.7830499000847	right	0	3.7388311997056007	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/4_a.png	mr_images/4_a_z_225.png	left	ccw	135	NA	NA	NA	NA	0	153	153	107	729.5491686998866	NA	NA	NA	NA	730.1157333999872	730.1157333999872	right	0	1.8408826999366283	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/12_b.png	mr_images/12_b_z_45.png	left	cw	45	NA	NA	NA	NA	0	154	154	61	731.9822820001282	NA	NA	NA	NA	732.5155050000176	732.5155050000176	right	0	2.447732400149107	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/3_b.png	mr_images/3_a_z_45.png	right	cw	45	NA	NA	NA	NA	0	155	155	84	734.9818180999719	NA	NA	NA	NA	735.5149834002368	735.5149834002368	right	1	3.311946399975568	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/12_a.png	mr_images/12_b_z_315.png	right	ccw	45	NA	NA	NA	NA	0	156	156	50	738.8483949000947	NA	NA	NA	NA	739.3867386998609	739.3867386998609	left	0	1.2752224998548627	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/12_b.png	mr_images/12_b_z_225.png	left	ccw	135	NA	NA	NA	NA	0	157	157	71	740.6852500000969	NA	NA	NA	NA	741.2308986000717	741.2308986000717	right	0	1.8135981997475028	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/5_b.png	mr_images/5_b_z_225.png	left	ccw	135	NA	NA	NA	NA	0	158	158	143	743.0641291001812	NA	NA	NA	NA	743.5972389001399	743.5972389001399	right	0	3.3943309001624584	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/3_a.png	mr_images/3_a_z_135.png	left	cw	135	NA	NA	NA	NA	0	159	159	81	747.0133866998367	NA	NA	NA	NA	747.5465339999646	747.5465339999646	right	0	3.917172399815172	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/5_b.png	mr_images/5_a_z_270.png	right	ccw	90	NA	NA	NA	NA	0	160	160	138	751.4963940000162	NA	NA	NA	NA	752.0168063002639	752.0168063002639	left	0	2.406535000074655	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/1_b.png	mr_images/1_a_z_45.png	right	cw	45	NA	NA	NA	NA	0	161	161	12	754.4499768000096	NA	NA	NA	NA	NA	754.9958103001118	left	0	3.731320499908179	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/9_b.png	mr_images/9_a_z_270.png	right	ccw	90	NA	NA	NA	NA	0	162	162	210	758.745087900199	NA	NA	NA	NA	759.2950788000599	759.2950788000599	left	0	3.2594018997624516	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/1_a.png	mr_images/1_a_z_225.png	left	ccw	135	NA	NA	NA	NA	0	163	163	11	762.5779380998574	NA	NA	NA	NA	763.1444415999576	763.1444415999576	left	1	3.22102709999308	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/11_b.png	mr_images/11_b_z_225.png	left	ccw	135	NA	NA	NA	NA	0	164	164	47	766.3941719001159	NA	NA	NA	NA	766.9152008001693	766.9152008001693	right	0	2.3391936998814344	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
