sequence	training_session.thisRepN	training_session.thisTrialN	training_session.thisN	training_session.thisIndex	training_2n.thisRepN	training_2n.thisTrialN	training_2n.thisN	training_2n.thisIndex	training_3n.thisRepN	training_3n.thisTrialN	training_3n.thisN	training_3n.thisIndex	training_4n.thisRepN	training_4n.thisTrialN	training_4n.thisN	training_4n.thisIndex	allrep_2nback.thisRepN	allrep_2nback.thisTrialN	allrep_2nback.thisN	allrep_2nback.thisIndex	trials_2nback.thisRepN	trials_2nback.thisTrialN	trials_2nback.thisN	trials_2nback.thisIndex	allrep_3nback.thisRepN	allrep_3nback.thisTrialN	allrep_3nback.thisN	allrep_3nback.thisIndex	trials_3nback.thisRepN	trials_3nback.thisTrialN	trials_3nback.thisN	trials_3nback.thisIndex	allrep_4nback.thisRepN	allrep_4nback.thisTrialN	allrep_4nback.thisN	allrep_4nback.thisIndex	trials_4nback.thisRepN	trials_4nback.thisTrialN	trials_4nback.thisN	trials_4nback.thisIndex	buffer02_txt.started	test_griddot_resp2.started	test_griddot_resp2.keys	test_griddot_resp2.rt	buffer23_txt.started	test_griddot_resp3.started	test_griddot_resp3.keys	test_griddot_resp3.rt	buffer34_txt.started	test_griddot_resp4.started	test_griddot_resp4.keys	test_griddot_resp4.rt	confirm_resp.started	confirm_resp.keys	confirm_resp.rt	instr_text_2.started	buffer02_txt.stopped	griddot_resp2.started	griddot_resp2.keys	griddot_resp2.rt	buffer23_txt.stopped	griddot_resp3.started	griddot_resp3.keys	griddot_resp3.rt	buffer34_txt.stopped	griddot_resp4.started	griddot_resp4.keys	griddot_resp4.rt	participant	session	date	expName	psychopyVersion	frameRate	...76
[(2, 2), (2, 1), (2, 0), (2, 1), (2, 0), (2, 0), (2, 0), (1, 0)]	0	0	0	0	0	0	0	113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	334.28693559998646	338.43122639972717	['left']	[12.330437900032848]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_16h44.19.265	SS	2023.1.0	59.91180975828166	NA
[(2, 1), (0, 0), (2, 0), (0, 0), (0, 2), (0, 2), (0, 1), (0, 2)]	0	0	0	0	0	1	1	663	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	355.32897149957716	['left', 'left']	[4.986414600163698, 11.216960099991411]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_16h44.19.265	SS	2023.1.0	59.91180975828166	NA
[(2, 0), (1, 1), (1, 1), (1, 2), (2, 2), (0, 0), (2, 2), (0, 0)]	0	0	0	0	0	2	2	582	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	372.3432792997919	['left', 'left', 'left', 'left', 'left', 'left']	[5.636505899950862, 7.266982899978757, 8.93546920036897, 10.897832400165498, 12.775059000123292, 14.945325800217688]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_16h44.19.265	SS	2023.1.0	59.91180975828166	NA
[(1, 1), (2, 2), (0, 2), (1, 1), (1, 1), (1, 0), (1, 1), (1, 1), (0, 1)]	0	0	0	0	NA	NA	NA	NA	0	0	0	670	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	389.29104859987274	393.3571521998383	['right', 'right', 'left', 'right', 'right', 'left']	[6.904966800007969, 8.66263009980321, 10.80900020012632, 12.616043800022453, 14.481320799794048, 17.126533799804747]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_16h44.19.265	SS	2023.1.0	59.91180975828166	NA
[(2, 2), (1, 2), (2, 1), (0, 0), (2, 2), (2, 1), (0, 0), (1, 2), (1, 2)]	0	0	0	0	NA	NA	NA	NA	0	1	1	282	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	412.3545379997231	['left', 'right', 'left', 'left', 'left', 'left']	[6.939146399963647, 8.625891199801117, 10.622122599743307, 12.623048499692231, 14.93532589962706, 16.65445189969614]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_16h44.19.265	SS	2023.1.0	59.91180975828166	NA
[(2, 2), (0, 0), (1, 1), (0, 2), (0, 0), (2, 1), (2, 1), (0, 0), (2, 1)]	0	0	0	0	NA	NA	NA	NA	0	2	2	155	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	431.3546438999474	['left', 'left', 'left', 'left', 'left', 'left']	[6.705323799978942, 8.531640000175685, 10.55816589994356, 12.438885299954563, 14.545443099923432, 16.551357199903578]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_16h44.19.265	SS	2023.1.0	59.91180975828166	NA
[(1, 2), (0, 1), (0, 0), (2, 0), (1, 2), (1, 2), (2, 2), (0, 1), (0, 1), (1, 2)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	568	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	450.2869241996668	454.3652058998123	['right', 'right', 'left', 'left', 'left', 'left', 'right']	[8.726645499933511, 10.359914999920875, 12.599020199850202, 14.663459399715066, 16.428479100111872, 18.388126699719578, 18.873080600053072]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_16h44.19.265	SS	2023.1.0	59.91180975828166	NA
[(2, 0), (0, 0), (1, 2), (1, 0), (0, 1), (2, 1), (2, 1), (1, 0), (0, 1), (2, 2)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	557	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	475.34554609982297	['left', 'left', 'left', 'left', 'left', 'left']	[9.242328899912536, 10.815873099956661, 12.532039199955761, 14.520533800125122, 16.434815399814397, 18.969039299990982]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_16h44.19.265	SS	2023.1.0	59.91180975828166	NA
[(0, 1), (1, 2), (0, 0), (2, 1), (2, 0), (1, 2), (0, 1), (2, 1), (0, 1), (1, 1)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	2	2	637	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	496.37609209958464	['left', 'left', 'left', 'right', 'left', 'right', 'left']	[8.75322060007602, 10.508420099969953, 12.307009600102901, 12.741972600109875, 14.8374382997863, 16.703406000044197, 18.663727399893105]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_16h44.19.265	SS	2023.1.0	59.91180975828166	NA
NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	516.3068991997279	y	49.36901640007272	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_16h44.19.265	SS	2023.1.0	59.91180975828166	NA
