sequence	training_session.thisRepN	training_session.thisTrialN	training_session.thisN	training_session.thisIndex	training_2n.thisRepN	training_2n.thisTrialN	training_2n.thisN	training_2n.thisIndex	training_3n.thisRepN	training_3n.thisTrialN	training_3n.thisN	training_3n.thisIndex	training_4n.thisRepN	training_4n.thisTrialN	training_4n.thisN	training_4n.thisIndex	allrep_2nback.thisRepN	allrep_2nback.thisTrialN	allrep_2nback.thisN	allrep_2nback.thisIndex	trials_2nback.thisRepN	trials_2nback.thisTrialN	trials_2nback.thisN	trials_2nback.thisIndex	allrep_3nback.thisRepN	allrep_3nback.thisTrialN	allrep_3nback.thisN	allrep_3nback.thisIndex	trials_3nback.thisRepN	trials_3nback.thisTrialN	trials_3nback.thisN	trials_3nback.thisIndex	allrep_4nback.thisRepN	allrep_4nback.thisTrialN	allrep_4nback.thisN	allrep_4nback.thisIndex	trials_4nback.thisRepN	trials_4nback.thisTrialN	trials_4nback.thisN	trials_4nback.thisIndex	buffer02_txt.started	test_griddot_resp2.started	test_griddot_resp2.keys	test_griddot_resp2.rt	buffer23_txt.started	test_griddot_resp3.started	test_griddot_resp3.keys	test_griddot_resp3.rt	buffer34_txt.started	test_griddot_resp4.started	test_griddot_resp4.keys	test_griddot_resp4.rt	confirm_resp.started	confirm_resp.keys	confirm_resp.rt	instr_text_2.started	buffer02_txt.stopped	griddot_resp2.started	griddot_resp2.keys	griddot_resp2.rt	buffer23_txt.stopped	griddot_resp3.started	griddot_resp3.keys	griddot_resp3.rt	buffer34_txt.stopped	griddot_resp4.started	griddot_resp4.keys	griddot_resp4.rt	participant	session	date	expName	psychopyVersion	frameRate	...76
[(1, 2), (0, 0), (1, 2), (1, 2), (2, 0), (2, 1), (2, 0), (1, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	585.6805099998601	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	565.7499697995372	588.7800140995532	589.7631585998461	['right', 'right', 'left', 'left', 'left', 'right']	[4.682652299758047, 6.563972499687225, 8.569919299799949, 10.48598079988733, 12.487506999634206, 14.517470799852163]	NA	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_16h44.19.265	SS	2023.1.0	59.91180975828166	NA
[(0, 2), (2, 0), (0, 2), (2, 0), (1, 0), (0, 1), (0, 2), (2, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	1	382	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	606.7478118999861	['right', 'left', 'left', 'left', 'right', 'left']	[4.5277063003741205, 6.556679600384086, 8.612957500386983, 10.537953400053084, 12.512520200107247, 14.547702400013804]	NA	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_16h44.19.265	SS	2023.1.0	59.91180975828166	NA
[(2, 2), (2, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 1), (2, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	2	2	78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	623.7612169999629	['left', 'left', 'left', 'left', 'left', 'left']	[4.8717686999589205, 6.479443900287151, 8.37258299998939, 10.393725899979472, 12.643798999954015, 14.483088900335133]	NA	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_16h44.19.265	SS	2023.1.0	59.91180975828166	NA
[(2, 2), (1, 2), (2, 2), (2, 0), (1, 1), (2, 0), (0, 0), (1, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	3	3	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	640.7224113997072	['right', 'left', 'left', 'left', 'left', 'left']	[4.80857599992305, 6.457715599797666, 8.686034299898893, 10.797468199860305, 12.831134399864823, 14.618276400025934]	NA	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_16h44.19.265	SS	2023.1.0	59.91180975828166	NA
[(0, 2), (1, 2), (0, 2), (1, 0), (2, 1), (1, 2), (2, 1), (1, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	4	4	693	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	657.753765899688	['right', 'left', 'left', 'left', 'left', 'left']	[4.58511250000447, 6.447923899628222, 8.701523799914867, 10.518205899745226, 12.469280099961907, 14.482435899786651]	NA	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_16h44.19.265	SS	2023.1.0	59.91180975828166	NA
[(0, 0), (0, 1), (0, 0), (0, 1), (0, 2), (0, 0), (1, 2), (1, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	5	5	691	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	674.722215199843	['right', 'left', 'left', 'right', 'left', 'left']	[4.855647000018507, 6.581697499845177, 8.608240499626845, 10.687963999807835, 12.648253899998963, 14.579507399816066]	NA	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_16h44.19.265	SS	2023.1.0	59.91180975828166	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_16h44.19.265	SS	2023.1.0	59.91180975828166	NA
[(1, 1), (0, 2), (1, 1), (0, 0), (0, 2), (0, 0), (1, 0), (2, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	0	0	184	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	693.6368759996258	['right', 'left', 'left', 'left', 'left', 'left']	[4.9221958997659385, 6.849338799715042, 8.969772999640554, 10.638529799878597, 12.574731099884957, 14.526315100025386]	NA	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_16h44.19.265	SS	2023.1.0	59.91180975828166	NA
[(2, 0), (1, 2), (1, 0), (0, 1), (1, 0), (2, 2), (1, 1), (2, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	1	1	401	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	710.6486336998641	['left', 'left', 'left', 'left', 'left', 'left']	[5.047604700084776, 6.490895099937916, 8.394209600053728, 10.601933300029486, 12.468297900166363, 14.535744599997997]	NA	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_16h44.19.265	SS	2023.1.0	59.91180975828166	NA
[(0, 1), (2, 2), (1, 1), (1, 2), (1, 0), (2, 1), (1, 0), (2, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	2	2	589	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	727.6441095997579	['left', 'left', 'left', 'left', 'left', 'left']	[4.57818750012666, 6.357831900008023, 8.317542599979788, 10.487657099962234, 12.34185570012778, 14.42476570000872]	NA	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_16h44.19.265	SS	2023.1.0	59.91180975828166	NA
[(1, 0), (1, 1), (0, 0), (1, 0), (0, 1), (1, 0), (0, 1), (2, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	3	3	297	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	744.6417266996577	['left', 'right', 'left', 'right', 'left', 'left']	[4.784193999599665, 6.668449399992824, 8.519924699794501, 10.596591499634087, 12.570317199919373, 14.573969800025225]	NA	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_16h44.19.265	SS	2023.1.0	59.91180975828166	NA
[(2, 0), (0, 0), (2, 1), (0, 1), (0, 0), (0, 1), (1, 1), (0, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	4	4	609	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	761.6560318996198	['left', 'left', 'left', 'left', 'left', 'left']	[4.986302400007844, 6.731872800271958, 8.46790730021894, 10.551174700260162, 12.446586099918932, 14.598993699997663]	NA	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_16h44.19.265	SS	2023.1.0	59.91180975828166	NA
[(0, 0), (0, 1), (1, 1), (2, 0), (2, 2), (2, 0), (0, 1), (2, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	5	5	624	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	778.6395339998417	['left', 'left', 'left', 'left', 'left']	[6.641322299838066, 8.549583999905735, 10.66005830001086, 12.478584200143814, 14.44646569993347]	NA	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_16h44.19.265	SS	2023.1.0	59.91180975828166	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_16h44.19.265	SS	2023.1.0	59.91180975828166	NA
[(1, 0), (1, 1), (2, 0), (0, 0), (1, 2), (2, 1), (0, 0), (2, 1), (2, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	796.1513099996373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	799.2345005995594	800.2201891997829	['left', 'left', 'left', 'left', 'left', 'left']	[6.586066100280732, 8.53940000012517, 10.62692670011893, 12.548632600344718, 14.571272700093687, 16.558192300144583]	NA	NA	NA	NA	eaj	001	2026-03-03_16h44.19.265	SS	2023.1.0	59.91180975828166	NA
[(1, 2), (2, 0), (2, 2), (1, 2), (0, 2), (2, 0), (2, 0), (1, 1), (2, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	1	454	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	819.2313418998383	['right', 'left', 'left', 'left', 'left', 'left']	[6.47753950022161, 8.567766800057143, 10.9689589003101, 12.498708600178361, 14.584876799955964, 16.4945896002464]	NA	NA	NA	NA	eaj	001	2026-03-03_16h44.19.265	SS	2023.1.0	59.91180975828166	NA
[(0, 0), (2, 1), (1, 1), (0, 2), (2, 2), (1, 1), (2, 2), (2, 1), (1, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	2	2	151	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	838.2156050996855	['left', 'left', 'left', 'left', 'left', 'left']	[6.75946980016306, 8.654734199866652, 10.613142100162804, 12.47776969987899, 14.587970700114965, 16.629517199937254]	NA	NA	NA	NA	eaj	001	2026-03-03_16h44.19.265	SS	2023.1.0	59.91180975828166	NA
[(1, 1), (1, 0), (2, 2), (0, 1), (2, 2), (1, 0), (2, 0), (2, 2), (1, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	3	3	410	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	857.2290450995788	['left', 'left', 'left', 'left', 'left', 'left']	[6.950532199814916, 8.735727900173515, 10.528798699844629, 12.449241499882191, 14.432604699861258, 16.440695700235665]	NA	NA	NA	NA	eaj	001	2026-03-03_16h44.19.265	SS	2023.1.0	59.91180975828166	NA
[(0, 2), (0, 1), (1, 1), (1, 2), (0, 1), (1, 1), (1, 1), (1, 1), (1, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	4	4	574	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	876.2234925995581	['left', 'left', 'left', 'left', 'left', 'left']	[6.444431699812412, 8.43986489996314, 10.435147699899971, 12.41169389989227, 14.33514089975506, 16.697510099969804]	NA	NA	NA	NA	eaj	001	2026-03-03_16h44.19.265	SS	2023.1.0	59.91180975828166	NA
[(1, 2), (0, 1), (2, 2), (0, 0), (0, 2), (2, 2), (2, 1), (2, 1), (2, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	5	5	170	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	895.2220638999715	['left', 'left', 'left', 'left', 'left', 'left']	[6.491183999925852, 8.690799799747765, 10.535821999888867, 12.691170800011605, 14.639292699750513, 16.501717699691653]	NA	NA	NA	NA	eaj	001	2026-03-03_16h44.19.265	SS	2023.1.0	59.91180975828166	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	eaj	001	2026-03-03_16h44.19.265	SS	2023.1.0	59.91180975828166	NA
[(2, 1), (0, 1), (1, 1), (0, 2), (2, 0), (1, 1), (0, 2), (1, 1), (2, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	0	0	416	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	915.622522899881	['left', 'left', 'left', 'left', 'left', 'left']	[6.463975400198251, 8.464900600258261, 10.514077700208873, 12.475266400258988, 14.636517799925059, 16.55117620015517]	NA	NA	NA	NA	eaj	001	2026-03-03_16h44.19.265	SS	2023.1.0	59.91180975828166	NA
[(2, 2), (1, 2), (2, 2), (1, 1), (1, 2), (2, 1), (0, 1), (2, 2), (2, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	1	1	681	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	934.6322724996136	['left', 'left', 'left', 'left', 'right', 'left']	[7.330442599952221, 8.790606600232422, 10.558614100329578, 12.519887400325388, 14.544869100209326, 16.5913811000064]	NA	NA	NA	NA	eaj	001	2026-03-03_16h44.19.265	SS	2023.1.0	59.91180975828166	NA
[(2, 0), (1, 2), (2, 0), (1, 0), (1, 2), (1, 1), (2, 2), (1, 0), (1, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	2	2	586	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	953.6292472998612	['left', 'left', 'left', 'left', 'left', 'left']	[7.013032299932092, 8.772530499845743, 10.478752600029111, 12.565082799643278, 14.42881349986419, 16.442776300013065]	NA	NA	NA	NA	eaj	001	2026-03-03_16h44.19.265	SS	2023.1.0	59.91180975828166	NA
