training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	arsal_train.thisRepN	arsal_train.thisTrialN	arsal_train.thisN	arsal_train.thisIndex	arsal_s2.thisRepN	arsal_s2.thisTrialN	arsal_s2.thisN	arsal_s2.thisIndex	arsal_s3.thisRepN	arsal_s3.thisTrialN	arsal_s3.thisN	arsal_s3.thisIndex	arsal_s4.thisRepN	arsal_s4.thisTrialN	arsal_s4.thisN	arsal_s4.thisIndex	blank.started	matrix_resp.started	sequence	repeat_idx	matrix_resp.keys	matrix_resp.rt	trainconf.keys	trainconf.rt	blank.stopped	matrix_resp_2.started	matrix_resp_2.keys	matrix_resp_2.rt	matrix_resp_3.started	matrix_resp_3.keys	matrix_resp_3.rt	byebye_text.started	participant	session	date	expName	psychopyVersion	frameRate	...43
0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	268.2196626998484	268.7862970000133	[[(-1, -1, 1), (-1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, -0.2, -1), (1, 1, -1), (-1, 1, -1), (1, -0.2, -1), (1, 1, -1)], [(1, -0.2, -1), (-1, 1, -1), (-1, 1, -1), (1, -0.2, -1), (1, 1, -1), (1, -0.2, -1), (1, 1, -1), (1, -0.2, -1), (1, 1, -1)], [(1, -0.2, -1), (1, -1, -1), (-1, 1, -1), (1, -0.2, -1), (-1, -1, 1), (1, -0.2, -1), (-1, 1, -1), (-1, 1, -1), (1, -0.2, -1)], [(1, -1, 1), (1, 1, -1), (-1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, 1, -1), (1, -1, 1), (-1, 1, -1), (-1, 1, -1)], [(1, 1, -1), (1, 1, -1), (1, 1, -1), (-1, 1, -1), (-1, 1, -1), (1, -0.2, -1), (-1, 1, -1), (1, -0.2, -1), (1, -0.2, -1)], [(1, 1, -1), (1, 1, -1), (1, -1, -1), (1, -1, -1), (1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1)], [(1, -1, -1), (1, 1, -1), (1, -1, -1), (1, 1, -1), (1, -1, -1), (1, 1, -1), (1, -1, -1), (1, 1, -1), (-1, 1, -1)], [(1, 1, -1), (1, 1, -1), (1, -1, -1), (1, -1, -1), (1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1)]]	5	['right', 'right', 'right']	[6.539189300034195, 19.85847959993407, 22.15762270009145]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h22.46.732	CMT	2023.1.0	60.17328707668956	NA
0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	292.7828985999804	NA	NA	NA	NA	NA	['n']	[19.179619600297883]	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h22.46.732	CMT	2023.1.0	60.17328707668956	NA
1	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	312.4140419999603	312.96343540004455	[[(-1, -1, 1), (1, -0.2, -1), (-1, -1, 1), (1, 1, -1), (-1, -1, 1), (-1, -1, 1), (-1, 1, -1), (1, 1, -1), (1, 1, -1)], [(-1, 1, -1), (-1, -1, 1), (1, -1, -1), (-1, -1, 1), (-1, 1, -1), (1, -1, -1), (-1, 1, -1), (1, 1, -1), (1, 1, -1)], [(1, -1, -1), (1, -1, -1), (1, 1, -1), (-1, 1, -1), (1, -1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (1, -1, -1)], [(1, -1, -1), (-1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (-1, 1, -1), (1, -1, -1), (-1, 1, -1), (-1, -1, 1), (1, -1, -1)], [(1, -0.2, -1), (1, 1, -1), (-1, 1, -1), (1, -0.2, -1), (-1, 1, -1), (1, -0.2, -1), (-1, -1, 1), (1, -0.2, -1), (1, 1, -1)], [(1, -1, -1), (1, 1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (1, -1, -1), (-1, 1, -1), (1, 1, -1), (1, 1, -1)], [(1, 1, -1), (1, -1, -1), (1, 1, -1), (1, -1, -1), (1, -1, -1), (-1, -1, 1), (-1, 1, -1), (1, -1, -1), (1, -1, -1)], [(-1, 1, -1), (-1, -1, 1), (1, -1, -1), (-1, -1, 1), (-1, 1, -1), (1, -1, -1), (-1, 1, -1), (1, 1, -1), (1, 1, -1)]]	1	['left', 'right', 'left', 'left', 'left', 'right', 'right']	[5.274739000014961, 9.241968100192025, 10.427990399999544, 13.289158700034022, 16.162753000156954, 19.851107600145042, 23.4622376000043]	NA	NA	312.96343540004455	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h22.46.732	CMT	2023.1.0	60.17328707668956	NA
1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	336.9272131999023	NA	NA	NA	NA	NA	['y']	[24.999297300120816]	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h22.46.732	CMT	2023.1.0	60.17328707668956	NA
NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	389.05294490000233	389.5858547999523	[[(1, 1, -1), (-1, 1, -1), (1, -1, 1), (1, 1, -1), (1, 1, -1), (1, -1, 1), (1, -1, 1), (1, 1, -1), (1, -1, 1)], [(1, -1, -1), (1, 1, -1), (1, -1, -1), (1, 1, -1), (-1, 1, -1), (1, 1, -1), (-1, 1, -1), (-1, 1, -1), (-1, 1, -1)], [(1, 1, -1), (-1, -1, 1), (1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, -1, 1), (-1, 1, -1), (1, 1, -1), (1, -1, 1)], [(-1, 1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, 1), (-1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, -1, 1), (1, -1, -1)], [(-1, -1, 1), (-1, 1, -1), (-1, -1, 1), (-1, 1, -1), (-1, -1, 1), (1, 1, -1), (1, 1, -1), (-1, 1, -1), (-1, 1, -1)], [(1, 1, -1), (-1, -1, 1), (1, 1, -1), (-1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, -1, 1), (-1, 1, -1), (1, 1, -1)], [(-1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, -1), (-1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (-1, 1, -1), (1, -0.2, -1)], [(-1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, -1), (-1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (-1, 1, -1), (1, -0.2, -1)]]	6	['left', 'left', 'left', 'left', 'left', 'left']	[4.55963380006142, 7.422358400188386, 11.69847060018219, 14.183126300107688, 16.394482400268316, 19.1614440002013]	NA	NA	389.5858547999523	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h22.46.732	CMT	2023.1.0	60.17328707668956	NA
NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	413.59952589985915	414.10172529984266	[[(1, -0.2, -1), (1, -0.2, -1), (-1, -1, 1), (1, -1, -1), (1, -0.2, -1), (1, -1, -1), (1, -0.2, -1), (-1, 1, -1), (1, -0.2, -1)], [(1, -1, -1), (-1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (-1, -1, 1), (1, -1, -1), (1, -1, -1)], [(1, 1, -1), (1, -1, 1), (-1, -1, 1), (1, 1, -1), (-1, 1, -1), (1, -1, 1), (-1, 1, -1), (-1, -1, 1), (-1, -1, 1)], [(1, -1, -1), (1, -1, -1), (1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (-1, -1, 1), (-1, 1, -1), (1, -1, -1)], [(1, -1, 1), (1, -1, -1), (1, -1, -1), (1, -1, 1), (-1, 1, -1), (1, -1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1)], [(1, -1, 1), (1, 1, -1), (-1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, -1, 1), (1, 1, -1), (-1, -1, 1), (1, 1, -1)], [(1, -0.2, -1), (1, -0.2, -1), (1, 1, -1), (1, -0.2, -1), (1, 1, -1), (-1, -1, 1), (1, 1, -1), (-1, -1, 1), (1, -0.2, -1)], [(1, 1, -1), (1, -1, 1), (-1, -1, 1), (1, 1, -1), (-1, 1, -1), (1, -1, 1), (-1, 1, -1), (-1, -1, 1), (-1, -1, 1)]]	2	['right', 'left', 'left', 'left', 'left', 'left', 'left']	[4.2930754001718014, 7.448106900090352, 10.42673180019483, 14.160666600102559, 16.47301990026608, 19.417710800189525, 23.105334400199354]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h22.46.732	CMT	2023.1.0	60.17328707668956	NA
NA	NA	NA	NA	NA	NA	NA	NA	2	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	438.1126929998863	438.59602399985306	[[(-1, -1, 1), (1, -1, -1), (-1, -1, 1), (-1, 1, -1), (1, -1, -1), (1, -1, 1), (1, -1, -1), (1, -1, 1), (1, -1, -1)], [(1, -1, 1), (1, -1, -1), (1, -1, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, -1, -1), (1, -1, 1)], [(-1, 1, -1), (-1, 1, -1), (1, -0.2, -1), (-1, -1, 1), (1, -0.2, -1), (-1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, 1)], [(-1, 1, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, 1), (-1, 1, -1), (1, -1, 1)], [(1, 1, -1), (1, 1, -1), (1, -1, 1), (-1, 1, -1), (1, 1, -1), (1, -1, 1), (1, 1, -1), (1, -1, 1), (1, 1, -1)], [(-1, 1, -1), (1, -1, 1), (-1, -1, 1), (1, -1, 1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (1, -1, 1), (1, -1, -1)], [(1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (1, 1, -1), (1, 1, -1), (-1, 1, -1), (1, -0.2, -1), (1, 1, -1)], [(-1, 1, -1), (-1, 1, -1), (1, -0.2, -1), (-1, -1, 1), (1, -0.2, -1), (-1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, 1)]]	2	['right', 'left', 'right', 'left', 'left', 'left', 'left']	[4.086452700197697, 7.967456900281832, 10.56904730014503, 13.369963000295684, 16.746479900320992, 19.53645780030638, 23.478417000267655]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h22.46.732	CMT	2023.1.0	60.17328707668956	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	462.5594315999187	NA	[[(1, 1, -1), (-1, -1, 1), (1, 0.5, -1), (1, 1, -1), (1, -1, 1), (1, 0.5, -1), (-1, 1, -1), (-1, 1, -1), (1, 1, -1)], [(1, 0.5, -1), (-1, -1, 1), (-1, -1, 1), (1, 0.5, -1), (1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, -1, 1), (-1, -1, 1)], [(-1, -1, 1), (-1, -1, 1), (1, -1, 1), (1, 0.5, -1), (1, 0.5, -1), (1, 0.5, -1), (-1, -1, 1), (1, 0.5, -1), (1, -1, -1)], [(-1, -1, 1), (-1, -1, 1), (-1, -1, 1), (1, 0.5, -1), (1, 0.5, -1), (1, 0.5, -1), (1, 0.5, -1), (1, 1, -1), (-1, -1, 1)], [(1, -1, 1), (1, -1, 1), (1, 0.5, -1), (1, -1, 1), (-1, -1, 1), (1, -1, 1), (1, -1, 1), (1, 0.5, -1), (-1, 1, -1)], [(1, -1, -1), (-1, 1, -1), (-1, -1, 1), (1, 1, -1), (1, -1, -1), (-1, 1, -1), (1, -1, 1), (-1, -1, 1), (1, -1, 1)], [(-1, 1, -1), (1, -1, 1), (-1, 1, -1), (-1, 1, -1), (1, -1, 1), (-1, -1, 1), (-1, 1, -1), (-1, -1, 1), (-1, -1, 1)], [(-1, -1, 1), (-1, -1, 1), (1, -1, 1), (1, 0.5, -1), (1, 0.5, -1), (1, 0.5, -1), (-1, -1, 1), (1, 0.5, -1), (1, -1, -1)]]	2	NA	NA	NA	NA	NA	463.0942444000393	['left', 'left', 'left', 'left', 'left', 'left', 'left']	[5.887891400139779, 7.720898500178009, 10.40178250009194, 13.400816900189966, 15.975672100204974, 19.64180970005691, 23.860177300171927]	NA	NA	NA	NA	taa	001	2026-02-19_19h22.46.732	CMT	2023.1.0	60.17328707668956	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	NA	NA	487.0898293000646	NA	[[(1, 0.5, -1), (1, -1, 1), (1, 1, -1), (1, 0.5, -1), (1, -1, 1), (1, 0.5, -1), (1, 0.5, -1), (-1, 1, -1), (1, 1, -1)], [(-1, 1, -1), (1, -1, -1), (1, -1, 1), (1, 1, -1), (1, 1, -1), (-1, 1, -1), (-1, 1, -1), (1, -1, -1), (-1, 1, -1)], [(1, -1, -1), (1, -1, -1), (1, 1, -1), (1, -1, -1), (-1, 1, -1), (-1, 1, -1), (-1, 1, -1), (-1, -1, 1), (1, -1, -1)], [(-1, -1, 1), (1, -1, 1), (1, 1, -1), (-1, 1, -1), (-1, -1, 1), (1, -1, 1), (1, -1, 1), (-1, -1, 1), (-1, 1, -1)], [(1, -1, -1), (1, 1, -1), (1, -1, -1), (1, -1, -1), (1, 0.5, -1), (-1, -1, 1), (1, 0.5, -1), (-1, 1, -1), (1, 0.5, -1)], [(1, 0.5, -1), (1, 1, -1), (-1, 1, -1), (1, 0.5, -1), (1, 1, -1), (-1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, 1, -1)], [(1, 1, -1), (-1, 1, -1), (-1, 1, -1), (1, -1, 1), (1, 0.5, -1), (1, 1, -1), (1, 0.5, -1), (1, 0.5, -1), (1, 0.5, -1)], [(1, -1, -1), (1, -1, -1), (1, 1, -1), (1, -1, -1), (-1, 1, -1), (-1, 1, -1), (-1, 1, -1), (-1, -1, 1), (1, -1, -1)]]	2	NA	NA	NA	NA	NA	487.593262600014	['left', 'left', 'left', 'left', 'left', 'right', 'left']	[3.907223500078544, 7.305482600117102, 9.93774010008201, 13.390277600148693, 17.056006600148976, 19.79509130027145, 23.351881900103763]	NA	NA	NA	NA	taa	001	2026-02-19_19h22.46.732	CMT	2023.1.0	60.17328707668956	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	2	0	NA	NA	NA	NA	511.619593600044	NA	[[(1, 0.5, -1), (1, 0.5, -1), (1, 0.5, -1), (1, 1, -1), (1, -1, -1), (1, 0.5, -1), (-1, -1, 1), (1, 0.5, -1), (-1, -1, 1)], [(1, -1, -1), (1, 1, -1), (-1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, -1), (1, -1, -1), (1, 1, -1), (1, -1, 1)], [(1, -1, -1), (1, -1, 1), (-1, -1, 1), (1, -1, -1), (1, -1, -1), (1, 1, -1), (1, -1, -1), (1, 1, -1), (-1, 1, -1)], [(-1, 1, -1), (1, -1, -1), (-1, -1, 1), (1, 0.5, -1), (-1, -1, 1), (-1, -1, 1), (1, -1, -1), (-1, -1, 1), (1, -1, 1)], [(1, 0.5, -1), (1, -1, -1), (-1, 1, -1), (1, -1, 1), (1, -1, -1), (1, -1, -1), (-1, 1, -1), (1, -1, -1), (1, -1, 1)], [(1, 1, -1), (1, 1, -1), (1, 0.5, -1), (-1, -1, 1), (1, 1, -1), (-1, -1, 1), (1, 1, -1), (1, 1, -1), (1, 1, -1)], [(-1, 1, -1), (1, -1, 1), (-1, -1, 1), (-1, -1, 1), (1, -1, 1), (1, 1, -1), (1, -1, 1), (-1, 1, -1), (1, 1, -1)], [(1, -1, -1), (1, 1, -1), (-1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, -1), (1, -1, -1), (1, 1, -1), (1, -1, 1)]]	1	NA	NA	NA	NA	NA	512.1060561998747	['left', 'right', 'left', 'left', 'left', 'left', 'left']	[4.252564100082964, 8.44790150015615, 10.74180750013329, 14.544246800243855, 16.85645930026658, 19.312702000141144, 22.77821380016394]	NA	NA	NA	NA	taa	001	2026-02-19_19h22.46.732	CMT	2023.1.0	60.17328707668956	NA
