sequence	training_session.thisRepN	training_session.thisTrialN	training_session.thisN	training_session.thisIndex	training_2n.thisRepN	training_2n.thisTrialN	training_2n.thisN	training_2n.thisIndex	training_3n.thisRepN	training_3n.thisTrialN	training_3n.thisN	training_3n.thisIndex	training_4n.thisRepN	training_4n.thisTrialN	training_4n.thisN	training_4n.thisIndex	allrep_2nback.thisRepN	allrep_2nback.thisTrialN	allrep_2nback.thisN	allrep_2nback.thisIndex	trials_2nback.thisRepN	trials_2nback.thisTrialN	trials_2nback.thisN	trials_2nback.thisIndex	allrep_3nback.thisRepN	allrep_3nback.thisTrialN	allrep_3nback.thisN	allrep_3nback.thisIndex	trials_3nback.thisRepN	trials_3nback.thisTrialN	trials_3nback.thisN	trials_3nback.thisIndex	allrep_4nback.thisRepN	allrep_4nback.thisTrialN	allrep_4nback.thisN	allrep_4nback.thisIndex	trials_4nback.thisRepN	trials_4nback.thisTrialN	trials_4nback.thisN	trials_4nback.thisIndex	buffer02_txt.started	test_griddot_resp2.started	test_griddot_resp2.keys	test_griddot_resp2.rt	buffer23_txt.started	test_griddot_resp3.started	test_griddot_resp3.keys	test_griddot_resp3.rt	buffer34_txt.started	test_griddot_resp4.started	test_griddot_resp4.keys	test_griddot_resp4.rt	confirm_resp.started	confirm_resp.keys	confirm_resp.rt	buffer02_txt.stopped	instr_text_2.started	griddot_resp2.started	griddot_resp2.keys	griddot_resp2.rt	buffer23_txt.stopped	griddot_resp3.started	griddot_resp3.keys	griddot_resp3.rt	buffer34_txt.stopped	griddot_resp4.started	griddot_resp4.keys	griddot_resp4.rt	participant	session	date	expName	psychopyVersion	frameRate	...76
[(0, 2), (1, 2), (1, 2), (1, 2), (2, 0), (1, 2), (2, 1), (0, 1)]	0	0	0	0	0	0	0	88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	338.86710479995236	342.94929890008643	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(0, 0), (0, 2), (2, 1), (2, 0), (0, 0), (2, 0), (0, 0), (0, 2)]	0	0	0	0	0	1	1	82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	359.93046659999527	['left', 'left', 'left']	[5.209768399829045, 8.743622199865058, 11.125366799766198]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(1, 1), (2, 1), (2, 1), (0, 2), (2, 1), (1, 0), (2, 1), (0, 2)]	0	0	0	0	0	2	2	338	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	376.9812566000037	['left', 'left']	[5.822394099785015, 9.355797299882397]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(2, 2), (1, 1), (2, 1), (2, 0), (1, 1), (2, 1), (0, 0), (1, 2), (2, 0)]	0	0	0	0	NA	NA	NA	NA	0	0	0	587	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	393.85952650010586	397.9425953000318	['left']	[7.56391239981167]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(2, 2), (0, 1), (1, 0), (2, 2), (0, 1), (1, 2), (1, 1), (1, 2), (2, 1)]	0	0	0	0	NA	NA	NA	NA	0	1	1	48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	416.9234264001716	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(2, 0), (0, 1), (1, 0), (0, 2), (1, 2), (2, 1), (2, 2), (1, 2), (2, 1)]	0	0	0	0	NA	NA	NA	NA	0	2	2	538	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	435.9370236999821	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(1, 1), (0, 2), (0, 1), (2, 0), (2, 2), (0, 2), (0, 0), (0, 2), (2, 2), (0, 1)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	454.85498040006496	458.93729780009016	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(0, 1), (0, 2), (0, 2), (1, 2), (0, 1), (0, 0), (0, 2), (2, 2), (0, 2), (2, 1)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	566	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	479.9013817000669	['left', 'left']	[7.157745299860835, 9.104147099889815]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(1, 1), (1, 0), (2, 1), (1, 2), (1, 1), (2, 1), (1, 2), (1, 2), (0, 0), (1, 1)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	2	2	552	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	500.928366499953	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	520.8585757000837	n	3.822797899832949	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(1, 1), (0, 2), (2, 0), (0, 1), (2, 0), (0, 0), (2, 0), (1, 2)]	1	0	1	0	0	0	0	178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	525.7078583000693	529.7910551000386	['left', 'left', 'right', 'left', 'right', 'left']	[4.587730399798602, 6.7234224998392165, 9.405272799776867, 11.29763609985821, 13.307877799961716, 15.375824399990961]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	528.8072701999918	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(1, 1), (2, 1), (0, 1), (2, 1), (1, 2), (2, 0), (1, 2), (2, 2)]	1	0	1	0	0	1	1	65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	546.7879874000791	['left', 'right', 'left', 'left', 'right', 'left']	[5.272341599920765, 6.831786299822852, 8.853777999756858, 10.84167669992894, 12.576635199831799, 15.049190399935469]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(2, 1), (2, 2), (2, 0), (1, 2), (0, 1), (1, 2), (1, 2), (1, 2)]	1	0	1	0	0	2	2	205	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	563.7857468000147	['left', 'left', 'left', 'right', 'left', 'right']	[4.588338499888778, 7.042913399869576, 8.846158099826425, 10.5663069000002, 13.251002199947834, 15.310613099951297]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(1, 1), (0, 2), (2, 1), (1, 1), (2, 2), (2, 1), (1, 2), (2, 0), (0, 2)]	1	0	1	0	NA	NA	NA	NA	0	0	0	672	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	580.7168929001782	584.7997992001474	['right', 'left', 'right', 'left', 'left', 'left']	[7.0026885997504, 8.632447199895978, 11.175069999881089, 13.729889499722049, 15.293396799825132, 17.46066609979607]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(0, 0), (1, 0), (1, 0), (0, 0), (1, 0), (2, 2), (2, 0), (2, 0), (2, 0)]	1	0	1	0	NA	NA	NA	NA	0	1	1	661	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	603.7833410999738	['right', 'right', 'left', 'left', 'left', 'right']	[6.721743399975821, 9.070518199820071, 10.681977899977937, 12.994729300029576, 15.486546800006181, 17.060803100001067]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(0, 2), (1, 2), (2, 0), (0, 2), (2, 0), (2, 0), (2, 2), (0, 0), (1, 1)]	1	0	1	0	NA	NA	NA	NA	0	2	2	280	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	622.7781242001802	['right', 'right', 'left', 'left', 'left', 'left']	[6.930836099898443, 9.405487899901345, 11.028534600045532, 12.79182989988476, 14.952370200073346, 16.862971700029448]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(0, 0), (0, 0), (0, 0), (1, 0), (0, 0), (2, 1), (0, 2), (1, 2), (0, 2), (2, 1)]	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	641.7251240999904	645.7915972000919	['right', 'left', 'left', 'left', 'left', 'left']	[8.615314000053331, 11.165454200003296, 12.88511519995518, 14.87145800003782, 17.418842500075698, 19.458246499998495]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(0, 1), (0, 0), (0, 0), (0, 0), (2, 2), (1, 0), (2, 0), (0, 0), (2, 2), (1, 0)]	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	666.7879141999874	['left', 'left', 'left', 'left', 'left']	[8.875840299762785, 11.357439799932763, 13.074346099980175, 16.764396299840882, 19.26746409991756]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(2, 2), (0, 2), (1, 0), (2, 2), (1, 2), (0, 2), (0, 1), (1, 1), (1, 2), (1, 2)]	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	0	2	2	162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	687.7850399999879	['right', 'right', 'left', 'left']	[9.278305299812928, 11.248964199796319, 12.65519869979471, 15.159256899729371]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
NA	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	707.7160653001629	y	29.24550010007806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(2, 2), (1, 1), (2, 2), (1, 0), (2, 2), (2, 2), (1, 2), (2, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	290	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	760.6460941999685	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	763.7079592000227	736.978486899985	764.7077295000199	['right', 'left', 'right', 'left', 'left', 'left']	[4.819701099768281, 7.102767899865285, 9.299092599889264, 11.539170599775389, 13.751828199718148, 15.427503399783745]	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(0, 2), (2, 2), (1, 1), (1, 1), (1, 1), (1, 2), (1, 1), (0, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	1	174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	781.7390740001574	['left', 'left', 'right', 'left', 'right', 'left']	[5.009164999704808, 6.823735399870202, 8.852972999680787, 11.049639499746263, 13.120843299897388, 14.984156799735501]	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(0, 1), (2, 1), (0, 1), (2, 1), (1, 1), (2, 0), (0, 1), (2, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	2	2	572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	798.7363901999779	['right', 'right', 'left', 'left', 'left', 'right']	[5.393019199836999, 7.065155299846083, 8.813695299904794, 10.730452799936756, 12.886739499866962, 14.957666699774563]	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(2, 1), (0, 2), (2, 1), (0, 2), (1, 2), (2, 0), (0, 0), (0, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	3	3	164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	815.7176964001264	['right', 'right', 'left', 'left', 'left', 'left']	[5.117171299876645, 7.235491999890655, 8.749197100056335, 11.33165799989365, 13.059515799861401, 15.20596529985778]	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(1, 1), (2, 1), (2, 2), (2, 1), (2, 0), (0, 2), (2, 0), (2, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	4	4	195	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	832.7324068001471	['left', 'right', 'left', 'left', 'right', 'left']	[5.0191365997307, 7.129502199823037, 8.898090599803254, 11.026872999733314, 12.789089199854061, 15.159767499892041]	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(1, 2), (0, 1), (1, 1), (1, 1), (1, 1), (1, 2), (1, 0), (1, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	5	5	39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	849.7463477000128	['left', 'left', 'right', 'left', 'left', 'right']	[5.194711199961603, 7.451197399990633, 8.722498700022697, 10.835606599925086, 13.160082299960777, 14.733145299833268]	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(0, 0), (0, 1), (2, 0), (0, 1), (1, 0), (2, 0), (1, 0), (0, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	0	0	303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	868.9603091999888	['left', 'left', 'left', 'left', 'left', 'left']	[6.1136842998676, 6.621662599733099, 8.744699099799618, 11.52141029969789, 13.336856399895623, 15.276925499783829]	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(2, 2), (2, 2), (1, 1), (2, 2), (1, 0), (2, 1), (1, 0), (0, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	1	1	72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	885.9745763000101	['left', 'left', 'left', 'right', 'left']	[5.0659744997974485, 8.697619899874553, 11.118068399839103, 13.160685099894181, 14.745681999949738]	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(0, 0), (2, 2), (0, 0), (1, 2), (0, 1), (1, 2), (1, 1), (2, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	2	2	419	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	902.9722140999512	['left', 'left', 'left', 'right', 'left', 'left']	[5.356405099853873, 7.104382100049406, 8.874027000041679, 10.61444709985517, 12.74998899991624, 14.947946999920532]	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(0, 1), (2, 1), (0, 1), (2, 1), (0, 2), (0, 0), (2, 1), (1, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	3	3	502	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	919.9865220000502	['right', 'right', 'left', 'left', 'left', 'left']	[4.940141899976879, 6.899963299976662, 8.705627199960873, 10.692992799915373, 13.290313699981198, 14.741628699935973]	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
