sequence	training_session.thisRepN	training_session.thisTrialN	training_session.thisN	training_session.thisIndex	training_2n.thisRepN	training_2n.thisTrialN	training_2n.thisN	training_2n.thisIndex	training_3n.thisRepN	training_3n.thisTrialN	training_3n.thisN	training_3n.thisIndex	training_4n.thisRepN	training_4n.thisTrialN	training_4n.thisN	training_4n.thisIndex	allrep_2nback.thisRepN	allrep_2nback.thisTrialN	allrep_2nback.thisN	allrep_2nback.thisIndex	trials_2nback.thisRepN	trials_2nback.thisTrialN	trials_2nback.thisN	trials_2nback.thisIndex	allrep_3nback.thisRepN	allrep_3nback.thisTrialN	allrep_3nback.thisN	allrep_3nback.thisIndex	trials_3nback.thisRepN	trials_3nback.thisTrialN	trials_3nback.thisN	trials_3nback.thisIndex	allrep_4nback.thisRepN	allrep_4nback.thisTrialN	allrep_4nback.thisN	allrep_4nback.thisIndex	trials_4nback.thisRepN	trials_4nback.thisTrialN	trials_4nback.thisN	trials_4nback.thisIndex	buffer02_txt.started	test_griddot_resp2.started	test_griddot_resp2.keys	test_griddot_resp2.rt	buffer23_txt.started	test_griddot_resp3.started	test_griddot_resp3.keys	test_griddot_resp3.rt	buffer34_txt.started	test_griddot_resp4.started	test_griddot_resp4.keys	test_griddot_resp4.rt	confirm_resp.started	confirm_resp.keys	confirm_resp.rt	buffer02_txt.stopped	instr_text_2.started	griddot_resp2.started	griddot_resp2.keys	griddot_resp2.rt	buffer23_txt.stopped	griddot_resp3.started	griddot_resp3.keys	griddot_resp3.rt	buffer34_txt.stopped	griddot_resp4.started	griddot_resp4.keys	griddot_resp4.rt	participant	session	date	expName	psychopyVersion	frameRate	...76
[(2, 1), (0, 1), (2, 1), (2, 1), (2, 1), (2, 0), (2, 2), (1, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	4	4	334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	936.9838118001352	['right', 'left', 'right', 'left', 'left', 'left']	[5.230745099950582, 7.006539499852806, 8.829958899877965, 10.837531700031832, 12.855031999992207, 14.725982900010422]	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(2, 0), (2, 0), (2, 0), (2, 0), (0, 0), (2, 2), (2, 1), (2, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	5	5	516	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	953.965122600086	['right', 'right', 'left', 'left', 'left', 'left']	[4.899181299842894, 7.1414202998857945, 8.807244800031185, 11.059630000032485, 12.75308179995045, 14.900706399930641]	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(0, 2), (2, 1), (2, 1), (2, 2), (2, 1), (2, 1), (0, 1), (2, 2), (1, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	973.3791863000952	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	976.4643666001502	977.4785108000506	['left', 'right', 'right', 'left', 'right', 'left']	[6.811663999920711, 9.321774800075218, 11.19638149999082, 12.882006600033492, 14.825994699960575, 17.14153499994427]	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(2, 2), (1, 2), (0, 0), (2, 2), (2, 1), (0, 0), (2, 0), (0, 1), (0, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	1	575	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	996.459652800113	['right', 'left', 'right', 'left', 'right', 'left']	[7.024802299914882, 8.752556499792263, 11.185849699890241, 13.212229599710554, 15.436917799757794, 16.769864999921992]	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(2, 0), (2, 2), (1, 2), (0, 1), (2, 2), (1, 2), (2, 0), (1, 2), (0, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	2	2	494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1015.4571877999696	['left', 'left', 'left', 'right', 'left', 'left']	[7.1208879998885095, 9.499431299744174, 11.54283869988285, 13.623205799842253, 15.22982669994235, 17.239021599758416]	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(1, 2), (2, 2), (1, 0), (1, 2), (0, 2), (1, 2), (1, 0), (0, 2), (0, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	3	3	186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1034.4385049000848	['right', 'left', 'left', 'right', 'right', 'left']	[7.156465199775994, 8.714421099983156, 11.042444399790838, 12.858411599881947, 14.900059699779376, 17.423748799832538]	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(2, 1), (0, 2), (0, 1), (1, 1), (0, 1), (0, 1), (1, 1), (1, 1), (0, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	4	4	440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1053.4510184000246	['left', 'left', 'right', 'left', 'right', 'right']	[7.369485999923199, 9.415619099978358, 11.35039239982143, 13.246637899894267, 15.03308379999362, 17.1642541999463]	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(0, 1), (1, 2), (1, 2), (0, 1), (0, 1), (0, 0), (0, 1), (2, 0), (1, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	5	5	659	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1072.4659438000526	['right', 'right', 'left', 'right', 'left', 'right']	[7.180294099962339, 9.24873590003699, 10.793643099954352, 13.175179400015622, 15.1796971000731, 16.973962099989876]	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(0, 2), (2, 1), (0, 0), (0, 0), (1, 1), (0, 0), (0, 0), (0, 0), (1, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	0	0	154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1093.4291513999924	['left', 'left', 'right', 'right', 'right']	[8.037643000017852, 8.724565299926326, 13.007572999922559, 15.287396699888632, 17.155508499825373]	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(2, 0), (1, 1), (1, 2), (2, 0), (0, 0), (1, 2), (2, 1), (1, 1), (1, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	1	1	167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1112.3939670999534	['left', 'left', 'right']	[9.065065399743617, 13.371875699842349, 17.270218099933118]	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(2, 1), (1, 1), (1, 2), (2, 2), (1, 1), (1, 1), (2, 2), (0, 2), (0, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	2	2	168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1131.4069281001575	['left', 'right', 'left', 'left']	[6.770791499875486, 13.10463700001128, 15.239219599869102, 17.17212519980967]	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(2, 2), (0, 1), (2, 0), (2, 2), (2, 2), (0, 1), (2, 1), (2, 2), (0, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	3	3	591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1150.4049729001708	['right', 'left', 'left', 'right']	[7.215374199906364, 9.531915999948978, 12.790967899840325, 17.108551299897954]	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(2, 2), (1, 2), (2, 2), (0, 2), (1, 1), (2, 2), (2, 0), (2, 1), (2, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	4	4	639	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1169.4019000001715	['left', 'right', 'right', 'left']	[6.856191999744624, 11.708853399846703, 13.85704579972662, 15.156022499781102]	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(2, 0), (0, 0), (0, 0), (1, 1), (1, 2), (2, 0), (2, 0), (1, 2), (2, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	5	5	517	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1188.432542799972	['left', 'left', 'left', 'left', 'left', 'right']	[6.9561669998802245, 9.101561499759555, 11.112991299945861, 13.190984399756417, 15.114569699857384, 17.333317099837586]	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(0, 2), (0, 1), (1, 2), (0, 0), (2, 2), (2, 2), (2, 2), (0, 0), (2, 1), (2, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	276	NA	NA	NA	NA	NA	NA	NA	NA	1207.8299771000163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1210.9133500000462	1211.9124480001628	['left', 'left', 'left', 'right', 'left', 'right']	[8.635095399804413, 10.972404300002381, 12.975635499926284, 15.380225399974734, 17.230546899838373, 19.19497439987026]	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(0, 2), (1, 2), (1, 1), (2, 2), (1, 0), (0, 1), (1, 1), (1, 2), (1, 0), (2, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	1	433	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1232.9263439001516	['left', 'left', 'right', 'left', 'right', 'right']	[9.14022249984555, 11.277491600019857, 13.257522499887273, 15.256931599928066, 17.229423499898985, 19.133725699968636]	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(1, 2), (0, 0), (2, 1), (0, 1), (1, 2), (1, 1), (0, 0), (0, 2), (0, 0), (1, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	2	2	483	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1253.9235835999716	['right', 'left', 'left', 'left']	[9.09527359972708, 11.16987429978326, 13.433154299855232, 15.238923799945042]	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(1, 0), (2, 2), (1, 2), (1, 2), (1, 0), (1, 2), (0, 0), (0, 2), (1, 0), (2, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	3	3	442	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1274.9220790001564	['right', 'left', 'left', 'left', 'left']	[11.477899899939075, 13.39216939988546, 15.322312199976295, 17.167942499974743, 19.07105759996921]	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(2, 2), (0, 2), (2, 1), (2, 2), (1, 0), (0, 0), (2, 1), (2, 2), (0, 2), (1, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	4	4	511	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1295.9177143000998	['left', 'left', 'left', 'right']	[8.84550469997339, 10.702039399882779, 12.785043699899688, 14.6567363999784]	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(2, 1), (2, 2), (2, 2), (1, 2), (2, 1), (1, 1), (2, 0), (1, 2), (1, 1), (0, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	5	5	388	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1316.9003769000992	['right', 'left', 'left', 'right', 'left']	[8.818408699706197, 10.701021099695936, 13.041171799879521, 14.950043199816719, 19.054177099838853]	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(2, 0), (0, 0), (1, 2), (1, 0), (0, 1), (2, 1), (2, 1), (1, 0), (0, 1), (2, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	0	0	557	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1340.2111033000983	['left', 'left', 'left', 'left', 'left', 'left']	[8.706697299843654, 11.184187499806285, 13.209180200006813, 15.147897299844772, 17.19315019994974, 19.162298899842426]	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(1, 0), (2, 2), (0, 0), (1, 0), (1, 0), (1, 1), (2, 0), (1, 0), (2, 2), (1, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	1	1	642	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1361.2422709001694	['left', 'left', 'left', 'left']	[10.963652499951422, 13.26170299993828, 15.365842399885878, 19.393777299905196]	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(2, 2), (1, 0), (0, 1), (1, 2), (0, 0), (1, 0), (1, 2), (1, 2), (1, 0), (2, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	2	2	641	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1382.2390443000477	['left', 'left', 'left', 'left', 'left', 'left']	[9.078692799899727, 11.334367899922654, 13.411491899983957, 15.384296600008383, 17.25625370000489, 19.076165199978277]	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(2, 1), (0, 1), (1, 0), (1, 1), (2, 1), (0, 1), (0, 1), (2, 1), (2, 0), (0, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	3	3	539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1403.2361225001514	['left', 'left', 'left']	[13.162326299818233, 15.368813999695703, 17.23726759967394]	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(0, 0), (0, 2), (1, 1), (0, 0), (0, 1), (1, 0), (2, 2), (1, 2), (0, 1), (1, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	4	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1424.532680900069	['left', 'left', 'left', 'left', 'left']	[8.938821699703112, 11.49552319967188, 12.948416599771008, 14.670572099741548, 16.521670799702406]	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
[(1, 2), (0, 1), (1, 1), (0, 1), (0, 1), (0, 1), (2, 2), (0, 1), (0, 1), (0, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	5	5	416	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1445.2136429999955	['right', 'right', 'left', 'right', 'left']	[8.888533700024709, 11.099186899838969, 12.866422899998724, 14.964891699841246, 18.871637400006875]	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	taa	001	2026-02-19_19h00.01.171	SS	2023.1.0	59.96185230019298	NA
