sequence	training_session.thisRepN	training_session.thisTrialN	training_session.thisN	training_session.thisIndex	training_2n.thisRepN	training_2n.thisTrialN	training_2n.thisN	training_2n.thisIndex	training_3n.thisRepN	training_3n.thisTrialN	training_3n.thisN	training_3n.thisIndex	training_4n.thisRepN	training_4n.thisTrialN	training_4n.thisN	training_4n.thisIndex	allrep_2nback.thisRepN	allrep_2nback.thisTrialN	allrep_2nback.thisN	allrep_2nback.thisIndex	trials_2nback.thisRepN	trials_2nback.thisTrialN	trials_2nback.thisN	trials_2nback.thisIndex	allrep_3nback.thisRepN	allrep_3nback.thisTrialN	allrep_3nback.thisN	allrep_3nback.thisIndex	trials_3nback.thisRepN	trials_3nback.thisTrialN	trials_3nback.thisN	trials_3nback.thisIndex	allrep_4nback.thisRepN	allrep_4nback.thisTrialN	allrep_4nback.thisN	allrep_4nback.thisIndex	trials_4nback.thisRepN	trials_4nback.thisTrialN	trials_4nback.thisN	trials_4nback.thisIndex	buffer02_txt.started	test_griddot_resp2.started	test_griddot_resp2.keys	buffer23_txt.started	test_griddot_resp3.started	test_griddot_resp3.keys	buffer34_txt.started	test_griddot_resp4.started	test_griddot_resp4.keys	confirm_resp.started	confirm_resp.keys	confirm_resp.rt	instr_text_2.started	griddot_resp2.started	griddot_resp2.keys	griddot_resp2.rt	buffer23_txt.stopped	griddot_resp3.started	griddot_resp3.keys	griddot_resp3.rt	buffer34_txt.stopped	griddot_resp4.started	griddot_resp4.keys	griddot_resp4.rt	participant	session	date	expName	psychopyVersion	frameRate
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.554	SS	2023.1.0	60.1966504293597
[(1, 1), (0, 1), (2, 2), (1, 1), (1, 0), (0, 0), (0, 0), (1, 0), (2, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	0	0	418	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	632.4784323992208	['right', 'left', 'left', 'left', 'right', 'left']	[6.755708100041375, 10.208587100030854, 11.476202300051227, 13.639236300019547, 14.902301300084218, 17.304456900106743]	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.555	SS	2023.1.0	60.1966504293597
[(1, 2), (0, 2), (1, 2), (0, 0), (0, 2), (2, 1), (0, 0), (0, 0), (2, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	1	1	404	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	651.4626756999642	['left', 'left', 'left', 'right', 'right', 'left']	[7.34820469992701, 10.11368699988816, 10.903118199901655, 12.940230999956839, 15.805873099947348, 17.07184969994705]	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.556	SS	2023.1.0	60.1966504293597
[(1, 1), (2, 1), (1, 1), (1, 1), (2, 1), (0, 1), (0, 2), (1, 0), (2, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	2	2	593	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	670.4731370992959	['right', 'left', 'left', 'left', 'left', 'left']	[6.678061799961142, 10.36944419995416, 11.27468189992942, 12.947750699939206, 15.656531399930827, 17.052295199944638]	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.557	SS	2023.1.0	60.1966504293597
[(1, 1), (0, 0), (2, 0), (2, 2), (0, 2), (1, 2), (0, 0), (0, 2), (1, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	3	3	365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	689.491166299209	['left', 'left', 'left', 'right', 'right', 'left']	[6.711549500003457, 9.183028199942783, 11.190384899964556, 13.129921199986711, 15.743064099922776, 16.893294099951163]	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.558	SS	2023.1.0	60.1966504293597
[(1, 2), (1, 2), (1, 0), (1, 1), (2, 1), (1, 2), (1, 1), (2, 1), (2, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	4	4	70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	708.4708978999406	['left', 'left', 'right', 'left', 'left', 'right']	[7.514174900017679, 8.896552699967287, 10.873979500029236, 13.133398000034504, 15.312414100044407, 17.55238529993221]	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.559	SS	2023.1.0	60.1966504293597
[(0, 1), (2, 0), (1, 1), (0, 1), (0, 1), (2, 1), (0, 1), (2, 0), (0, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	5	5	429	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	727.4672468993813	['right', 'left', 'left', 'right', 'left', 'right']	[6.920760600012727, 9.268839000025764, 12.216477899928577, 12.85930519993417, 15.88503809995018, 17.517069299938157]	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.560	SS	2023.1.0	60.1966504293597
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.561	SS	2023.1.0	60.1966504293597
[(2, 2), (1, 1), (1, 0), (0, 2), (1, 0), (1, 1), (1, 2), (1, 2), (2, 0), (1, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	287	NA	NA	NA	NA	NA	NA	746.6791250994429	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	749.7637081993744	750.7449695998803	['left', 'right', 'left', 'left', 'left', 'right']	[8.701703701168299, 10.622583400458097, 12.643419000320137, 14.682974800467491, 16.745329700410366, 19.046455300413072]	aac	1	2026-06-01_13h48.46.562	SS	2023.1.0	60.1966504293597
[(1, 2), (2, 1), (0, 2), (0, 1), (1, 2), (0, 0), (2, 1), (0, 2), (2, 0), (0, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	1	319	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	771.7777646994218	['right', 'left', 'left', 'right', 'left', 'right']	[8.727670600637794, 10.543007200583816, 12.60023630131036, 14.610735600814223, 16.61883980128914, 18.771640800870955]	aac	1	2026-06-01_13h48.46.563	SS	2023.1.0	60.1966504293597
[(2, 0), (2, 0), (1, 0), (2, 0), (2, 0), (1, 1), (1, 0), (1, 2), (2, 2), (1, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	2	2	39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	792.7559524998069	['right', 'left', 'right', 'left', 'left', 'right']	[8.578858700580895, 10.49938220065087, 12.580995700322092, 14.537825700826943, 16.619832700118423, 18.69029680080712]	aac	1	2026-06-01_13h48.46.564	SS	2023.1.0	60.1966504293597
[(0, 0), (2, 2), (1, 1), (1, 2), (0, 0), (2, 2), (0, 0), (0, 1), (1, 2), (0, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	3	3	408	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	813.7529746992514	['right', 'left', 'left', 'left', 'left', 'left']	[8.804236900992692, 10.621434000320733, 12.540507800877094, 14.63984060101211, 16.50408950075507, 18.465443400666118]	aac	1	2026-06-01_13h48.46.565	SS	2023.1.0	60.1966504293597
[(1, 1), (2, 0), (2, 1), (1, 1), (1, 1), (2, 1), (2, 2), (1, 1), (1, 0), (1, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	4	4	169	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	834.7371915997937	['right', 'left', 'left', 'right', 'left', 'left']	[8.574886800721288, 10.503021100535989, 12.530454700812697, 14.454682600684464, 16.49373990111053, 18.40188950113952]	aac	1	2026-06-01_13h48.46.566	SS	2023.1.0	60.1966504293597
[(0, 2), (1, 0), (1, 2), (0, 2), (0, 2), (2, 1), (0, 1), (0, 2), (0, 1), (2, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	5	5	393	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	855.7472408991307	['right', 'left', 'left', 'left', 'right', 'left']	[8.817738801240921, 10.74880520068109, 12.575855101458728, 14.657000101171434, 16.653160001151264, 18.802381601184607]	aac	1	2026-06-01_13h48.46.567	SS	2023.1.0	60.1966504293597
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.568	SS	2023.1.0	60.1966504293597
[(2, 2), (1, 1), (2, 1), (0, 0), (0, 2), (1, 0), (2, 2), (0, 0), (0, 1), (1, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	0	0	197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	877.8954471992329	['left', 'left', 'right', 'left', 'left', 'left']	[8.587487500160933, 10.618603100068867, 12.553940900601447, 14.4731815000996, 16.5301213003695, 18.354392800480127]	aac	1	2026-06-01_13h48.46.569	SS	2023.1.0	60.1966504293597
[(1, 2), (2, 2), (0, 0), (2, 2), (1, 2), (2, 2), (0, 1), (0, 0), (2, 1), (2, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	1	1	115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	898.8744294997305	['right', 'right', 'left', 'left', 'left', 'left']	[8.391850801184773, 10.362046101130545, 12.218541900627315, 14.129801500588655, 16.146969300694764, 18.25713870115578]	aac	1	2026-06-01_13h48.46.570	SS	2023.1.0	60.1966504293597
[(1, 2), (0, 2), (1, 0), (1, 2), (1, 2), (0, 2), (1, 2), (2, 2), (0, 0), (1, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	2	2	441	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	919.9048087997362	['right', 'right', 'left', 'left', 'left', 'right']	[8.56144320126623, 10.468540701083839, 12.693732300773263, 14.550944200716913, 16.614581600762904, 18.624236600473523]	aac	1	2026-06-01_13h48.46.571	SS	2023.1.0	60.1966504293597
[(0, 2), (1, 0), (1, 2), (0, 2), (0, 2), (2, 1), (0, 1), (0, 2), (0, 1), (2, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	3	3	393	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	940.871070999652	['left', 'left', 'left', 'left', 'left', 'right']	[8.349712200462818, 10.440570401027799, 12.494615701027215, 15.01877330057323, 16.598121400922537, 18.433263501152396]	aac	1	2026-06-01_13h48.46.572	SS	2023.1.0	60.1966504293597
[(1, 1), (1, 0), (2, 1), (1, 2), (1, 1), (2, 1), (1, 2), (1, 2), (0, 0), (1, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	4	4	552	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	961.882178899832	['right', 'left', 'left', 'left', 'left', 'right']	[8.448321601375937, 10.667984700761735, 12.668918801471591, 14.676025200635195, 16.664220700971782, 18.839423401281238]	aac	1	2026-06-01_13h48.46.573	SS	2023.1.0	60.1966504293597
[(1, 0), (1, 1), (1, 0), (2, 0), (2, 1), (1, 0), (1, 0), (2, 1), (2, 1), (2, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	5	5	439	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	982.8829133994876	['left', 'left', 'right', 'left', 'right', 'left']	[8.609990300610662, 10.395537500269711, 12.4582585003227, 14.591006200760603, 16.396402100101113, 18.382823700085282]	aac	1	2026-06-01_13h48.46.574	SS	2023.1.0	60.1966504293597
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.575	SS	2023.1.0	60.1966504293597
