sequence	training_session.thisRepN	training_session.thisTrialN	training_session.thisN	training_session.thisIndex	training_2n.thisRepN	training_2n.thisTrialN	training_2n.thisN	training_2n.thisIndex	training_3n.thisRepN	training_3n.thisTrialN	training_3n.thisN	training_3n.thisIndex	training_4n.thisRepN	training_4n.thisTrialN	training_4n.thisN	training_4n.thisIndex	allrep_2nback.thisRepN	allrep_2nback.thisTrialN	allrep_2nback.thisN	allrep_2nback.thisIndex	trials_2nback.thisRepN	trials_2nback.thisTrialN	trials_2nback.thisN	trials_2nback.thisIndex	allrep_3nback.thisRepN	allrep_3nback.thisTrialN	allrep_3nback.thisN	allrep_3nback.thisIndex	trials_3nback.thisRepN	trials_3nback.thisTrialN	trials_3nback.thisN	trials_3nback.thisIndex	allrep_4nback.thisRepN	allrep_4nback.thisTrialN	allrep_4nback.thisN	allrep_4nback.thisIndex	trials_4nback.thisRepN	trials_4nback.thisTrialN	trials_4nback.thisN	trials_4nback.thisIndex	buffer02_txt.started	test_griddot_resp2.started	test_griddot_resp2.keys	buffer23_txt.started	test_griddot_resp3.started	test_griddot_resp3.keys	buffer34_txt.started	test_griddot_resp4.started	test_griddot_resp4.keys	confirm_resp.started	confirm_resp.keys	confirm_resp.rt	instr_text_2.started	griddot_resp2.started	griddot_resp2.keys	griddot_resp2.rt	buffer23_txt.stopped	griddot_resp3.started	griddot_resp3.keys	griddot_resp3.rt	buffer34_txt.stopped	griddot_resp4.started	griddot_resp4.keys	griddot_resp4.rt	participant	session	date	expName	psychopyVersion	frameRate
[(2, 0), (2, 1), (2, 0), (0, 2), (2, 0), (2, 1), (2, 2), (2, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	616	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	303.84146739915013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	250.79902349971235	307.8914652997628	['right', 'left', 'left', 'left', 'left', 'right']	[5.174926600418985, 6.743947899900377, 8.442919000051916, 10.705377700738609, 12.530322100035846, 14.431430900469422]	NA	NA	NA	NA	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.534	SS	2023.1.0	60.1966504293597
[(0, 0), (2, 1), (0, 0), (0, 0), (2, 1), (1, 1), (1, 0), (1, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	1	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	324.9051076993346	['right', 'left', 'left', 'left', 'left', 'right']	[4.622876200824976, 6.528785200789571, 8.813981801271439, 10.57114830147475, 12.527315401472151, 14.326488201506436]	NA	NA	NA	NA	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.535	SS	2023.1.0	60.1966504293597
[(2, 0), (0, 0), (2, 0), (1, 2), (0, 0), (2, 0), (0, 2), (2, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	2	2	622	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	341.9065921995789	['right', 'left', 'left', 'left', 'left', 'right']	[4.81437380053103, 6.518149401061237, 8.784413000568748, 10.90318680088967, 12.68491840083152, 14.49842860084027]	NA	NA	NA	NA	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.536	SS	2023.1.0	60.1966504293597
[(1, 2), (2, 2), (0, 0), (0, 2), (0, 0), (1, 2), (0, 2), (1, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	3	3	77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	358.90386679954827	['left', 'left', 'right', 'left', 'left', 'right']	[4.900428700260818, 6.774522200226784, 8.438640700653195, 10.692837900482118, 12.690532300621271, 14.82203770056367]	NA	NA	NA	NA	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.537	SS	2023.1.0	60.1966504293597
[(1, 0), (1, 2), (1, 2), (0, 0), (1, 2), (0, 0), (2, 1), (1, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	4	4	188	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	375.88446949981153	['left', 'right', 'right', 'right', 'left', 'left']	[5.07210240047425, 6.720833100378513, 8.60768480040133, 10.870373601093888, 12.671702301129699, 14.624917401000857]	NA	NA	NA	NA	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.538	SS	2023.1.0	60.1966504293597
[(2, 2), (2, 0), (2, 1), (0, 0), (2, 0), (0, 0), (2, 0), (2, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	5	5	552	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	392.895160199143	['left', 'left', 'left', 'right', 'right', 'left']	[4.97790100146085, 6.997062001377344, 8.922294600866735, 10.862596801482141, 12.467093501240015, 14.589823900721967]	NA	NA	NA	NA	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.539	SS	2023.1.0	60.1966504293597
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.540	SS	2023.1.0	60.1966504293597
[(0, 0), (2, 0), (2, 2), (0, 0), (2, 0), (0, 0), (2, 0), (2, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	0	0	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	410.9262600997463	['left', 'left', 'left', 'right', 'right', 'left']	[4.891711201518774, 6.746797300875187, 8.877241401001811, 10.583395101130009, 12.819784201681614, 14.5914854016155]	NA	NA	NA	NA	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.541	SS	2023.1.0	60.1966504293597
[(1, 1), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (1, 0), (1, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	1	1	258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	427.9089088998735	['left', 'right', 'left', 'right', 'left', 'right']	[4.922794500365853, 6.4674804005771875, 8.34862960036844, 10.440233200788498, 12.61849920079112, 14.58867990039289]	NA	NA	NA	NA	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.542	SS	2023.1.0	60.1966504293597
[(0, 1), (2, 1), (2, 2), (2, 1), (1, 2), (1, 2), (2, 0), (1, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	5	5	520	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	495.91420269943774	['left', 'right', 'left', 'right', 'left', 'right']	[4.604724300093949, 6.533861400559545, 8.661128900945187, 10.606315900571644, 12.642881700769067, 14.706041600555182]	NA	NA	NA	NA	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.543	SS	2023.1.0	60.1966504293597
