clr1p1	clr2p1	clr3p1	clr4p1	clr1p2	clr2p2	clr3p2	clr4p2	Hshow	Htest	stim_var	blank_clr	difficulty	answ	l_test	r_test	realclr2	realclr3	realclr	training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	CC_resp_2.keys	CC_resp_2.corr	CC_resp_2.rt	CC_resp.keys	CC_resp.corr	CC_resp.rt	participant	session	date	expName	psychopyVersion	frameRate
#B71C1C	#E53935	#E57373	#FFEBEE	#004D40	#000000	#4DB6AC	#E0F2F1	red	lime	l_up	clr2	low	left	#00897B	#00695C	#00897B	#4DB6AC	NA	NA	NA	NA	NA	0	12	12	66	NA	NA	NA	right	1	2.20372917662491	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#FFB300	#FF6F00	#FFF8E1	#FFD54F	#039BE5	#01579B	#000000	#4FC3F7	amber	l_blue	l_rand1	clr3	high	right	#B3E5FC	#E1F5FE	#01579B	#E1F5FE	NA	NA	NA	NA	NA	0	13	13	34	NA	NA	NA	right	1	1.35881426483509	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#311B92	#5E35B1	#9575CD	#EDE7F6	#1B5E20	#000000	#81C784	#E8F5E9	d_purple	green	l_up	clr2	none	right	#C0CA33	#43A047	#43A047	#81C784	NA	NA	NA	NA	NA	0	14	14	112	NA	NA	NA	right	1	1.62628158914041	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#33691E	#7CB342	#AED581	#F1F8E9	#880E4F	#000000	#F06292	#FCE4EC	l_green	pink	l_up	clr2	none	left	#D81B60	#5E35B1	#D81B60	#F06292	NA	NA	NA	NA	NA	0	15	15	111	NA	NA	NA	right	0	1.27758909453987	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#E8F5E9	#81C784	#43A047	#1B5E20	#FFEBEE	#000000	#E53935	#B71C1C	green	red	l_down	clr2	high	right	#EF9A9A	#E57373	#E57373	#E53935	NA	NA	NA	NA	NA	0	16	16	5	NA	NA	NA	right	1	1.88978437205428	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#880E4F	#FCE4EC	#D81B60	#F06292	#33691E	#000000	#7CB342	#AED581	pink	l_green	l_rand2	clr2	none	left	#F1F8E9	#FFFDE7	#F1F8E9	#7CB342	NA	NA	NA	NA	NA	0	17	17	100	NA	NA	NA	right	1	1.31977443418116	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#1B5E20	#E8F5E9	#43A047	#81C784	#006064	#000000	#00ACC1	#4DD0E1	green	cyan	l_rand2	clr2	high	left	#E0F7FA	#B2EBF2	#E0F7FA	#00ACC1	NA	NA	NA	NA	NA	0	18	18	42	NA	NA	NA	left	1	2.2623008190596	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#00897B	#004D40	#E0F2F1	#4DB6AC	#FFB300	#000000	#FFF8E1	#FFD54F	teal	amber	l_rand1	clr2	low	right	#FFA000	#FF6F00	#FF6F00	#FFF8E1	NA	NA	NA	NA	NA	0	19	19	27	NA	NA	NA	left	1	1.48110473129084	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#1B5E20	#43A047	#81C784	#E8F5E9	#4A148C	#000000	#BA68C8	#F3E5F5	green	purple	l_up	clr2	low	right	#6A1B9A	#8E24AA	#8E24AA	#BA68C8	NA	NA	NA	NA	NA	0	20	20	69	NA	NA	NA	left	1	2.32146150611923	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#039BE5	#01579B	#E1F5FE	#4FC3F7	#D81B60	#000000	#FCE4EC	#F06292	l_blue	pink	l_rand1	clr2	high	left	#880E4F	#AD1457	#880E4F	#FCE4EC	NA	NA	NA	NA	NA	0	21	21	21	NA	NA	NA	left	1	1.927157336917	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#1A237E	#3949AB	#7986CB	#E8EAF6	#311B92	#5E35B1	#000000	#EDE7F6	indigo	d_purple	l_up	clr3	low	left	#9575CD	#673AB7	#5E35B1	#9575CD	NA	NA	NA	NA	NA	0	22	22	74	NA	NA	NA	left	1	1.68853619683883	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#FDD835	#F57F17	#FFFDE7	#FFF176	#FFB300	#FF6F00	#000000	#FFD54F	yellow	amber	l_rand1	clr3	high	left	#FFF8E1	#FFECB3	#FF6F00	#FFF8E1	NA	NA	NA	NA	NA	0	23	23	30	NA	NA	NA	left	1	1.43853094492457	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#1A237E	#E8EAF6	#3949AB	#7986CB	#01579B	#E1F5FE	#000000	#4FC3F7	indigo	l_blue	l_rand2	clr3	high	right	#03A9F4	#039BE5	#E1F5FE	#039BE5	NA	NA	NA	NA	NA	0	24	24	51	NA	NA	NA	right	1	2.07535808235756	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#3E2723	#EFEBE9	#6D4C41	#A1887F	#0D47A1	#E3F2FD	#000000	#64B5F6	brown	blue	l_rand2	clr3	high	right	#2196F3	#1E88E5	#E3F2FD	#1E88E5	NA	NA	NA	NA	NA	0	25	25	54	NA	NA	NA	right	1	1.63252638540347	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#E65100	#FB8C00	#FFB74D	#FFF3E0	#0D47A1	#1E88E5	#000000	#E3F2FD	orange	blue	l_up	clr3	high	left	#64B5F6	#42A5F5	#1E88E5	#64B5F6	NA	NA	NA	NA	NA	0	26	26	71	NA	NA	NA	right	0	2.17011783214635	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#004D40	#E0F2F1	#00897B	#4DB6AC	#3E2723	#EFEBE9	#000000	#A1887F	teal	brown	l_rand2	clr3	high	right	#5D4037	#6D4C41	#EFEBE9	#6D4C41	NA	NA	NA	NA	NA	0	27	27	52	NA	NA	NA	right	1	1.56497758714598	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#FFF8E1	#FFD54F	#FFB300	#FF6F00	#E8EAF6	#7986CB	#000000	#1A237E	amber	indigo	l_down	clr3	none	right	#039BE5	#3949AB	#7986CB	#3949AB	NA	NA	NA	NA	NA	0	28	28	89	NA	NA	NA	right	1	1.6379423699656	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#01579B	#039BE5	#4FC3F7	#E1F5FE	#F57F17	#FDD835	#000000	#FFFDE7	l_blue	yellow	l_up	clr3	none	left	#FFF176	#AED581	#FDD835	#FFF176	NA	NA	NA	NA	NA	0	29	29	116	NA	NA	NA	left	1	1.4328238649352	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#FF6F00	#FFB300	#FFD54F	#FFF8E1	#1A237E	#3949AB	#000000	#E8EAF6	amber	indigo	l_up	clr3	low	right	#C5CAE9	#7986CB	#3949AB	#7986CB	NA	NA	NA	NA	NA	0	30	30	78	NA	NA	NA	right	1	2.37253695665044	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#FDD835	#F57F17	#FFFDE7	#FFF176	#F4511E	#000000	#FBE9E7	#FF8A65	yellow	d_orange	l_rand1	clr2	low	right	#E64A19	#BF360C	#BF360C	#FBE9E7	NA	NA	NA	NA	NA	0	31	31	28	NA	NA	NA	right	1	1.76233310696087	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
