imagefile	stimfile	corrAns	MRdir	angle	training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	mentalrot_trials.thisRepN	mentalrot_trials.thisTrialN	mentalrot_trials.thisN	mentalrot_trials.thisIndex	blank.started	mr_answ_2.started	mr_answ_2.keys	mr_answ_2.corr	mr_answ_2.rt	blank.stopped	mr_answ.started	mr_answ.keys	mr_answ.corr	mr_answ.rt	byebye_text.started	byebye_text.stopped	participant	session	date	expName	psychopyVersion	frameRate
mr_images/1_a.png	mr_images/1_a_z_270.png	left	ccw	90	0	0	0	7	NA	NA	NA	NA	82.05425120005384	82.60371970012784	None	0	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_14h05.35.198	MR	2023.1.0	59.99876408589627
mr_images/3_b.png	mr_images/3_a_z_135.png	right	cw	135	0	1	1	92	NA	NA	NA	NA	87.50533290021122	88.06965450011194	right	1	2.0945387999527156	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_14h05.35.198	MR	2023.1.0	59.99876408589627
mr_images/6_b.png	mr_images/6_a_z_90.png	right	cw	90	0	2	2	160	NA	NA	NA	NA	90.1859897999093	90.76928569981828	right	1	2.8107845997437835	90.76928569981828	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_14h05.35.198	MR	2023.1.0	59.99876408589627
mr_images/3_a.png	mr_images/3_b_z_225.png	right	ccw	135	0	3	3	82	NA	NA	NA	NA	93.60229460010304	94.18600470013916	left	0	2.3167232000268996	94.18600470013916	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_14h05.35.198	MR	2023.1.0	59.99876408589627
mr_images/7_b.png	mr_images/7_b_z_225.png	left	ccw	135	0	4	4	191	NA	NA	NA	NA	96.53519249986856	97.11849260004236	left	1	2.071525199804455	97.11849260004236	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_14h05.35.198	MR	2023.1.0	59.99876408589627
mr_images/7_a.png	mr_images/7_b_z_315.png	right	ccw	45	NA	NA	NA	NA	0	0	0	170	738.1793884001672	NA	NA	NA	NA	738.6989763001911	738.6989763001911	left	1	2.35608874726458	NA	NA	aaf	1	2026-06-01_14h05.35.198	MR	2023.1.0	59.99876408589627
mr_images/9_a.png	mr_images/9_a_z_45.png	left	cw	45	NA	NA	NA	NA	0	1	1	193	726.3353097997606	NA	NA	NA	NA	726.8643442997709	726.8643442997709	right	0	4.19503999221487	NA	NA	aaf	1	2026-06-01_14h05.35.198	MR	2023.1.0	59.99876408589627
mr_images/12_b.png	mr_images/12_a_z_225.png	right	ccw	135	NA	NA	NA	NA	0	2	2	70	340.53462450020015	NA	NA	NA	NA	341.1012097001076	341.1012097001076	left	0	3.49296212604386	NA	NA	aaf	1	2026-06-01_14h05.35.198	MR	2023.1.0	59.99876408589627
mr_images/12_b.png	mr_images/12_a_z_135.png	right	cw	135	NA	NA	NA	NA	0	3	3	68	119.96516899997368	NA	NA	NA	NA	120.548446000088	120.548446000088	left	0	2.50176596620702	NA	NA	aaf	1	2026-06-01_14h05.35.198	MR	2023.1.0	59.99876408589627
mr_images/1_b.png	mr_images/1_a_z_45.png	right	cw	45	NA	NA	NA	NA	0	4	4	12	723.048146000132	NA	NA	NA	NA	723.6030478999019	723.6030478999019	right	1	3.61787846156978	NA	NA	aaf	1	2026-06-01_14h05.35.198	MR	2023.1.0	59.99876408589627
