clr1p1,clr2p1,clr3p1,clr4p1,clr1p2,clr2p2,clr3p2,clr4p2,Hshow,Htest,stim_var,blank_clr,difficulty,answ,l_test,r_test,realclr2,realclr3,realclr,fake_hue,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,CC_resp_2.keys,CC_resp_2.corr,CC_resp_2.rt,CC_resp.keys,CC_resp.corr,CC_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
#1B5E20,#43A047,#81C784,#E8F5E9,#004D40,#000000,#4DB6AC,#E0F2F1,green,teal,l_up,clr2,none,right,#7CB342,#00897B,#00897B,#4DB6AC,#00897B,l_green,,,,,0,65,65,92,,,,right,1,1.2061389004811645,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#880E4F,#FCE4EC,#D81B60,#F06292,#33691E,#000000,#7CB342,#AED581,pink,l_green,l_rand2,clr2,high,left,#F1F8E9,#DCEDC8,#F1F8E9,#7CB342,#F1F8E9,l_green,,,,,0,66,66,32,,,,left,1,0.4301060005091131,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#FF6F00,#FFF8E1,#FFB300,#FFD54F,#4A148C,#000000,#8E24AA,#BA68C8,amber,purple,l_rand2,clr2,high,right,#E1BEE7,#F3E5F5,#F3E5F5,#8E24AA,#F3E5F5,purple,,,,,0,67,67,35,,,,right,1,0.5745204999111593,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#E65100,#FB8C00,#FFB74D,#FFF3E0,#1A237E,#3949AB,#000000,#E8EAF6,orange,indigo,l_up,clr3,low,right,#7986CB,#3F51B5,#3949AB,#7986CB,#7986CB,indigo,,,,,0,68,68,63,,,,left,0,0.5438281004317105,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#BF360C,#F4511E,#FF8A65,#FBE9E7,#33691E,#7CB342,#000000,#F1F8E9,d_orange,l_green,l_up,clr3,none,right,#FFF176,#AED581,#7CB342,#AED581,#AED581,yellow,,,,,0,69,69,95,,,,right,1,0.5854110005311668,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#E8F5E9,#81C784,#43A047,#1B5E20,#FFEBEE,#000000,#E53935,#B71C1C,green,red,l_down,clr2,none,right,#FFB74D,#E57373,#E57373,#E53935,#E57373,orange,,,,,0,70,70,68,,,,left,0,1.1532386001199484,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#FDD835,#F57F17,#FFFDE7,#FFF176,#FFB300,#FF6F00,#000000,#FFD54F,yellow,amber,l_rand1,clr3,none,left,#FFF8E1,#F9FBE7,#FF6F00,#FFF8E1,#FFF8E1,lime,,,,,0,71,71,76,,,,right,0,0.64782420033589,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#1B5E20,#E8F5E9,#43A047,#81C784,#006064,#000000,#00ACC1,#4DD0E1,green,cyan,l_rand2,clr2,none,left,#E0F7FA,#E8F5E9,#E0F7FA,#00ACC1,#E0F7FA,green,,,,,0,72,72,82,,,,left,1,0.5456390003673732,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#827717,#C0CA33,#DCE775,#F9FBE7,#004D40,#000000,#4DB6AC,#E0F2F1,lime,teal,l_up,clr2,none,right,#039BE5,#00897B,#00897B,#4DB6AC,#00897B,l_blue,,,,,0,73,73,90,,,,right,1,0.6658244007267058,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#B71C1C,#FFEBEE,#E53935,#E57373,#1A237E,#E8EAF6,#000000,#7986CB,red,indigo,l_rand2,clr3,none,right,#8E24AA,#3949AB,#E8EAF6,#3949AB,#3949AB,purple,,,,,0,74,74,84,,,,left,0,0.5827376004308462,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#FF6F00,#FFB300,#FFD54F,#FFF8E1,#1A237E,#3949AB,#000000,#E8EAF6,amber,indigo,l_up,clr3,low,right,#C5CAE9,#7986CB,#3949AB,#7986CB,#7986CB,indigo,,,,,0,75,75,62,,,,left,0,0.9910614001564682,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#FBE9E7,#FF8A65,#F4511E,#BF360C,#F3E5F5,#BA68C8,#000000,#4A148C,d_orange,purple,l_down,clr3,low,right,#6A1B9A,#8E24AA,#BA68C8,#8E24AA,#8E24AA,purple,,,,,0,76,76,15,,,,left,0,0.7551468005403876,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#3E2723,#EFEBE9,#6D4C41,#A1887F,#0D47A1,#E3F2FD,#000000,#64B5F6,brown,blue,l_rand2,clr3,high,right,#2196F3,#1E88E5,#E3F2FD,#1E88E5,#1E88E5,blue,,,,,0,77,77,43,,,,right,1,1.0969647001475096,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#FFB300,#FF6F00,#FFF8E1,#FFD54F,#039BE5,#01579B,#000000,#4FC3F7,amber,l_blue,l_rand1,clr3,none,right,#E8EAF6,#E1F5FE,#01579B,#E1F5FE,#E1F5FE,indigo,,,,,0,78,78,79,,,,right,1,0.640771800186485,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#0D47A1,#E3F2FD,#1E88E5,#64B5F6,#4A148C,#000000,#8E24AA,#BA68C8,blue,purple,l_rand2,clr2,none,left,#F3E5F5,#FFEBEE,#F3E5F5,#8E24AA,#F3E5F5,red,,,,,0,79,79,81,,,,left,1,1.081159400753677,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#E0F2F1,#4DB6AC,#00897B,#004D40,#FFFDE7,#000000,#FDD835,#F57F17,teal,yellow,l_down,clr2,high,left,#FFF176,#FFF59D,#FFF176,#FDD835,#FFF176,yellow,,,,,0,80,80,0,,,,left,1,0.8190717999823391,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#1B5E20,#43A047,#81C784,#E8F5E9,#4A148C,#000000,#BA68C8,#F3E5F5,green,purple,l_up,clr2,low,right,#6A1B9A,#8E24AA,#8E24AA,#BA68C8,#8E24AA,purple,,,,,0,81,81,55,,,,right,1,0.9495477001182735,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#FFEBEE,#E57373,#E53935,#B71C1C,#FFFDE7,#000000,#FDD835,#F57F17,red,yellow,l_down,clr2,high,left,#FFF176,#FFEE58,#FFF176,#FDD835,#FFF176,yellow,,,,,0,82,82,2,,,,left,1,0.8891611006110907,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#FB8C00,#E65100,#FFF3E0,#FFB74D,#FDD835,#000000,#FFFDE7,#FFF176,orange,yellow,l_rand1,clr2,high,left,#F57F17,#F9A825,#F57F17,#FFFDE7,#F57F17,yellow,,,,,0,83,83,18,,,,right,0,0.5693570002913475,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#FFEBEE,#E57373,#E53935,#B71C1C,#FFFDE7,#000000,#FDD835,#F57F17,red,yellow,l_down,clr2,none,left,#FFF176,#AED581,#FFF176,#FDD835,#FFF176,l_green,,,,,0,84,84,66,,,,left,1,0.5661936001852155,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#8E24AA,#4A148C,#F3E5F5,#BA68C8,#5E35B1,#000000,#EDE7F6,#9575CD,purple,d_purple,l_rand1,clr2,none,left,#311B92,#880E4F,#311B92,#EDE7F6,#311B92,pink,,,,,0,85,85,72,,,,right,0,0.4840372004546225,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#5E35B1,#311B92,#EDE7F6,#9575CD,#6D4C41,#3E2723,#000000,#A1887F,d_purple,brown,l_rand1,clr3,low,left,#EFEBE9,#BCAAA4,#3E2723,#EFEBE9,#EFEBE9,brown,,,,,0,86,86,28,,,,right,0,0.45521510066464543,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#006064,#00ACC1,#4DD0E1,#E0F7FA,#01579B,#039BE5,#000000,#E1F5FE,cyan,l_blue,l_up,clr3,high,right,#81D4FA,#4FC3F7,#039BE5,#4FC3F7,#4FC3F7,l_blue,,,,,0,87,87,57,,,,left,0,0.5560489003546536,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#E8EAF6,#7986CB,#3949AB,#1A237E,#FFF3E0,#FFB74D,#000000,#E65100,indigo,orange,l_down,clr3,high,left,#FB8C00,#FF9800,#FFB74D,#FB8C00,#FB8C00,orange,,,,,0,88,88,8,,,,right,0,0.5181188001297414,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#004D40,#E0F2F1,#00897B,#4DB6AC,#BF360C,#FBE9E7,#000000,#FF8A65,teal,d_orange,l_rand2,clr3,low,right,#D84315,#F4511E,#FBE9E7,#F4511E,#F4511E,d_orange,,,,,0,89,89,47,,,,right,1,0.5321380007080734,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#1B5E20,#E8F5E9,#43A047,#81C784,#006064,#000000,#00ACC1,#4DD0E1,green,cyan,l_rand2,clr2,high,left,#E0F7FA,#B2EBF2,#E0F7FA,#00ACC1,#E0F7FA,cyan,,,,,0,90,90,33,,,,right,0,0.5139051005244255,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#F57F17,#FFFDE7,#FDD835,#FFF176,#BF360C,#FBE9E7,#000000,#FF8A65,yellow,d_orange,l_rand2,clr3,none,right,#D81B60,#F4511E,#FBE9E7,#F4511E,#F4511E,pink,,,,,0,91,91,86,,,,right,1,0.5758390002883971,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#FFEBEE,#E57373,#E53935,#B71C1C,#E1F5FE,#000000,#039BE5,#01579B,red,l_blue,l_down,clr2,none,left,#4FC3F7,#7986CB,#4FC3F7,#039BE5,#4FC3F7,indigo,,,,,0,92,92,64,,,,left,1,0.528609300032258,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#00897B,#004D40,#E0F2F1,#4DB6AC,#3949AB,#1A237E,#000000,#7986CB,lime,indigo,l_rand1,clr3,low,left,#E8EAF6,#9FA8DA,#1A237E,#E8EAF6,#E8EAF6,indigo,,,,,0,93,93,29,,,,left,1,0.5323397000320256,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#FDD835,#F57F17,#FFFDE7,#FFF176,#F4511E,#000000,#FBE9E7,#FF8A65,yellow,d_orange,l_rand1,clr2,low,left,#BF360C,#E64A19,#BF360C,#FBE9E7,#BF360C,d_orange,,,,,0,94,94,22,,,,right,0,0.6013700999319553,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#6D4C41,#3E2723,#EFEBE9,#A1887F,#00ACC1,#000000,#E0F7FA,#4DD0E1,brown,cyan,l_rand1,clr2,low,right,#0097A7,#006064,#006064,#E0F7FA,#006064,cyan,,,,,0,95,95,23,,,,right,1,0.9201376005075872,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
