imagefile	stimfile	corrAns	MRdir	angle	training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	mentalrot_trials.thisRepN	mentalrot_trials.thisTrialN	mentalrot_trials.thisN	mentalrot_trials.thisIndex	blank.started	mr_answ_2.started	mr_answ_2.keys	mr_answ_2.corr	mr_answ_2.rt	blank.stopped	mr_answ.started	mr_answ.keys	mr_answ.corr	mr_answ.rt	byebye_text.started	byebye_text.stopped	participant	session	date	expName	psychopyVersion	frameRate
mr_images/7_b.png	mr_images/7_b_z_315.png	left	ccw	45	0	0	0	183	NA	NA	NA	NA	131.49352889996953	131.96357040014118	right	0	2.3187947999686003	NA	NA	NA	NA	NA	NA	NA	mfi	1	2026-02-20_15h36.46.495	MR	2023.1.0	59.962679223495506
mr_images/12_a.png	mr_images/12_a_z_45.png	left	cw	45	0	1	1	49	NA	NA	NA	NA	134.3264737999998	134.9095030000899	right	0	2.83081840001978	NA	NA	NA	NA	NA	NA	NA	mfi	1	2026-02-20_15h36.46.495	MR	2023.1.0	59.962679223495506
mr_images/1_a.png	mr_images/1_a_z_135.png	left	cw	135	0	2	2	9	NA	NA	NA	NA	137.75926179997623	138.34242400014773	right	0	2.607767399866134	138.34242400014773	NA	NA	NA	NA	NA	NA	mfi	1	2026-02-20_15h36.46.495	MR	2023.1.0	59.962679223495506
mr_images/7_a.png	mr_images/7_a_z_90.png	left	cw	90	0	3	3	173	NA	NA	NA	NA	140.97555169998668	141.5586578999646	right	0	4.745870999991894	141.5586578999646	NA	NA	NA	NA	NA	NA	mfi	1	2026-02-20_15h36.46.495	MR	2023.1.0	59.962679223495506
mr_images/11_b.png	mr_images/11_a_z_315.png	right	ccw	45	0	4	4	38	NA	NA	NA	NA	146.32471249997616	146.90799940004945	left	0	2.4107644998002797	146.90799940004945	NA	NA	NA	NA	NA	NA	mfi	1	2026-02-20_15h36.46.495	MR	2023.1.0	59.962679223495506
mr_images/3_a.png	mr_images/3_b_z_225.png	right	ccw	135	NA	NA	NA	NA	0	0	0	82	179.17008640011773	NA	NA	NA	NA	NA	179.65342089999467	right	1	2.38017535010347	NA	NA	mfi	1	2026-02-20_15h36.46.495	MR	2023.1.0	59.962679223495506
mr_images/11_b.png	mr_images/11_b_z_270.png	left	ccw	90	NA	NA	NA	NA	0	1	1	43	182.5532186999917	NA	NA	NA	NA	183.10291250003505	183.10291250003505	right	0	2.58114868377311	NA	NA	mfi	1	2026-02-20_15h36.46.495	MR	2023.1.0	59.962679223495506
mr_images/4_b.png	mr_images/4_a_z_45.png	right	cw	45	NA	NA	NA	NA	0	2	2	108	185.8359683000017	NA	NA	NA	NA	186.419057500083	186.419057500083	left	0	2.97931855467518	NA	NA	mfi	1	2026-02-20_15h36.46.495	MR	2023.1.0	59.962679223495506
mr_images/9_b.png	mr_images/9_a_z_135.png	right	cw	135	NA	NA	NA	NA	0	3	3	212	189.58560879994184	NA	NA	NA	NA	190.15595689998008	190.15595689998008	left	0	2.34853699480977	NA	NA	mfi	1	2026-02-20_15h36.46.495	MR	2023.1.0	59.962679223495506
mr_images/4_a.png	mr_images/4_b_z_135.png	right	cw	135	NA	NA	NA	NA	0	4	4	104	192.95612800004892	NA	NA	NA	NA	193.53490870003588	193.53490870003588	left	0	1.66153419457233	NA	NA	mfi	1	2026-02-20_15h36.46.495	MR	2023.1.0	59.962679223495506
