clr1p1	clr2p1	clr3p1	clr4p1	clr1p2	clr2p2	clr3p2	clr4p2	Hshow	Htest	stim_var	blank_clr	difficulty	answ	l_test	r_test	realclr2	realclr3	realclr	training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	CC_resp_2.keys	CC_resp_2.corr	CC_resp_2.rt	CC_resp.keys	CC_resp.corr	CC_resp.rt	participant	session	date	expName	psychopyVersion	frameRate
#1B5E20	#43A047	#81C784	#E8F5E9	#4A148C	#000000	#BA68C8	#F3E5F5	green	purple	l_up	clr2	low	right	#6A1B9A	#8E24AA	#8E24AA	#BA68C8	#8E24AA	0	0	0	69	NA	NA	NA	NA	None	0	NA	NA	NA	NA	ped	1	2026-03-20_13h38.14.500	MCT	2023.1.0	60.11049526798321
#3E2723	#EFEBE9	#6D4C41	#A1887F	#0D47A1	#E3F2FD	#000000	#64B5F6	brown	blue	l_rand2	clr3	high	right	#2196F3	#1E88E5	#E3F2FD	#1E88E5	#1E88E5	0	1	1	54	NA	NA	NA	NA	right	1	4.378255200572312	NA	NA	NA	ped	1	2026-03-20_13h38.14.500	MCT	2023.1.0	60.11049526798321
#FFF8E1	#FFD54F	#FFB300	#FF6F00	#E8EAF6	#7986CB	#000000	#1A237E	amber	indigo	l_down	clr3	high	right	#3F51B5	#3949AB	#7986CB	#3949AB	#3949AB	0	2	2	13	NA	NA	NA	NA	None	0	NA	NA	NA	NA	ped	1	2026-03-20_13h38.14.500	MCT	2023.1.0	60.11049526798321
#FFEBEE	#E57373	#E53935	#B71C1C	#E1F5FE	#000000	#039BE5	#01579B	red	l_blue	l_down	clr2	high	left	#4FC3F7	#81D4FA	#4FC3F7	#039BE5	#4FC3F7	0	3	3	0	NA	NA	NA	NA	None	0	NA	NA	NA	NA	ped	1	2026-03-20_13h38.14.500	MCT	2023.1.0	60.11049526798321
#D81B60	#880E4F	#FCE4EC	#F06292	#FDD835	#F57F17	#000000	#FFF176	pink	yellow	l_rand1	clr3	high	right	#FFF9C4	#FFFDE7	#F57F17	#FFFDE7	NA	NA	NA	NA	NA	0	0	0	31	NA	NA	NA	left	0	2.04737699615303	ped	1	2026-03-20_13h38.14.500	MCT	2023.1.0	60.11049526798321
#BF360C	#F4511E	#FF8A65	#FBE9E7	#33691E	#7CB342	#000000	#F1F8E9	d_orange	l_green	l_up	clr3	none	right	#FFF176	#AED581	#7CB342	#AED581	NA	NA	NA	NA	NA	0	1	1	119	NA	NA	NA	left	0	1.88093639608938	ped	1	2026-03-20_13h38.14.500	MCT	2023.1.0	60.11049526798321
#FDD835	#F57F17	#FFFDE7	#FFF176	#FFB300	#FF6F00	#000000	#FFD54F	yellow	amber	l_rand1	clr3	none	left	#FFF8E1	#F9FBE7	#FF6F00	#FFF8E1	NA	NA	NA	NA	NA	0	2	2	95	NA	NA	NA	right	1	2.85702915259171	ped	1	2026-03-20_13h38.14.500	MCT	2023.1.0	60.11049526798321
#01579B	#039BE5	#4FC3F7	#E1F5FE	#F57F17	#FDD835	#000000	#FFFDE7	l_blue	yellow	l_up	clr3	high	left	#FFF176	#FFEE58	#FDD835	#FFF176	NA	NA	NA	NA	NA	0	3	3	70	NA	NA	NA	right	1	1.11349749469664	ped	1	2026-03-20_13h38.14.500	MCT	2023.1.0	60.11049526798321
#FDD835	#F57F17	#FFFDE7	#FFF176	#FFB300	#FF6F00	#000000	#FFD54F	yellow	amber	l_rand1	clr3	high	left	#FFF8E1	#FFECB3	#FF6F00	#FFF8E1	NA	NA	NA	NA	NA	0	4	4	30	NA	NA	NA	right	0	1.30363948793616	ped	1	2026-03-20_13h38.14.500	MCT	2023.1.0	60.11049526798321
#3949AB	#1A237E	#E8EAF6	#7986CB	#7CB342	#000000	#F1F8E9	#AED581	indigo	l_green	l_rand1	clr2	high	left	#33691E	#558B2F	#33691E	#F1F8E9	NA	NA	NA	NA	NA	0	5	5	24	NA	NA	NA	left	1	1.72162626206409	ped	1	2026-03-20_13h38.14.500	MCT	2023.1.0	60.11049526798321
#FF6F00	#FFF8E1	#FFB300	#FFD54F	#880E4F	#000000	#D81B60	#F06292	amber	pink	l_rand2	clr2	high	left	#FCE4EC	#F8BBD0	#FCE4EC	#D81B60	NA	NA	NA	NA	NA	0	6	6	43	NA	NA	NA	right	0	1.49804514813703	ped	1	2026-03-20_13h38.14.500	MCT	2023.1.0	60.11049526798321
#FFEBEE	#E57373	#E53935	#B71C1C	#FFFDE7	#000000	#FDD835	#F57F17	red	yellow	l_down	clr2	high	left	#FFF176	#FFEE58	#FFF176	#FDD835	NA	NA	NA	NA	NA	0	7	7	3	NA	NA	NA	left	1	2.25055632316042	ped	1	2026-03-20_13h38.14.500	MCT	2023.1.0	60.11049526798321
#F4511E	#BF360C	#FBE9E7	#FF8A65	#43A047	#1B5E20	#000000	#81C784	d_orange	green	l_rand1	clr3	low	left	#E8F5E9	#A5D6A7	#1B5E20	#E8F5E9	NA	NA	NA	NA	NA	0	8	8	38	NA	NA	NA	right	0	1.0693522557104	ped	1	2026-03-20_13h38.14.500	MCT	2023.1.0	60.11049526798321
#827717	#C0CA33	#DCE775	#F9FBE7	#004D40	#000000	#4DB6AC	#E0F2F1	lime	teal	l_up	clr2	none	right	#039BE5	#00897B	#00897B	#4DB6AC	NA	NA	NA	NA	NA	0	9	9	113	NA	NA	NA	right	1	2.54320704876911	ped	1	2026-03-20_13h38.14.500	MCT	2023.1.0	60.11049526798321
#FF6F00	#FFF8E1	#FFB300	#FFD54F	#4A148C	#000000	#8E24AA	#BA68C8	amber	purple	l_rand2	clr2	high	right	#E1BEE7	#F3E5F5	#F3E5F5	#8E24AA	NA	NA	NA	NA	NA	0	10	10	44	NA	NA	NA	left	0	1.16603246242274	ped	1	2026-03-20_13h38.14.500	MCT	2023.1.0	60.11049526798321
#E1F5FE	#4FC3F7	#039BE5	#01579B	#EDE7F6	#9575CD	#000000	#311B92	l_blue	d_purple	l_down	clr3	low	left	#5E35B1	#7E57C2	#9575CD	#5E35B1	NA	NA	NA	NA	NA	0	11	11	14	NA	NA	NA	left	1	1.47728822003584	ped	1	2026-03-20_13h38.14.500	MCT	2023.1.0	60.11049526798321
#EFEBE9	#A1887F	#6D4C41	#3E2723	#E8F5E9	#000000	#43A047	#1B5E20	brown	green	l_down	clr2	none	left	#81C784	#4DD0E1	#81C784	#43A047	NA	NA	NA	NA	NA	0	12	12	82	NA	NA	NA	left	1	1.13854109844659	ped	1	2026-03-20_13h38.14.500	MCT	2023.1.0	60.11049526798321
#FF6F00	#FFF8E1	#FFB300	#FFD54F	#880E4F	#000000	#D81B60	#F06292	amber	pink	l_rand2	clr2	none	left	#FCE4EC	#EDE7F6	#FCE4EC	#D81B60	NA	NA	NA	NA	NA	0	13	13	103	NA	NA	NA	left	1	1.11187556328718	ped	1	2026-03-20_13h38.14.500	MCT	2023.1.0	60.11049526798321
#FFB300	#FF6F00	#FFF8E1	#FFD54F	#039BE5	#01579B	#000000	#4FC3F7	amber	l_blue	l_rand1	clr3	none	right	#E8EAF6	#E1F5FE	#01579B	#E1F5FE	NA	NA	NA	NA	NA	0	14	14	99	NA	NA	NA	right	1	1.71028835955542	ped	1	2026-03-20_13h38.14.500	MCT	2023.1.0	60.11049526798321
#FFFDE7	#FFF176	#FDD835	#F57F17	#E0F7FA	#4DD0E1	#000000	#006064	yellow	cyan	l_down	clr3	none	left	#00ACC1	#1E88E5	#4DD0E1	#00ACC1	NA	NA	NA	NA	NA	0	15	15	87	NA	NA	NA	right	0	1.54734925373923	ped	1	2026-03-20_13h38.14.500	MCT	2023.1.0	60.11049526798321
#BF360C	#F4511E	#FF8A65	#FBE9E7	#33691E	#7CB342	#000000	#F1F8E9	d_orange	l_green	l_up	clr3	high	right	#C5E1A5	#AED581	#7CB342	#AED581	NA	NA	NA	NA	NA	0	16	16	73	NA	NA	NA	right	1	0.699196003521793	ped	1	2026-03-20_13h38.14.500	MCT	2023.1.0	60.11049526798321
#E65100	#FB8C00	#FFB74D	#FFF3E0	#0D47A1	#1E88E5	#000000	#E3F2FD	orange	blue	l_up	clr3	none	left	#64B5F6	#4DD0E1	#1E88E5	#64B5F6	NA	NA	NA	NA	NA	0	17	17	117	NA	NA	NA	right	0	1.29832410685252	ped	1	2026-03-20_13h38.14.500	MCT	2023.1.0	60.11049526798321
#006064	#E0F7FA	#00ACC1	#4DD0E1	#311B92	#000000	#5E35B1	#9575CD	cyan	d_purple	l_rand2	clr2	low	right	#B39DDB	#EDE7F6	#EDE7F6	#5E35B1	NA	NA	NA	NA	NA	0	18	18	46	NA	NA	NA	left	0	0.944549472327344	ped	1	2026-03-20_13h38.14.500	MCT	2023.1.0	60.11049526798321
#006064	#00ACC1	#4DD0E1	#E0F7FA	#01579B	#039BE5	#000000	#E1F5FE	cyan	l_blue	l_up	clr3	high	right	#81D4FA	#4FC3F7	#039BE5	#4FC3F7	NA	NA	NA	NA	NA	0	19	19	72	NA	NA	NA	right	1	1.97659700120334	ped	1	2026-03-20_13h38.14.500	MCT	2023.1.0	60.11049526798321
#3949AB	#1A237E	#E8EAF6	#7986CB	#FB8C00	#000000	#FFF3E0	#FFB74D	indigo	orange	l_rand1	clr2	low	right	#F57C00	#E65100	#E65100	#FFF3E0	NA	NA	NA	NA	NA	0	20	20	26	NA	NA	NA	left	0	1.66298904800322	ped	1	2026-03-20_13h38.14.500	MCT	2023.1.0	60.11049526798321
#0D47A1	#E3F2FD	#1E88E5	#64B5F6	#4A148C	#000000	#8E24AA	#BA68C8	blue	purple	l_rand2	clr2	high	left	#F3E5F5	#E1BEE7	#F3E5F5	#8E24AA	NA	NA	NA	NA	NA	0	21	21	41	NA	NA	NA	right	0	1.14932334434707	ped	1	2026-03-20_13h38.14.500	MCT	2023.1.0	60.11049526798321
#FFEBEE	#E57373	#E53935	#B71C1C	#FFFDE7	#000000	#FDD835	#F57F17	red	yellow	l_down	clr2	none	left	#FFF176	#AED581	#FFF176	#FDD835	NA	NA	NA	NA	NA	0	22	22	83	NA	NA	NA	left	1	1.04791468361858	ped	1	2026-03-20_13h38.14.500	MCT	2023.1.0	60.11049526798321
#B71C1C	#FFEBEE	#E53935	#E57373	#1A237E	#E8EAF6	#000000	#7986CB	red	indigo	l_rand2	clr3	none	right	#8E24AA	#3949AB	#E8EAF6	#3949AB	NA	NA	NA	NA	NA	0	23	23	105	NA	NA	NA	right	1	1.44321120209526	ped	1	2026-03-20_13h38.14.500	MCT	2023.1.0	60.11049526798321
