training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	arsal_train.thisRepN	arsal_train.thisTrialN	arsal_train.thisN	arsal_train.thisIndex	arsal_s2.thisRepN	arsal_s2.thisTrialN	arsal_s2.thisN	arsal_s2.thisIndex	arsal_s3.thisRepN	arsal_s3.thisTrialN	arsal_s3.thisN	arsal_s3.thisIndex	arsal_s4.thisRepN	arsal_s4.thisTrialN	arsal_s4.thisN	arsal_s4.thisIndex	blank.started	blank.stopped	matrix_resp.started	sequence	repeat_idx	matrix_resp.keys	matrix_resp.rt	trainconf.keys	trainconf.rt	matrix_resp_2.started	matrix_resp_2.keys	matrix_resp_2.rt	matrix_resp_3.started	matrix_resp_3.keys	matrix_resp_3.rt	byebye_text.started	participant	session	date	expName	psychopyVersion	frameRate	...43
0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.389007299672812	21.919771599583328	21.919771599583328	[[(1, -1, 1), (1, 1, -1), (1, 1, -1), (1, -1, 1), (1, 1, -1), (1, -1, 1), (-1, 1, -1), (-1, 1, -1), (1, 1, -1)], [(-1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (1, -1, -1), (-1, 1, -1), (-1, 1, -1)], [(1, -0.2, -1), (-1, 1, -1), (1, -1, 1), (1, -1, 1), (1, -0.2, -1), (1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (-1, -1, 1)], [(-1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -0.2, -1), (-1, 1, -1), (-1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1)], [(-1, -1, 1), (1, -1, 1), (1, -1, 1), (-1, 1, -1), (-1, -1, 1), (-1, -1, 1), (1, -1, 1), (1, -1, 1), (-1, 1, -1)], [(-1, 1, -1), (-1, -1, 1), (1, -1, 1), (1, -1, -1), (-1, 1, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (-1, -1, 1)], [(1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, 1, -1), (1, 1, -1), (1, -0.2, -1), (1, 1, -1), (1, -0.2, -1), (-1, -1, 1)], [(1, -0.2, -1), (-1, 1, -1), (1, -1, 1), (1, -1, 1), (1, -0.2, -1), (1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (-1, -1, 1)]]	2	['left']	[3.852746299933642]	NA	NA	NA	NA	NA	NA	NA	NA	NA	ped	001	2026-04-28_15h59.42.055	CMT	2023.1.0	60.95197215105752	NA
0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	45.934787599835545	NA	NA	NA	NA	NA	NA	['y']	[1.792994599789381]	NA	NA	NA	NA	NA	NA	NA	ped	001	2026-04-28_15h59.42.055	CMT	2023.1.0	60.95197215105752	NA
NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	49.203758699819446	49.71860569994897	49.71860569994897	[[(1, -1, -1), (1, 1, -1), (1, -1, -1), (1, -1, -1), (-1, 1, -1), (1, -1, -1), (-1, 1, -1), (1, 1, -1), (1, -1, -1)], [(1, -1, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, -1), (-1, 1, -1), (1, -1, -1), (1, -1, -1), (-1, 1, -1)], [(-1, -1, 1), (1, -0.2, -1), (-1, 1, -1), (1, -0.2, -1), (1, 1, -1), (1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1)], [(1, -0.2, -1), (-1, 1, -1), (1, -1, -1), (-1, 1, -1), (1, -1, -1), (1, -1, -1), (-1, -1, 1), (1, -0.2, -1), (-1, -1, 1)], [(1, -1, -1), (1, -1, 1), (1, -1, -1), (-1, 1, -1), (1, -1, 1), (-1, -1, 1), (-1, 1, -1), (1, -1, 1), (-1, 1, -1)], [(1, -1, -1), (1, -0.2, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (1, -0.2, -1), (-1, 1, -1)], [(-1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (-1, -1, 1), (1, 1, -1), (-1, -1, 1), (1, 1, -1), (1, -0.2, -1), (1, -0.2, -1)], [(1, -1, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, -1), (-1, 1, -1), (1, -1, -1), (1, -1, -1), (-1, 1, -1)]]	1	['left', 'left', 'left', 'left', 'left', 'left', 'left']	[3.857497500255704, 6.723466200288385, 9.703144500032067, 12.695152800064534, 15.800399000290781, 19.26074520032853, 21.849908400326967]	NA	NA	NA	NA	NA	NA	NA	NA	NA	ped	001	2026-04-28_15h59.42.055	CMT	2023.1.0	60.95197215105752	NA
NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	73.74682139977813	NA	74.23295169975609	[[(-1, 1, -1), (1, -1, 1), (1, 1, -1), (1, 1, -1), (1, -1, 1), (-1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -1, 1)], [(1, -0.2, -1), (-1, 1, -1), (-1, -1, 1), (1, -1, 1), (-1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, 1), (1, -0.2, -1)], [(-1, -1, 1), (1, -1, -1), (-1, -1, 1), (-1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (-1, -1, 1), (-1, -1, 1)], [(1, -0.2, -1), (1, -0.2, -1), (1, -1, -1), (1, -0.2, -1), (1, -1, -1), (-1, 1, -1), (1, -1, -1), (1, -0.2, -1), (1, -1, -1)], [(1, -1, 1), (-1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, -0.2, -1), (-1, -1, 1), (1, -1, 1), (1, -1, 1), (-1, -1, 1)], [(1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, -0.2, -1), (1, -1, 1), (1, -1, 1), (1, -0.2, -1), (-1, -1, 1), (1, -1, 1)], [(-1, 1, -1), (-1, 1, -1), (-1, -1, 1), (-1, 1, -1), (-1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (-1, -1, 1)], [(1, -0.2, -1), (-1, 1, -1), (-1, -1, 1), (1, -1, 1), (-1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, 1), (1, -0.2, -1)]]	1	['left', 'right', 'left', 'left', 'right', 'left', 'left']	[4.124778899829835, 7.207550699822605, 9.891282099764794, 12.891969099640846, 15.854836499784142, 18.826113199815154, 21.811418399680406]	NA	NA	NA	NA	NA	NA	NA	NA	NA	ped	001	2026-04-28_15h59.42.055	CMT	2023.1.0	60.95197215105752	NA
NA	NA	NA	NA	NA	NA	NA	NA	2	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	98.22742759995162	NA	98.72633849969134	[[(1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, -1), (1, -1, -1), (-1, -1, 1), (-1, -1, 1)], [(1, -1, 1), (1, 1, -1), (1, 1, -1), (1, -1, 1), (-1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, 1, -1), (1, -1, 1)], [(-1, -1, 1), (1, -0.2, -1), (1, -1, -1), (1, -0.2, -1), (1, -1, -1), (-1, -1, 1), (-1, 1, -1), (-1, 1, -1), (1, -1, -1)], [(1, -0.2, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -0.2, -1), (-1, 1, -1), (1, -0.2, -1), (-1, 1, -1), (1, -0.2, -1)], [(-1, -1, 1), (-1, 1, -1), (1, -0.2, -1), (-1, 1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, -1), (1, -0.2, -1)], [(1, -0.2, -1), (1, -0.2, -1), (-1, -1, 1), (1, -0.2, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -0.2, -1)], [(-1, 1, -1), (1, -1, -1), (1, -1, 1), (1, -1, -1), (1, -1, 1), (1, -1, 1), (1, -1, -1), (1, -1, -1), (1, -1, 1)], [(-1, -1, 1), (1, -0.2, -1), (1, -1, -1), (1, -0.2, -1), (1, -1, -1), (-1, -1, 1), (-1, 1, -1), (-1, 1, -1), (1, -1, -1)]]	2	['left', 'left', 'left', 'left', 'left', 'left', 'left']	[3.695041600149125, 7.902550300117582, 9.95861680014059, 13.171988199930638, 16.03578529972583, 18.906281999778003, 21.93237840011716]	NA	NA	NA	NA	NA	NA	NA	NA	NA	ped	001	2026-04-28_15h59.42.055	CMT	2023.1.0	60.95197215105752	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	122.72312569990754	NA	NA	[[(1, -0.2, -1), (-1, 1, -1), (1, 1, -1), (-1, 1, -1), (-1, -1, 1), (-1, 1, -1), (1, -1, -1), (1, 1, -1), (1, -0.2, -1)], [(1, -1, 1), (-1, -1, 1), (-1, -1, 1), (1, -1, -1), (-1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, 1, -1), (1, -1, -1)], [(1, -0.2, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (1, -1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -1, 1), (-1, -1, 1)], [(1, 1, -1), (1, -1, 1), (1, -1, 1), (1, -0.2, -1), (1, 1, -1), (1, -0.2, -1), (-1, -1, 1), (1, -1, 1), (-1, -1, 1)], [(1, -0.2, -1), (1, -0.2, -1), (1, 1, -1), (1, -1, -1), (1, 1, -1), (-1, 1, -1), (1, -1, -1), (1, -0.2, -1), (1, -1, -1)], [(-1, -1, 1), (1, -1, 1), (1, -1, -1), (1, -0.2, -1), (1, -1, 1), (-1, 1, -1), (1, -0.2, -1), (-1, -1, 1), (1, -1, 1)], [(1, -0.2, -1), (1, -1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -0.2, -1), (1, -0.2, -1)], [(1, -0.2, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (1, -1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -1, 1), (-1, -1, 1)]]	2	NA	NA	NA	NA	123.22736259968951	['left', 'left', 'left', 'left', 'left', 'left', 'left']	[3.829749600030482, 6.769477100111544, 10.74485330004245, 13.443001400213689, 16.61962480004877, 19.955153500195593, 22.526612600311637]	NA	NA	NA	NA	ped	001	2026-04-28_15h59.42.055	CMT	2023.1.0	60.95197215105752	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	NA	NA	147.238408499863	NA	NA	[[(1, -0.2, -1), (1, 1, -1), (1, -1, -1), (1, 1, -1), (1, -0.2, -1), (-1, 1, -1), (1, -0.2, -1), (1, -1, -1), (1, -1, -1)], [(1, -1, -1), (1, -0.2, -1), (1, -1, -1), (1, -0.2, -1), (1, -0.2, -1), (-1, -1, 1), (1, -1, 1), (1, -1, -1), (-1, 1, -1)], [(-1, -1, 1), (1, 1, -1), (1, -0.2, -1), (1, -1, 1), (1, 1, -1), (-1, -1, 1), (-1, -1, 1), (1, 1, -1), (1, 1, -1)], [(1, -1, 1), (1, 1, -1), (1, 1, -1), (1, -1, 1), (1, 1, -1), (-1, -1, 1), (1, 1, -1), (1, -0.2, -1), (1, 1, -1)], [(-1, 1, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, 1, -1), (-1, 1, -1), (-1, 1, -1)], [(-1, -1, 1), (1, 1, -1), (1, -1, -1), (1, 1, -1), (-1, 1, -1), (1, -1, -1), (-1, 1, -1), (1, 1, -1), (1, 1, -1)], [(1, -0.2, -1), (1, -0.2, -1), (1, -1, 1), (-1, 1, -1), (1, -1, -1), (-1, 1, -1), (1, -1, 1), (-1, -1, 1), (1, -1, -1)], [(-1, -1, 1), (1, 1, -1), (1, -0.2, -1), (1, -1, 1), (1, 1, -1), (-1, -1, 1), (-1, -1, 1), (1, 1, -1), (1, 1, -1)]]	2	NA	NA	NA	NA	147.71945639979094	['left', 'left', 'right', 'left', 'left', 'left', 'left']	[4.32366400025785, 6.703183100093156, 9.81226749997586, 12.785907700192183, 16.272133000195026, 19.495073300320655, 22.78285859990865]	NA	NA	NA	NA	ped	001	2026-04-28_15h59.42.055	CMT	2023.1.0	60.95197215105752	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	2	0	NA	NA	NA	NA	171.7161000999622	NA	NA	[[(-1, -1, 1), (1, -1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, -1), (1, -1, -1), (1, -0.2, -1), (-1, -1, 1), (1, -0.2, -1)], [(-1, -1, 1), (-1, -1, 1), (1, -1, -1), (1, -1, 1), (1, -1, -1), (1, -1, 1), (1, -1, 1), (1, 1, -1), (1, -1, -1)], [(1, -1, 1), (1, -0.2, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (-1, -1, 1), (-1, 1, -1), (1, -1, 1), (-1, -1, 1)], [(1, 1, -1), (1, -1, 1), (1, -0.2, -1), (1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (-1, -1, 1), (-1, 1, -1), (1, -1, 1)], [(1, -1, 1), (-1, 1, -1), (-1, 1, -1), (-1, 1, -1), (1, -0.2, -1), (1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, 1, -1)], [(1, -0.2, -1), (1, -0.2, -1), (-1, 1, -1), (1, -1, -1), (1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, -0.2, -1), (1, -0.2, -1)], [(-1, -1, 1), (-1, -1, 1), (-1, -1, 1), (-1, -1, 1), (1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, 1, -1), (1, -0.2, -1)], [(1, 1, -1), (1, -1, 1), (1, -0.2, -1), (1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (-1, -1, 1), (-1, 1, -1), (1, -1, 1)]]	3	NA	NA	NA	NA	172.24973089993	['left', 'left', 'right', 'right', 'left', 'left', 'left']	[3.8084263000637293, 6.689796600025147, 11.022879300173372, 12.89657390024513, 15.778354399837554, 19.04259750014171, 22.993333499878645]	NA	NA	NA	NA	ped	001	2026-04-28_15h59.42.055	CMT	2023.1.0	60.95197215105752	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	196.2128120996058	NA	NA	[[(1, 1, -1), (1, 1, -1), (1, -1, 1), (1, -0.2, -1), (-1, -1, 1), (1, -0.2, -1), (1, 1, -1), (1, -0.2, -1), (1, -0.2, -1)], [(1, -1, 1), (1, -1, 1), (-1, 1, -1), (1, -1, -1), (1, 1, -1), (-1, -1, 1), (1, -1, 1), (1, -0.2, -1), (1, 1, -1)], [(1, -1, 1), (1, -1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, 1), (1, -1, -1)], [(1, -0.2, -1), (-1, -1, 1), (1, -0.2, -1), (1, 1, -1), (-1, -1, 1), (-1, -1, 1), (1, -1, -1), (1, 1, -1), (-1, -1, 1)], [(1, -1, -1), (1, -1, -1), (-1, 1, -1), (-1, 1, -1), (-1, -1, 1), (1, 1, -1), (-1, 1, -1), (1, -1, 1), (1, -0.2, -1)], [(-1, 1, -1), (1, -0.2, -1), (1, 1, -1), (1, -1, 1), (1, -1, 1), (1, -1, -1), (1, 1, -1), (1, -0.2, -1), (1, 1, -1)], [(1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, -1), (-1, 1, -1), (1, 1, -1), (1, -1, 1)], [(1, -1, 1), (1, -1, 1), (-1, 1, -1), (1, -1, -1), (1, 1, -1), (-1, -1, 1), (1, -1, 1), (1, -0.2, -1), (1, 1, -1)]]	1	NA	NA	NA	NA	NA	NA	NA	196.74675619974732	['left', 'left', 'left', 'right', 'right', 'right', 'left']	[4.394808600191027, 7.2401642999611795, 9.84101330023259, 13.021386200096458, 15.933859700337052, 19.05223530018702, 22.461288700345904]	NA	ped	001	2026-04-28_15h59.42.055	CMT	2023.1.0	60.95197215105752	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	220.7438380997628	NA	NA	[[(1, -0.2, -1), (-1, 1, -1), (1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, -1), (1, -1, 1)], [(1, -0.2, -1), (1, 1, -1), (-1, 1, -1), (1, -1, -1), (1, -0.2, -1), (1, 1, -1), (1, -1, 1), (1, -0.2, -1), (1, 1, -1)], [(1, -0.2, -1), (1, 1, -1), (1, -1, -1), (-1, -1, 1), (-1, -1, 1), (1, -1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -0.2, -1)], [(1, -1, -1), (1, -1, -1), (-1, 1, -1), (1, -0.2, -1), (1, 1, -1), (1, -1, 1), (1, 1, -1), (-1, -1, 1), (1, -1, -1)], [(1, -1, -1), (1, -1, 1), (1, -0.2, -1), (-1, -1, 1), (1, -0.2, -1), (-1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, -1, -1)], [(-1, -1, 1), (-1, 1, -1), (-1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, -1, 1), (-1, -1, 1), (1, 1, -1), (1, -0.2, -1)], [(1, 1, -1), (1, -0.2, -1), (1, -1, -1), (1, 1, -1), (1, -0.2, -1), (1, 1, -1), (1, -1, -1), (-1, 1, -1), (1, -0.2, -1)], [(1, -0.2, -1), (1, 1, -1), (-1, 1, -1), (1, -1, -1), (1, -0.2, -1), (1, 1, -1), (1, -1, 1), (1, -0.2, -1), (1, 1, -1)]]	1	NA	NA	NA	NA	NA	NA	NA	221.22526239976287	['left', 'left', 'right', 'left', 'left', 'left', 'right']	[4.060388899873942, 7.143023599870503, 10.149159700144082, 12.899296999908984, 15.740250200033188, 19.087206299882382, 21.864330899901688]	NA	ped	001	2026-04-28_15h59.42.055	CMT	2023.1.0	60.95197215105752	NA
