imagefile	stimfile	corrAns	MRdir	angle	training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	mentalrot_trials.thisRepN	mentalrot_trials.thisTrialN	mentalrot_trials.thisN	mentalrot_trials.thisIndex	blank.started	mr_answ_2.started	mr_answ_2.keys	mr_answ_2.corr	mr_answ_2.rt	blank.stopped	mr_answ.started	mr_answ.keys	mr_answ.corr	mr_answ.rt	byebye_text.started	byebye_text.stopped	participant	session	date	expName	psychopyVersion	frameRate
mr_images/4_b.png	mr_images/4_b_z_90.png	left	cw	90	0,544212481123395	NA	NA	NA	0	132	132	113	468.802125200164	NA	NA	NA	NA	464.119484799914	464.119484799914	left	1	2.38953748671338	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/7_b.png	mr_images/7_a_z_225.png	right	ccw	135	0,374039560905658	NA	NA	NA	0	133	133	190	471.318552399986	NA	NA	NA	NA	487.072331900243	487.072331900243	left	0	1.42978547685779	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/11_b.png	mr_images/11_b_z_90.png	left	cw	90	0,627235048799776	NA	NA	NA	0	134	134	41	473.868119500112	NA	NA	NA	NA	601.217278200202	601.217278200202	left	1	4.0518768416252	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/1_a.png	mr_images/1_b_z_45.png	right	cw	45	0,703897800878622	NA	NA	NA	0	135	135	0	475.917790200096	NA	NA	NA	NA	479.217651000246	479.217651000246	left	0	2.7951370423194	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/7_a.png	mr_images/7_b_z_90.png	right	cw	90	0,567980503547005	NA	NA	NA	0	136	136	172	477.500997399911	NA	NA	NA	NA	542.425156800076	542.425156800076	left	0	2.00374428490176	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/5_a.png	mr_images/5_b_z_270.png	right	ccw	90	0,187843049061485	NA	NA	NA	0	137	137	126	478.667528099846	NA	NA	NA	NA	262.369301199913	262.369301199913	left	0	2.85938686812296	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/11_a.png	mr_images/11_b_z_135.png	right	cw	135	0,678674166905694	NA	NA	NA	0	138	138	32	481.083739799913	NA	NA	NA	NA	208.043366100173	208.043366100173	left	0	3.37466981839389	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/11_b.png	mr_images/11_a_z_225.png	right	ccw	135	0,0615456727100536	NA	NA	NA	0	139	139	46	482.883886000142	NA	NA	NA	NA	202.759616900235	202.759616900235	right	1	3.03505442994647	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/3_b.png	mr_images/3_b_z_90.png	left	cw	90	0,317138253594749	NA	NA	NA	0	140	140	89	484.770780700259	NA	NA	NA	NA	451.971176200081	451.971176200081	left	1	2.93006087164394	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/9_b.png	mr_images/9_b_z_135.png	left	cw	135	0,929320776253007	NA	NA	NA	0	141	141	213	486.516408800148	NA	NA	NA	NA	530.243621599861	530.243621599861	left	1	2.89090923806653	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/9_a.png	mr_images/9_a_z_45.png	left	cw	45	0,812086082412861	NA	NA	NA	0	142	142	193	488.42038499983	NA	NA	NA	NA	320.943297300022	320.943297300022	left	1	2.07310077478178	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/12_a.png	mr_images/12_a_z_45.png	left	cw	45	0,189208372612484	NA	NA	NA	0	143	143	49	489.799232600257	NA	NA	NA	NA	549.957564999815	549.957564999815	left	1	2.76252755434253	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/4_b.png	mr_images/4_b_z_225.png	left	ccw	135	0,991176003706642	NA	NA	NA	0	144	144	119	490.816142499913	NA	NA	NA	NA	NA	125.083028799854	right	0	4.91693629249931	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/11_b.png	mr_images/11_b_z_45.png	left	cw	45	0,699360938859172	NA	NA	NA	0	145	145	37	492.353151900228	NA	NA	NA	NA	199.122934100218	199.122934100218	left	1	4.39630592707544	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/1_a.png	mr_images/1_a_z_315.png	left	ccw	45	0,512364370399155	NA	NA	NA	0	146	146	3	494.536250100005	NA	NA	NA	NA	604.46875349991	604.46875349991	right	0	4.76022121743299	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/7_b.png	mr_images/7_a_z_315.png	right	ccw	45	0,800992288044654	NA	NA	NA	0	147	147	182	496.265016200021	NA	NA	NA	NA	378.098410999868	378.098410999868	left	0	3.54480930282735	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
