imagefile	stimfile	corrAns	MRdir	angle	training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	mentalrot_trials.thisRepN	mentalrot_trials.thisTrialN	mentalrot_trials.thisN	mentalrot_trials.thisIndex	blank.started	mr_answ_2.started	mr_answ_2.keys	mr_answ_2.corr	mr_answ_2.rt	blank.stopped	mr_answ.started	mr_answ.keys	mr_answ.corr	mr_answ.rt	byebye_text.started	participant	session	date	expName	psychopyVersion	frameRate	...31
mr_images/5_b.png	mr_images/5_a_z_135.png	right	cw	135	NA	NA	NA	NA	0	145	145	140	723.0980110999662	NA	NA	NA	NA	723.6313944999129	723.6313944999129	left	0	2.709038499975577	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/3_a.png	mr_images/3_b_z_45.png	right	cw	45	NA	NA	NA	NA	0	146	146	72	726.3641511999303	NA	NA	NA	NA	726.9339245998999	726.9339245998999	left	0	2.6078868000768125	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/6_b.png	mr_images/6_b_z_315.png	left	ccw	45	NA	NA	NA	NA	0	147	147	159	729.5679893998895	NA	NA	NA	NA	730.1136232999852	730.1136232999852	right	0	1.3760179000673816	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/5_b.png	mr_images/5_a_z_270.png	right	ccw	90	NA	NA	NA	NA	0	148	148	138	731.5136075000046	NA	NA	NA	NA	732.0466792999068	732.0466792999068	left	0	3.952109400066547	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/1_a.png	mr_images/1_a_z_270.png	left	ccw	90	NA	NA	NA	NA	0	149	149	7	736.0294607999967	NA	NA	NA	NA	736.596147299977	736.596147299977	right	0	3.84174270008225	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/5_a.png	mr_images/5_b_z_270.png	right	ccw	90	NA	NA	NA	NA	0	150	150	126	740.4623855999671	NA	NA	NA	NA	741.0169618999353	741.0169618999353	left	0	2.3220495999557897	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/3_b.png	mr_images/3_b_z_270.png	left	ccw	90	NA	NA	NA	NA	0	151	151	91	743.3660513999639	NA	NA	NA	NA	743.8950087999692	743.8950087999692	right	0	2.1200179000152275	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/4_a.png	mr_images/4_a_z_225.png	left	ccw	135	NA	NA	NA	NA	0	152	152	107	746.0447947999928	NA	NA	NA	NA	746.6117544999579	746.6117544999579	right	0	3.645752299926244	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/9_b.png	mr_images/9_a_z_315.png	right	ccw	45	NA	NA	NA	NA	0	153	153	206	750.277477699914	NA	NA	NA	NA	750.8107002999168	750.8107002999168	left	0	3.3183775999350473	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/7_a.png	mr_images/7_b_z_90.png	right	cw	90	NA	NA	NA	NA	0	154	154	172	754.1603969999123	NA	NA	NA	NA	754.6935077999951	754.6935077999951	left	0	3.208509999909438	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
