sequence	training_session.thisRepN	training_session.thisTrialN	training_session.thisN	training_session.thisIndex	training_2n.thisRepN	training_2n.thisTrialN	training_2n.thisN	training_2n.thisIndex	training_3n.thisRepN	training_3n.thisTrialN	training_3n.thisN	training_3n.thisIndex	training_4n.thisRepN	training_4n.thisTrialN	training_4n.thisN	training_4n.thisIndex	allrep_2nback.thisRepN	allrep_2nback.thisTrialN	allrep_2nback.thisN	allrep_2nback.thisIndex	trials_2nback.thisRepN	trials_2nback.thisTrialN	trials_2nback.thisN	trials_2nback.thisIndex	allrep_3nback.thisRepN	allrep_3nback.thisTrialN	allrep_3nback.thisN	allrep_3nback.thisIndex	trials_3nback.thisRepN	trials_3nback.thisTrialN	trials_3nback.thisN	trials_3nback.thisIndex	allrep_4nback.thisRepN	allrep_4nback.thisTrialN	allrep_4nback.thisN	allrep_4nback.thisIndex	trials_4nback.thisRepN	trials_4nback.thisTrialN	trials_4nback.thisN	trials_4nback.thisIndex	buffer02_txt.started	test_griddot_resp2.started	test_griddot_resp2.keys	test_griddot_resp2.rt	buffer23_txt.started	test_griddot_resp3.started	test_griddot_resp3.keys	test_griddot_resp3.rt	buffer34_txt.started	test_griddot_resp4.started	test_griddot_resp4.keys	test_griddot_resp4.rt	confirm_resp.started	confirm_resp.keys	confirm_resp.rt	instr_text_2.started	buffer02_txt.stopped	griddot_resp2.started	griddot_resp2.keys	griddot_resp2.rt	buffer23_txt.stopped	griddot_resp3.started	griddot_resp3.keys	griddot_resp3.rt	buffer34_txt.stopped	griddot_resp4.started	griddot_resp4.keys	griddot_resp4.rt	participant	session	date	expName	psychopyVersion	frameRate	...76
[(1, 2), (2, 2), (1, 2), (0, 2), (0, 1), (1, 2), (0, 1), (1, 1)]	0	0	0	0	0	0	0	669	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	412.68235089990776	416.81474279996473	['right']	[5.284798599896021]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cio	001	2026-02-13_12h34.05.556	SS	2023.1.0	60.02033486262189	NA
[(0, 2), (0, 0), (0, 1), (2, 2), (0, 0), (0, 1), (0, 0), (0, 1)]	0	0	0	0	0	1	1	389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	433.7332942999201	['left', 'right', 'left']	[5.058957500034012, 9.705049199983478, 13.003899100003764]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cio	001	2026-02-13_12h34.05.556	SS	2023.1.0	60.02033486262189	NA
[(0, 2), (2, 1), (0, 2), (2, 2), (1, 0), (1, 1), (1, 0), (1, 2)]	0	0	0	0	0	2	2	524	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	450.7103320999304	['right', 'left', 'left', 'left', 'right', 'left']	[4.934212499996647, 7.912487499997951, 10.273026199894957, 11.622881299932487, 13.080719799967483, 15.314930799882859]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cio	001	2026-02-13_12h34.05.556	SS	2023.1.0	60.02033486262189	NA
[(2, 1), (1, 0), (1, 2), (2, 0), (0, 1), (1, 1), (2, 0), (0, 1), (0, 2)]	0	0	0	0	NA	NA	NA	NA	0	0	0	137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	467.6745652999962	471.74077759997454	['left', 'left', 'left', 'left', 'right', 'right']	[7.357495500007644, 9.416150400065817, 11.621318900026381, 14.150372700067237, 15.41989190003369, 17.763226800016128]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cio	001	2026-02-13_12h34.05.556	SS	2023.1.0	60.02033486262189	NA
[(1, 2), (0, 1), (0, 0), (2, 2), (0, 1), (0, 0), (2, 0), (2, 1), (1, 2)]	0	0	0	0	NA	NA	NA	NA	0	1	1	436	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	490.738123399904	['left', 'right', 'left', 'left', 'right']	[9.971631399937905, 11.357991099939682, 13.596016300027259, 15.506618799990974, 17.475445799995214]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cio	001	2026-02-13_12h34.05.556	SS	2023.1.0	60.02033486262189	NA
[(0, 1), (0, 1), (1, 2), (0, 1), (0, 0), (0, 1), (0, 0), (2, 1), (0, 1)]	0	0	0	0	NA	NA	NA	NA	0	2	2	182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	509.72213139990345	['right', 'left', 'left', 'right', 'right']	[6.983044599997811, 10.771306400070898, 12.877043300075457, 14.754030600073747, 17.699743499979377]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cio	001	2026-02-13_12h34.05.556	SS	2023.1.0	60.02033486262189	NA
[(0, 1), (0, 1), (1, 0), (2, 2), (2, 1), (2, 2), (1, 0), (1, 0), (0, 1), (2, 2)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	508	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	528.6705914000049	532.7354337999132	['left', 'left', 'right', 'left', 'right', 'left']	[9.270465400069952, 11.746756699983962, 12.96309510001447, 16.42071900004521, 17.839490100042894, 19.10370440001134]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cio	001	2026-02-13_12h34.05.556	SS	2023.1.0	60.02033486262189	NA
[(0, 0), (1, 0), (0, 2), (0, 0), (2, 0), (1, 0), (0, 1), (0, 0), (2, 0), (1, 1)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	160	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	553.7460211999714	['left', 'right', 'right', 'right', 'left', 'left']	[9.077754100086167, 11.923744300031103, 13.9295227000257, 15.354114199988544, 17.54587250004988, 19.53615619998891]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cio	001	2026-02-13_12h34.05.556	SS	2023.1.0	60.02033486262189	NA
[(1, 2), (2, 1), (2, 1), (2, 1), (0, 2), (2, 1), (2, 2), (0, 1), (0, 2), (2, 1)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	2	2	522	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	574.7431737999432	['left', 'right', 'left', 'left', 'left', 'right']	[8.883827800047584, 10.824122500023805, 13.424266600050032, 15.926433900021948, 17.295969500089996, 19.162659300025553]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cio	001	2026-02-13_12h34.05.556	SS	2023.1.0	60.02033486262189	NA
NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	594.6736914999783	y	48.51321620005183	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cio	001	2026-02-13_12h34.05.556	SS	2023.1.0	60.02033486262189	NA
