clr1p1	clr2p1	clr3p1	clr4p1	clr1p2	clr2p2	clr3p2	clr4p2	Hshow	Htest	stim_var	blank_clr	difficulty	answ	l_test	r_test	realclr2	realclr3	realclr	training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	CC_resp_2.keys	CC_resp_2.corr	CC_resp_2.rt	CC_resp.keys	CC_resp.corr	CC_resp.rt	participant	session	date	expName	psychopyVersion	frameRate
#F3E5F5	#BA68C8	#8E24AA	#4A148C	#FBE9E7	#FFB74D	#000000	#BF360C	purple	d_orange	l_down	clr3	low	left	#F4511E	#D84315	#FF8A65	#F4511E	#F4511E	0	0	0	16	NA	NA	NA	NA	None	0	NA	NA	NA	NA	cio	1	2026-02-13_13h13.53.160	MCT	2023.1.0	60.00232805217413
#F3E5F5	#BA68C8	#8E24AA	#4A148C	#E0F2F1	#000000	#00897B	#004D40	purple	lime	l_down	clr2	low	left	#4DB6AC	#B2DFDB	#4DB6AC	#00897B	#4DB6AC	0	1	1	6	NA	NA	NA	NA	None	0	NA	NA	NA	NA	cio	1	2026-02-13_13h13.53.160	MCT	2023.1.0	60.00232805217413
#6D4C41	#3E2723	#EFEBE9	#A1887F	#00ACC1	#000000	#E0F7FA	#4DD0E1	brown	cyan	l_rand1	clr2	low	right	#0097A7	#006064	#006064	#E0F7FA	#006064	0	2	2	29	NA	NA	NA	NA	right	1	2.012201700010337	NA	NA	NA	cio	1	2026-02-13_13h13.53.160	MCT	2023.1.0	60.00232805217413
#3949AB	#1A237E	#E8EAF6	#7986CB	#FB8C00	#000000	#FFF3E0	#FFB74D	indigo	orange	l_rand1	clr2	low	right	#F57C00	#E65100	#E65100	#FFF3E0	#E65100	0	3	3	26	NA	NA	NA	NA	left	0	1.3125884000910446	NA	NA	NA	cio	1	2026-02-13_13h13.53.160	MCT	2023.1.0	60.00232805217413
#E65100	#FB8C00	#FFB74D	#FFF3E0	#1A237E	#3949AB	#000000	#E8EAF6	orange	indigo	l_up	clr3	low	right	#3F51B5	#7986CB	#3949AB	#7986CB	NA	NA	NA	NA	NA	0	0	0	79	NA	NA	NA	left	0	1.333857599995099	cio	1	2026-02-13_13h13.53.160	MCT	2023.1.0	60.00232805217413
#B71C1C	#FFEBEE	#E53935	#E57373	#1A237E	#E8EAF6	#000000	#7986CB	red	indigo	l_rand2	clr3	high	right	#303F9F	#3949AB	#E8EAF6	#3949AB	NA	NA	NA	NA	NA	0	1	1	50	NA	NA	NA	right	1	1.1899399999529123	cio	1	2026-02-13_13h13.53.160	MCT	2023.1.0	60.00232805217413
#00897B	#004D40	#E0F2F1	#4DB6AC	#FFB300	#000000	#FFF8E1	#FFD54F	teal	amber	l_rand1	clr2	low	right	#FFA000	#FF6F00	#FF6F00	#FFF8E1	NA	NA	NA	NA	NA	0	2	2	27	NA	NA	NA	right	1	0.7878442999208346	cio	1	2026-02-13_13h13.53.160	MCT	2023.1.0	60.00232805217413
#3949AB	#1A237E	#E8EAF6	#7986CB	#FB8C00	#000000	#FFF3E0	#FFB74D	indigo	orange	l_rand1	clr2	low	right	#F57C00	#E65100	#E65100	#FFF3E0	NA	NA	NA	NA	NA	0	3	3	26	NA	NA	NA	right	1	0.8359852998983115	cio	1	2026-02-13_13h13.53.160	MCT	2023.1.0	60.00232805217413
#E65100	#FB8C00	#FFB74D	#FFF3E0	#0D47A1	#1E88E5	#000000	#E3F2FD	orange	blue	l_up	clr3	high	left	#64B5F6	#42A5F5	#1E88E5	#64B5F6	NA	NA	NA	NA	NA	0	4	4	71	NA	NA	NA	right	0	1.5763737000524998	cio	1	2026-02-13_13h13.53.160	MCT	2023.1.0	60.00232805217413
#FDD835	#F57F17	#FFFDE7	#FFF176	#F4511E	#000000	#FBE9E7	#FF8A65	yellow	d_orange	l_rand1	clr2	low	right	#E64A19	#BF360C	#BF360C	#FBE9E7	NA	NA	NA	NA	NA	0	5	5	28	NA	NA	NA	left	0	1.8565134999807924	cio	1	2026-02-13_13h13.53.160	MCT	2023.1.0	60.00232805217413
#5E35B1	#311B92	#EDE7F6	#9575CD	#6D4C41	#3E2723	#000000	#A1887F	d_purple	brown	l_rand1	clr3	low	left	#EFEBE9	#BCAAA4	#3E2723	#EFEBE9	NA	NA	NA	NA	NA	0	6	6	35	NA	NA	NA	left	1	2.05228810000699	cio	1	2026-02-13_13h13.53.160	MCT	2023.1.0	60.00232805217413
#311B92	#5E35B1	#9575CD	#EDE7F6	#1B5E20	#000000	#81C784	#E8F5E9	d_purple	green	l_up	clr2	high	right	#4CAF50	#43A047	#43A047	#81C784	NA	NA	NA	NA	NA	0	7	7	62	NA	NA	NA	left	0	1.5260028999764472	cio	1	2026-02-13_13h13.53.160	MCT	2023.1.0	60.00232805217413
#3E2723	#EFEBE9	#6D4C41	#A1887F	#0D47A1	#E3F2FD	#000000	#64B5F6	brown	blue	l_rand2	clr3	high	right	#2196F3	#1E88E5	#E3F2FD	#1E88E5	NA	NA	NA	NA	NA	0	8	8	54	NA	NA	NA	right	1	1.7849041000008583	cio	1	2026-02-13_13h13.53.160	MCT	2023.1.0	60.00232805217413
#FFEBEE	#E57373	#E53935	#B71C1C	#E1F5FE	#000000	#039BE5	#01579B	red	l_blue	l_down	clr2	high	left	#4FC3F7	#81D4FA	#4FC3F7	#039BE5	NA	NA	NA	NA	NA	0	9	9	0	NA	NA	NA	right	0	2.0586872999556363	cio	1	2026-02-13_13h13.53.160	MCT	2023.1.0	60.00232805217413
#FFB300	#FF6F00	#FFF8E1	#FFD54F	#039BE5	#01579B	#000000	#4FC3F7	amber	l_blue	l_rand1	clr3	high	right	#B3E5FC	#E1F5FE	#01579B	#E1F5FE	NA	NA	NA	NA	NA	0	10	10	34	NA	NA	NA	right	1	1.5526464999420568	cio	1	2026-02-13_13h13.53.160	MCT	2023.1.0	60.00232805217413
#4A148C	#8E24AA	#BA68C8	#F3E5F5	#0D47A1	#000000	#64B5F6	#E3F2FD	purple	blue	l_up	clr2	high	left	#1E88E5	#2196F3	#1E88E5	#64B5F6	NA	NA	NA	NA	NA	0	11	11	60	NA	NA	NA	left	1	1.576660200022161	cio	1	2026-02-13_13h13.53.160	MCT	2023.1.0	60.00232805217413
#0D47A1	#1E88E5	#64B5F6	#E3F2FD	#FF6F00	#FFB300	#000000	#FFF8E1	blue	amber	l_up	clr3	low	right	#FFC107	#FFD54F	#FFB300	#FFD54F	NA	NA	NA	NA	NA	0	12	12	77	NA	NA	NA	right	1	1.0143720000050962	cio	1	2026-02-13_13h13.53.160	MCT	2023.1.0	60.00232805217413
#FFF3E0	#FFB74D	#FB8C00	#E65100	#FCE4EC	#F06292	#000000	#880E4F	orange	pink	l_down	clr3	low	left	#D81B60	#EC407A	#F06292	#D81B60	NA	NA	NA	NA	NA	0	13	13	15	NA	NA	NA	right	0	1.3035528999753296	cio	1	2026-02-13_13h13.53.160	MCT	2023.1.0	60.00232805217413
#311B92	#EDE7F6	#5E35B1	#9575CD	#B71C1C	#000000	#E53935	#E57373	d_purple	red	l_rand2	clr2	low	right	#EF9A9A	#FFEBEE	#FFEBEE	#E53935	NA	NA	NA	NA	NA	0	14	14	45	NA	NA	NA	right	1	0.7317444999935105	cio	1	2026-02-13_13h13.53.160	MCT	2023.1.0	60.00232805217413
#33691E	#7CB342	#AED581	#F1F8E9	#880E4F	#000000	#F06292	#FCE4EC	l_green	pink	l_up	clr2	high	left	#D81B60	#E91E63	#D81B60	#F06292	NA	NA	NA	NA	NA	0	15	15	61	NA	NA	NA	left	1	1.5746363999787718	cio	1	2026-02-13_13h13.53.160	MCT	2023.1.0	60.00232805217413
#E0F2F1	#4DB6AC	#00897B	#004D40	#FBE9E7	#000000	#F4511E	#BF360C	lime	d_orange	l_down	clr2	low	right	#FF5722	#FF8A65	#FF8A65	#F4511E	NA	NA	NA	NA	NA	0	16	16	9	NA	NA	NA	right	1	1.6549767000833526	cio	1	2026-02-13_13h13.53.160	MCT	2023.1.0	60.00232805217413
#B71C1C	#FFEBEE	#E53935	#E57373	#E65100	#000000	#FB8C00	#FFB74D	red	orange	l_rand2	clr2	low	right	#FFCC80	#FFF3E0	#FFF3E0	#FB8C00	NA	NA	NA	NA	NA	0	17	17	49	NA	NA	NA	right	1	0.7692626999923959	cio	1	2026-02-13_13h13.53.160	MCT	2023.1.0	60.00232805217413
#8E24AA	#4A148C	#F3E5F5	#BA68C8	#5E35B1	#000000	#EDE7F6	#9575CD	purple	d_purple	l_rand1	clr2	high	left	#311B92	#4527A0	#311B92	#EDE7F6	NA	NA	NA	NA	NA	0	18	18	20	NA	NA	NA	left	1	1.7576399999670684	cio	1	2026-02-13_13h13.53.160	MCT	2023.1.0	60.00232805217413
#7CB342	#33691E	#F1F8E9	#AED581	#8E24AA	#000000	#F3E5F5	#BA68C8	l_green	purple	l_rand1	clr2	high	left	#4A148C	#6A1B9A	#4A148C	#F3E5F5	NA	NA	NA	NA	NA	0	19	19	22	NA	NA	NA	left	1	0.9938364999834448	cio	1	2026-02-13_13h13.53.160	MCT	2023.1.0	60.00232805217413
#E65100	#FFF3E0	#FB8C00	#FFB74D	#004D40	#E0F2F1	#000000	#4DB6AC	orange	teal	l_rand2	clr3	low	left	#00897B	#00695C	#E0F2F1	#00897B	NA	NA	NA	NA	NA	0	20	20	58	NA	NA	NA	left	1	1.450597499962896	cio	1	2026-02-13_13h13.53.160	MCT	2023.1.0	60.00232805217413
#006064	#E0F7FA	#00ACC1	#4DD0E1	#311B92	#000000	#5E35B1	#9575CD	cyan	d_purple	l_rand2	clr2	low	right	#B39DDB	#EDE7F6	#EDE7F6	#5E35B1	NA	NA	NA	NA	NA	0	21	21	46	NA	NA	NA	left	0	1.2604181000497192	cio	1	2026-02-13_13h13.53.160	MCT	2023.1.0	60.00232805217413
#BF360C	#FBE9E7	#F4511E	#FF8A65	#B71C1C	#000000	#E53935	#E57373	d_orange	red	l_rand2	clr2	low	right	#EF9A9A	#FFEBEE	#FFEBEE	#E53935	NA	NA	NA	NA	NA	0	22	22	48	NA	NA	NA	right	1	1.0267026000656188	cio	1	2026-02-13_13h13.53.160	MCT	2023.1.0	60.00232805217413
#F1F8E9	#AED581	#7CB342	#33691E	#FFF3E0	#000000	#FB8C00	#E65100	l_green	orange	l_down	clr2	low	left	#FFB74D	#FFE0B2	#FFB74D	#FB8C00	NA	NA	NA	NA	NA	0	23	23	7	NA	NA	NA	right	0	1.5357101999688894	cio	1	2026-02-13_13h13.53.160	MCT	2023.1.0	60.00232805217413
#311B92	#5E35B1	#9575CD	#EDE7F6	#880E4F	#000000	#F06292	#FCE4EC	d_purple	pink	l_up	clr2	high	right	#E91E63	#D81B60	#D81B60	#F06292	NA	NA	NA	NA	NA	0	24	24	64	NA	NA	NA	left	0	1.6918743000132963	cio	1	2026-02-13_13h13.53.160	MCT	2023.1.0	60.00232805217413
