clr1p1	clr2p1	clr3p1	clr4p1	clr1p2	clr2p2	clr3p2	clr4p2	Hshow	Htest	stim_var	blank_clr	difficulty	answ	l_test	r_test	realclr2	realclr3	realclr	training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	CC_resp_2.keys	CC_resp_2.corr	CC_resp_2.rt	CC_resp.keys	CC_resp.corr	CC_resp.rt	participant	session	date	expName	psychopyVersion	frameRate
#E53935	#B71C1C	#FFEBEE	#E57373	#7CB342	#000000	#F1F8E9	#AED581	red	l_green	l_rand1	clr2	low	right	#689F38	#33691E	#33691E	#F1F8E9	#33691E	0	0	0	25	NA	NA	NA	NA	left	0	4.517439800314605	NA	NA	NA	aad	1	2026-06-01_15h42.29.273	MCT	2023.1.0	60.13062779045863
#5E35B1	#311B92	#EDE7F6	#9575CD	#6D4C41	#3E2723	#000000	#A1887F	d_purple	brown	l_rand1	clr3	low	left	#EFEBE9	#BCAAA4	#3E2723	#EFEBE9	#EFEBE9	0	1	1	35	NA	NA	NA	NA	right	0	1.7526681004092095	NA	NA	NA	aad	1	2026-06-01_15h42.29.274	MCT	2023.1.0	60.13062779045863
#3E2723	#EFEBE9	#6D4C41	#A1887F	#0D47A1	#E3F2FD	#000000	#64B5F6	brown	blue	l_rand2	clr3	high	right	#2196F3	#1E88E5	#E3F2FD	#1E88E5	#1E88E5	0	2	2	54	NA	NA	NA	NA	left	0	1.4972267001867294	NA	NA	NA	aad	1	2026-06-01_15h42.29.275	MCT	2023.1.0	60.13062779045863
#00ACC1	#006064	#E0F7FA	#4DD0E1	#43A047	#1B5E20	#000000	#81C784	cyan	green	l_rand1	clr3	low	left	#E8F5E9	#A5D6A7	#1B5E20	#E8F5E9	#E8F5E9	0	3	3	36	NA	NA	NA	NA	right	0	1.7566470000892878	NA	NA	NA	aad	1	2026-06-01_15h42.29.276	MCT	2023.1.0	60.13062779045863
#B71C1C	#E53935	#E57373	#FFEBEE	#004D40	#000000	#4DB6AC	#E0F2F1	red	lime	l_up	clr2	low	left	#00897B	#00695C	#00897B	#4DB6AC	NA	NA	NA	NA	NA	0	0	0	66	NA	NA	NA	right	0	3.89198026744416	aad	1	2026-06-01_15h42.29.277	MCT	2023.1.0	60.13062779045863
#E8EAF6	#7986CB	#3949AB	#1A237E	#FFF3E0	#FFB74D	#000000	#E65100	indigo	orange	l_down	clr3	high	left	#FB8C00	#FF9800	#FFB74D	#FB8C00	NA	NA	NA	NA	NA	0	1	1	10	NA	NA	NA	right	1	0.637773738161195	aad	1	2026-06-01_15h42.29.278	MCT	2023.1.0	60.13062779045863
#039BE5	#01579B	#E1F5FE	#4FC3F7	#D81B60	#000000	#FCE4EC	#F06292	l_blue	pink	l_rand1	clr2	none	left	#880E4F	#BF360C	#880E4F	#FCE4EC	NA	NA	NA	NA	NA	0	2	2	91	NA	NA	NA	left	1	0.397335188940633	aad	1	2026-06-01_15h42.29.279	MCT	2023.1.0	60.13062779045863
#1B5E20	#43A047	#81C784	#E8F5E9	#004D40	#000000	#4DB6AC	#E0F2F1	green	teal	l_up	clr2	none	right	#7CB342	#00897B	#00897B	#4DB6AC	NA	NA	NA	NA	NA	0	3	3	115	NA	NA	NA	right	1	0.639149073010776	aad	1	2026-06-01_15h42.29.280	MCT	2023.1.0	60.13062779045863
#004D40	#E0F2F1	#00897B	#4DB6AC	#BF360C	#FBE9E7	#000000	#FF8A65	teal	d_orange	l_rand2	clr3	low	right	#D84315	#F4511E	#FBE9E7	#F4511E	NA	NA	NA	NA	NA	0	4	4	59	NA	NA	NA	left	0	1.4719182525645	aad	1	2026-06-01_15h42.29.281	MCT	2023.1.0	60.13062779045863
#E53935	#B71C1C	#FFEBEE	#E57373	#7CB342	#000000	#F1F8E9	#AED581	red	l_green	l_rand1	clr2	low	right	#689F38	#33691E	#33691E	#F1F8E9	NA	NA	NA	NA	NA	0	5	5	25	NA	NA	NA	right	1	0.672698405559641	aad	1	2026-06-01_15h42.29.282	MCT	2023.1.0	60.13062779045863
