imagefile	stimfile	corrAns	MRdir	angle	training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	mentalrot_trials.thisRepN	mentalrot_trials.thisTrialN	mentalrot_trials.thisN	mentalrot_trials.thisIndex	blank.started	mr_answ_2.started	mr_answ_2.keys	mr_answ_2.corr	mr_answ_2.rt	blank.stopped	mr_answ.started	mr_answ.keys	mr_answ.corr	mr_answ.rt	byebye_text.started	byebye_text.stopped	participant	session	date	expName	psychopyVersion	frameRate
mr_images/1_a.png	mr_images/1_a_z_270.png	left	ccw	90	0	0	0	7	NA	NA	NA	NA	82.05425120005384	82.60371970012784	None	0	NA	NA	NA	NA	NA	NA	NA	NA	aad	1	2026-06-01_11h16.49.287	MR	2023.1.0	59.99876408589627
mr_images/3_b.png	mr_images/3_a_z_135.png	right	cw	135	0	1	1	92	NA	NA	NA	NA	87.50533290021122	88.06965450011194	right	1	2.0945387999527156	NA	NA	NA	NA	NA	NA	NA	aad	1	2026-06-01_11h16.49.287	MR	2023.1.0	59.99876408589627
mr_images/6_b.png	mr_images/6_a_z_90.png	right	cw	90	0	2	2	160	NA	NA	NA	NA	90.1859897999093	90.76928569981828	right	1	2.8107845997437835	90.76928569981828	NA	NA	NA	NA	NA	NA	aad	1	2026-06-01_11h16.49.287	MR	2023.1.0	59.99876408589627
mr_images/3_a.png	mr_images/3_b_z_225.png	right	ccw	135	0	3	3	82	NA	NA	NA	NA	93.60229460010304	94.18600470013916	left	0	2.3167232000268996	94.18600470013916	NA	NA	NA	NA	NA	NA	aad	1	2026-06-01_11h16.49.287	MR	2023.1.0	59.99876408589627
mr_images/7_b.png	mr_images/7_b_z_225.png	left	ccw	135	0	4	4	191	NA	NA	NA	NA	96.53519249986856	97.11849260004236	left	1	2.071525199804455	97.11849260004236	NA	NA	NA	NA	NA	NA	aad	1	2026-06-01_11h16.49.287	MR	2023.1.0	59.99876408589627
mr_images/9_b.png	mr_images/9_a_z_225.png	right	ccw	135	NA	NA	NA	NA	0	0	0	214	447.2031621001661	NA	NA	NA	NA	447.753136199899	447.753136199899	left	0	3.64846060832497	NA	NA	aad	1	2026-06-01_11h16.49.287	MR	2023.1.0	59.99876408589627
mr_images/6_a.png	mr_images/6_a_z_315.png	left	ccw	45	NA	NA	NA	NA	0	1	1	147	199.870756899938	NA	NA	NA	NA	200.4374867998995	200.4374867998995	right	0	3.40282675379422	NA	NA	aad	1	2026-06-01_11h16.49.287	MR	2023.1.0	59.99876408589627
mr_images/6_a.png	mr_images/6_a_z_270.png	left	ccw	90	NA	NA	NA	NA	0	2	2	151	740.483323500026	NA	NA	NA	NA	741.0122549999505	741.0122549999505	right	0	2.40923173644114	NA	NA	aad	1	2026-06-01_11h16.49.287	MR	2023.1.0	59.99876408589627
mr_images/11_a.png	mr_images/11_a_z_270.png	left	ccw	90	NA	NA	NA	NA	0	3	3	31	266.78245159983635	NA	NA	NA	NA	267.34477749979123	267.34477749979123	right	0	3.24358456407208	NA	NA	aad	1	2026-06-01_11h16.49.287	MR	2023.1.0	59.99876408589627
mr_images/1_a.png	mr_images/1_a_z_90.png	left	cw	90	NA	NA	NA	NA	0	4	4	5	226.05045079998672	NA	NA	NA	NA	226.61715940013528	226.61715940013528	right	0	0.806304300320335	NA	NA	aad	1	2026-06-01_11h16.49.287	MR	2023.1.0	59.99876408589627
