clr1p1	clr2p1	clr3p1	clr4p1	clr1p2	clr2p2	clr3p2	clr4p2	Hshow	Htest	stim_var	blank_clr	difficulty	answ	l_test	r_test	realclr2	realclr3	realclr	training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	CC_resp_2.keys	CC_resp_2.corr	CC_resp_2.rt	CC_resp.keys	CC_resp.corr	CC_resp.rt	participant	session	date	expName	psychopyVersion	frameRate
#F4511E	#BF360C	#FBE9E7	#FF8A65	#43A047	#1B5E20	#000000	#81C784	d_orange	green	l_rand1	clr3	low	left	#E8F5E9	#A5D6A7	#1B5E20	#E8F5E9	#E8F5E9	0	0	0	38	NA	NA	NA	NA	right	0	4.194306700024754	NA	NA	NA	ABF	1	2026-03-12_13h51.19.972	MCT	2023.1.0	60.14364703210197
#880E4F	#D81B60	#F06292	#FCE4EC	#B71C1C	#000000	#E57373	#FFEBEE	pink	red	l_up	clr2	low	right	#EF5350	#E53935	#E53935	#E57373	#E53935	0	1	1	68	NA	NA	NA	NA	right	1	2.928485000506043	NA	NA	NA	ABF	1	2026-03-12_13h51.19.972	MCT	2023.1.0	60.14364703210197
#01579B	#039BE5	#4FC3F7	#E1F5FE	#F57F17	#FDD835	#000000	#FFFDE7	l_blue	yellow	l_up	clr3	high	left	#FFF176	#FFEE58	#FDD835	#FFF176	#FFF176	0	2	2	70	NA	NA	NA	NA	right	0	1.084214800503105	NA	NA	NA	ABF	1	2026-03-12_13h51.19.972	MCT	2023.1.0	60.14364703210197
#EFEBE9	#A1887F	#6D4C41	#3E2723	#E8F5E9	#000000	#43A047	#1B5E20	brown	green	l_down	clr2	high	left	#81C784	#A5D6A7	#81C784	#43A047	#81C784	0	3	3	2	NA	NA	NA	NA	left	1	1.7225344004109502	NA	NA	NA	ABF	1	2026-03-12_13h51.19.972	MCT	2023.1.0	60.14364703210197
#1B5E20	#43A047	#81C784	#E8F5E9	#004D40	#000000	#4DB6AC	#E0F2F1	green	lime	l_up	clr2	high	right	#00796B	#00897B	#00897B	#4DB6AC	NA	NA	NA	NA	NA	0	0	0	65	NA	NA	NA	right	1	3.083919500466436	ABF	1	2026-03-12_13h51.19.972	MCT	2023.1.0	60.14364703210197
#880E4F	#FCE4EC	#D81B60	#F06292	#33691E	#000000	#7CB342	#AED581	pink	l_green	l_rand2	clr2	high	left	#F1F8E9	#DCEDC8	#F1F8E9	#7CB342	NA	NA	NA	NA	NA	0	1	1	40	NA	NA	NA	right	0	1.575686200056225	ABF	1	2026-03-12_13h51.19.972	MCT	2023.1.0	60.14364703210197
#FF6F00	#FFB300	#FFD54F	#FFF8E1	#1A237E	#3949AB	#000000	#E8EAF6	amber	indigo	l_up	clr3	low	right	#C5CAE9	#7986CB	#3949AB	#7986CB	NA	NA	NA	NA	NA	0	2	2	78	NA	NA	NA	right	1	0.8190221004188061	ABF	1	2026-03-12_13h51.19.972	MCT	2023.1.0	60.14364703210197
#FFF8E1	#FFD54F	#FFB300	#FF6F00	#EFEBE9	#A1887F	#000000	#3E2723	amber	brown	l_down	clr3	low	left	#6D4C41	#8D6E63	#A1887F	#6D4C41	NA	NA	NA	NA	NA	0	3	3	17	NA	NA	NA	right	0	1.2009324999526143	ABF	1	2026-03-12_13h51.19.972	MCT	2023.1.0	60.14364703210197
#1B5E20	#E8F5E9	#43A047	#81C784	#006064	#000000	#00ACC1	#4DD0E1	green	cyan	l_rand2	clr2	high	left	#E0F7FA	#B2EBF2	#E0F7FA	#00ACC1	NA	NA	NA	NA	NA	0	4	4	42	NA	NA	NA	right	0	0.924599500373006	ABF	1	2026-03-12_13h51.19.972	MCT	2023.1.0	60.14364703210197
#E65100	#FFF3E0	#FB8C00	#FFB74D	#004D40	#E0F2F1	#000000	#4DB6AC	orange	teal	l_rand2	clr3	low	left	#00897B	#00695C	#E0F2F1	#00897B	NA	NA	NA	NA	NA	0	5	5	58	NA	NA	NA	right	0	0.9174685003235936	ABF	1	2026-03-12_13h51.19.972	MCT	2023.1.0	60.14364703210197
