imagefile	stimfile	corrAns	MRdir	angle	training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	mentalrot_trials.thisRepN	mentalrot_trials.thisTrialN	mentalrot_trials.thisN	mentalrot_trials.thisIndex	blank.started	mr_answ_2.started	mr_answ_2.keys	mr_answ_2.corr	mr_answ_2.rt	blank.stopped	mr_answ.started	mr_answ.keys	mr_answ.corr	mr_answ.rt	byebye_text.started	participant	session	date	expName	psychopyVersion	frameRate	...31
mr_images/12_b.png	mr_images/12_a_z_135.png	right	cw	135	0	0	0	68	NA	NA	NA	NA	182.7397985998541	183.2609916999936	left	0	3.880702600348741	NA	NA	NA	NA	NA	NA	ABF	001	2026-03-12_14h07.30.665	MR	2023.1.0	59.906713253196834	NA
mr_images/5_a.png	mr_images/5_a_z_270.png	left	ccw	90	0	1	1	127	NA	NA	NA	NA	187.17261660005897	187.75584599981084	right	0	4.227495499886572	187.75584599981084	NA	NA	NA	NA	NA	ABF	001	2026-03-12_14h07.30.665	MR	2023.1.0	59.906713253196834	NA
mr_images/12_a.png	mr_images/12_a_z_90.png	left	cw	90	0	2	2	53	NA	NA	NA	NA	192.00512070022523	192.6055792002007	left	1	2.679702099878341	192.6055792002007	NA	NA	NA	NA	NA	ABF	001	2026-03-12_14h07.30.665	MR	2023.1.0	59.906713253196834	NA
mr_images/12_b.png	mr_images/12_a_z_90.png	right	cw	90	0	3	3	64	NA	NA	NA	NA	195.30475590005517	195.8379965000786	left	0	2.4030197001993656	195.8379965000786	NA	NA	NA	NA	NA	ABF	001	2026-03-12_14h07.30.665	MR	2023.1.0	59.906713253196834	NA
mr_images/6_b.png	mr_images/6_b_z_315.png	left	ccw	45	0	4	4	159	NA	NA	NA	NA	198.2706352001987	198.82057880004868	right	0	3.039403600152582	198.82057880004868	NA	NA	NA	NA	NA	ABF	001	2026-03-12_14h07.30.665	MR	2023.1.0	59.906713253196834	NA
mr_images/6_a.png	mr_images/6_a_z_135.png	left	cw	135	NA	NA	NA	NA	0	0	0	153	203.43690400011835	NA	NA	NA	NA	NA	203.91990619990975	None	0	NA	NA	ABF	001	2026-03-12_14h07.30.665	MR	2023.1.0	59.906713253196834	NA
mr_images/1_b.png	mr_images/1_a_z_45.png	right	cw	45	NA	NA	NA	NA	0	1	1	12	208.8695418001153	NA	NA	NA	NA	NA	209.46907950006425	right	1	3.893129600211978	NA	ABF	001	2026-03-12_14h07.30.665	MR	2023.1.0	59.906713253196834	NA
mr_images/7_a.png	mr_images/7_a_z_225.png	left	ccw	135	NA	NA	NA	NA	0	2	2	179	213.3855519001372	NA	NA	NA	NA	213.9689103001729	213.9689103001729	left	1	1.868972700089216	NA	ABF	001	2026-03-12_14h07.30.665	MR	2023.1.0	59.906713253196834	NA
mr_images/1_b.png	mr_images/1_a_z_135.png	right	cw	135	NA	NA	NA	NA	0	3	3	20	215.8686600001529	NA	NA	NA	NA	216.4222781998105	216.4222781998105	right	1	2.4779352000914514	NA	ABF	001	2026-03-12_14h07.30.665	MR	2023.1.0	59.906713253196834	NA
mr_images/12_b.png	mr_images/12_a_z_135.png	right	cw	135	NA	NA	NA	NA	0	4	4	68	218.92222250020131	NA	NA	NA	NA	219.4680782998912	219.4680782998912	left	0	3.379187600221485	NA	ABF	001	2026-03-12_14h07.30.665	MR	2023.1.0	59.906713253196834	NA
mr_images/5_a.png	mr_images/5_b_z_315.png	right	ccw	45	NA	NA	NA	NA	0	5	5	122	222.8681030999869	NA	NA	NA	NA	223.43421459989625	223.43421459989625	left	0	3.1870062998495996	NA	ABF	001	2026-03-12_14h07.30.665	MR	2023.1.0	59.906713253196834	NA
mr_images/7_a.png	mr_images/7_a_z_135.png	left	cw	135	NA	NA	NA	NA	0	6	6	177	226.65037980023772	NA	NA	NA	NA	227.20239959983155	227.20239959983155	right	0	4.600425300188363	NA	ABF	001	2026-03-12_14h07.30.665	MR	2023.1.0	59.906713253196834	NA
mr_images/5_b.png	mr_images/5_b_z_135.png	left	cw	135	NA	NA	NA	NA	0	7	7	141	231.82032319996503	NA	NA	NA	NA	232.3996667000465	232.3996667000465	None	0	NA	NA	ABF	001	2026-03-12_14h07.30.665	MR	2023.1.0	59.906713253196834	NA
mr_images/4_a.png	mr_images/4_b_z_225.png	right	ccw	135	NA	NA	NA	NA	0	8	8	106	237.33236919995397	NA	NA	NA	NA	NA	237.93175880005583	left	0	4.722058699931949	NA	ABF	001	2026-03-12_14h07.30.665	MR	2023.1.0	59.906713253196834	NA
mr_images/6_a.png	mr_images/6_a_z_225.png	left	ccw	135	NA	NA	NA	NA	0	9	9	155	242.68152870004997	NA	NA	NA	NA	243.24838169990107	243.24838169990107	left	1	3.471976100001484	NA	ABF	001	2026-03-12_14h07.30.665	MR	2023.1.0	59.906713253196834	NA
mr_images/9_a.png	mr_images/9_b_z_315.png	right	ccw	45	NA	NA	NA	NA	0	10	10	194	246.7474385998212	NA	NA	NA	NA	247.3307849001139	247.3307849001139	left	0	2.594303200021386	NA	ABF	001	2026-03-12_14h07.30.665	MR	2023.1.0	59.906713253196834	NA
mr_images/5_a.png	mr_images/5_a_z_225.png	left	ccw	135	NA	NA	NA	NA	0	11	11	131	249.9467988000251	NA	NA	NA	NA	250.50214370014143	250.50214370014143	right	0	2.202955299988389	NA	ABF	001	2026-03-12_14h07.30.665	MR	2023.1.0	59.906713253196834	NA
mr_images/6_a.png	mr_images/6_b_z_270.png	right	ccw	90	NA	NA	NA	NA	0	12	12	150	252.7342007998377	NA	NA	NA	NA	253.3132799998857	253.3132799998857	left	0	4.398252900224179	NA	ABF	001	2026-03-12_14h07.30.665	MR	2023.1.0	59.906713253196834	NA
mr_images/11_a.png	mr_images/11_a_z_225.png	left	ccw	135	NA	NA	NA	NA	0	13	13	35	257.7290790998377	NA	NA	NA	NA	258.2790049999021	258.2790049999021	right	0	3.1212117997929454	NA	ABF	001	2026-03-12_14h07.30.665	MR	2023.1.0	59.906713253196834	NA
mr_images/11_b.png	mr_images/11_a_z_270.png	right	ccw	90	NA	NA	NA	NA	0	14	14	42	261.428913900163	NA	NA	NA	NA	262.01540970010683	262.01540970010683	left	0	2.2962330002337694	NA	ABF	001	2026-03-12_14h07.30.665	MR	2023.1.0	59.906713253196834	NA
mr_images/3_a.png	mr_images/3_b_z_270.png	right	ccw	90	NA	NA	NA	NA	0	15	15	78	264.33240710012615	NA	NA	NA	NA	264.91338679986075	264.91338679986075	left	0	2.8929538000375032	NA	ABF	001	2026-03-12_14h07.30.665	MR	2023.1.0	59.906713253196834	NA
mr_images/5_a.png	mr_images/5_a_z_45.png	left	cw	45	NA	NA	NA	NA	0	16	16	121	267.8321185000241	NA	NA	NA	NA	268.39456919999793	268.39456919999793	left	1	2.4809036003425717	NA	ABF	001	2026-03-12_14h07.30.665	MR	2023.1.0	59.906713253196834	NA
