training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	arsal_train.thisRepN	arsal_train.thisTrialN	arsal_train.thisN	arsal_train.thisIndex	arsal_s2.thisRepN	arsal_s2.thisTrialN	arsal_s2.thisN	arsal_s2.thisIndex	arsal_s3.thisRepN	arsal_s3.thisTrialN	arsal_s3.thisN	arsal_s3.thisIndex	arsal_s4.thisRepN	arsal_s4.thisTrialN	arsal_s4.thisN	arsal_s4.thisIndex	blank.started	blank.stopped	matrix_resp.started	sequence	repeat_idx	matrix_resp.keys	matrix_resp.rt	trainconf.keys	trainconf.rt	matrix_resp_2.started	matrix_resp_2.keys	matrix_resp_2.rt	matrix_resp_3.started	matrix_resp_3.keys	matrix_resp_3.rt	byebye_text.started	participant	session	date	expName	psychopyVersion	frameRate	...43
0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	150.57202620012686	151.12129160016775	151.12129160016775	[[(1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, -0.2, -1), (1, -1, 1), (1, -0.2, -1), (1, -1, 1), (-1, -1, 1), (1, -1, 1)], [(1, -1, 1), (1, -1, 1), (-1, -1, 1), (-1, -1, 1), (1, -0.2, -1), (1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, -1, 1)], [(-1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (-1, -1, 1), (-1, 1, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (-1, 1, -1)], [(1, -1, 1), (-1, -1, 1), (-1, -1, 1), (1, -0.2, -1), (1, -1, 1), (1, -0.2, -1), (-1, -1, 1), (-1, -1, 1), (-1, 1, -1)], [(1, -1, -1), (1, -1, -1), (1, -1, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, -1, 1)], [(1, 1, -1), (1, -0.2, -1), (-1, -1, 1), (1, 1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (1, 1, -1)], [(1, -0.2, -1), (1, -1, 1), (1, -1, 1), (1, -0.2, -1), (1, -1, 1), (1, -1, 1), (-1, 1, -1), (-1, -1, 1), (1, -0.2, -1)], [(-1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (-1, -1, 1), (-1, 1, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (-1, 1, -1)]]	2	['right', 'left', 'left', 'left']	[5.225905899889767, 11.17887739976868, 16.3362830998376, 23.03058800008148]	NA	NA	NA	NA	NA	NA	NA	NA	NA	atn	001	2026-03-10_17h29.25.763	CMT	2023.1.0	59.96584347470974	NA
0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	175.08446760009974	NA	NA	NA	NA	NA	NA	['n']	[12.878347200341523]	NA	NA	NA	NA	NA	NA	NA	atn	001	2026-03-10_17h29.25.763	CMT	2023.1.0	59.96584347470974	NA
1	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	188.4831515001133	189.0160039002076	189.0160039002076	[[(1, -0.2, -1), (-1, 1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (1, 1, -1), (1, -0.2, -1), (1, 1, -1)], [(1, -0.2, -1), (-1, 1, -1), (-1, 1, -1), (-1, -1, 1), (-1, 1, -1), (1, -0.2, -1), (1, -1, -1), (1, -1, -1), (-1, -1, 1)], [(1, -1, 1), (1, -1, 1), (1, -1, -1), (-1, 1, -1), (-1, 1, -1), (-1, 1, -1), (1, -1, 1), (-1, 1, -1), (-1, -1, 1)], [(1, -1, 1), (-1, -1, 1), (1, -1, -1), (1, -1, 1), (-1, 1, -1), (1, -1, -1), (-1, 1, -1), (1, -1, -1), (1, -1, 1)], [(1, -0.2, -1), (1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1)], [(-1, 1, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -1, 1), (1, -1, 1), (1, 1, -1)], [(1, -1, -1), (1, -1, 1), (-1, -1, 1), (1, -1, -1), (-1, 1, -1), (1, -1, 1), (-1, -1, 1), (-1, -1, 1), (1, -1, -1)], [(1, -1, 1), (1, -1, 1), (1, -1, -1), (-1, 1, -1), (-1, 1, -1), (-1, 1, -1), (1, -1, 1), (-1, 1, -1), (-1, -1, 1)]]	2	['left', 'left', 'left', 'right', 'left']	[5.266619199886918, 8.284620800055563, 12.30202140007168, 14.68616360006854, 20.80481779994443]	NA	NA	NA	NA	NA	NA	NA	NA	NA	atn	001	2026-03-10_17h29.25.763	CMT	2023.1.0	59.96584347470974	NA
1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	213.01266280002892	NA	NA	NA	NA	NA	NA	['y']	[11.924689200241119]	NA	NA	NA	NA	NA	NA	NA	atn	001	2026-03-10_17h29.25.763	CMT	2023.1.0	59.96584347470974	NA
NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	248.22448220010847	248.74099850002676	248.74099850002676	[[(-1, -1, 1), (1, -1, -1), (1, -1, -1), (1, -0.2, -1), (1, -1, -1), (-1, -1, 1), (-1, -1, 1), (1, -0.2, -1), (1, -1, -1)], [(-1, 1, -1), (1, 1, -1), (1, -1, -1), (-1, -1, 1), (1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, -1, -1), (1, 1, -1)], [(-1, -1, 1), (-1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (-1, 1, -1), (1, 1, -1), (1, 1, -1), (-1, 1, -1)], [(1, -0.2, -1), (-1, -1, 1), (-1, 1, -1), (-1, 1, -1), (-1, 1, -1), (1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, 1)], [(1, -1, 1), (1, 1, -1), (1, -1, 1), (-1, -1, 1), (1, 1, -1), (-1, -1, 1), (-1, -1, 1), (-1, 1, -1), (1, 1, -1)], [(-1, -1, 1), (1, -1, -1), (1, -0.2, -1), (-1, -1, 1), (-1, -1, 1), (1, -1, -1), (1, -1, -1), (1, -0.2, -1), (1, -0.2, -1)], [(-1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (-1, 1, -1), (1, -0.2, -1), (1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, -1, 1)], [(-1, 1, -1), (1, 1, -1), (1, -1, -1), (-1, -1, 1), (1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, -1, -1), (1, 1, -1)]]	1	['left', 'right', 'left', 'left', 'left', 'left', 'left']	[4.75321300001815, 8.132515900302678, 11.612546400167048, 14.89043499995023, 17.2682799003087, 20.92411160003394, 22.768244999926537]	NA	NA	NA	NA	NA	NA	NA	NA	NA	atn	001	2026-03-10_17h29.25.763	CMT	2023.1.0	59.96584347470974	NA
NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	272.7376884999685	NA	273.27092930022627	[[(1, 1, -1), (1, 1, -1), (1, -1, -1), (1, -1, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -1, -1), (1, 1, -1)], [(1, -0.2, -1), (1, 1, -1), (-1, 1, -1), (-1, 1, -1), (-1, 1, -1), (1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, -0.2, -1)], [(-1, 1, -1), (-1, 1, -1), (1, -1, -1), (1, -1, -1), (1, 1, -1), (-1, 1, -1), (1, 1, -1), (-1, 1, -1), (-1, -1, 1)], [(-1, -1, 1), (1, -0.2, -1), (-1, -1, 1), (1, -0.2, -1), (1, 1, -1), (1, -0.2, -1), (1, 1, -1), (-1, 1, -1), (1, -0.2, -1)], [(1, -0.2, -1), (1, -1, -1), (1, -1, -1), (-1, -1, 1), (-1, -1, 1), (1, -1, -1), (1, -0.2, -1), (1, -1, -1), (1, -1, -1)], [(1, 1, -1), (1, -1, 1), (-1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -1, 1), (1, 1, -1), (1, 1, -1), (1, 1, -1)], [(-1, 1, -1), (1, -0.2, -1), (-1, -1, 1), (-1, -1, 1), (1, -0.2, -1), (1, -1, 1), (-1, 1, -1), (-1, -1, 1), (1, -1, 1)], [(1, -0.2, -1), (1, 1, -1), (-1, 1, -1), (-1, 1, -1), (-1, 1, -1), (1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, -0.2, -1)]]	1	['left', 'left', 'left', 'left', 'left', 'left']	[6.36647820007056, 8.523397000040859, 11.090588700026274, 16.65531689999625, 20.136140800081193, 23.547404400072992]	NA	NA	NA	NA	NA	NA	NA	NA	NA	atn	001	2026-03-10_17h29.25.763	CMT	2023.1.0	59.96584347470974	NA
NA	NA	NA	NA	NA	NA	NA	NA	2	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	297.234249799978	NA	297.76763760019094	[[(1, 1, -1), (-1, -1, 1), (1, -1, -1), (1, -1, -1), (1, 1, -1), (1, -1, -1), (-1, 1, -1), (1, 1, -1), (1, -1, -1)], [(1, -1, 1), (1, -0.2, -1), (-1, 1, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, -0.2, -1)], [(1, 1, -1), (1, 1, -1), (1, 1, -1), (-1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, -1, 1), (1, -1, 1), (-1, -1, 1)], [(1, 1, -1), (1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (-1, 1, -1), (-1, -1, 1), (1, -1, -1), (1, 1, -1)], [(1, 1, -1), (1, -0.2, -1), (-1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, 1, -1)], [(-1, 1, -1), (1, -0.2, -1), (-1, 1, -1), (1, -1, -1), (1, -0.2, -1), (1, -1, -1), (1, -1, -1), (1, -0.2, -1), (1, -0.2, -1)], [(-1, -1, 1), (-1, 1, -1), (1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, 1, -1), (-1, 1, -1), (1, -0.2, -1), (1, -0.2, -1)], [(1, 1, -1), (1, -0.2, -1), (-1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, 1, -1)]]	4	['left', 'right', 'left', 'left', 'right']	[4.246894200332463, 12.250126000028104, 14.250466300174594, 19.719727100338787, 23.533072700258344]	NA	NA	NA	NA	NA	NA	NA	NA	NA	atn	001	2026-03-10_17h29.25.763	CMT	2023.1.0	59.96584347470974	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	321.74743410013616	NA	NA	[[(-1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -1, 1), (1, 1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (1, 1, -1)], [(1, -1, 1), (1, -1, 1), (-1, 1, -1), (1, 0.5, -1), (1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, 1, -1), (1, 1, -1)], [(-1, 1, -1), (1, 0.5, -1), (-1, 1, -1), (1, 0.5, -1), (-1, 1, -1), (-1, -1, 1), (1, -1, -1), (1, -1, -1), (1, 0.5, -1)], [(1, -1, -1), (-1, -1, 1), (1, -1, -1), (1, -1, -1), (-1, 1, -1), (1, 0.5, -1), (-1, -1, 1), (1, 0.5, -1), (-1, -1, 1)], [(1, -1, 1), (1, -1, -1), (1, -1, 1), (-1, -1, 1), (1, -1, -1), (1, 0.5, -1), (1, -1, 1), (1, -1, -1), (1, -1, 1)], [(-1, -1, 1), (-1, -1, 1), (1, 0.5, -1), (1, -1, 1), (-1, 1, -1), (1, 0.5, -1), (1, 0.5, -1), (1, 0.5, -1), (1, 1, -1)], [(-1, 1, -1), (1, -1, 1), (1, -1, -1), (1, 1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (1, -1, 1), (1, -1, -1)], [(-1, 1, -1), (1, 0.5, -1), (-1, 1, -1), (1, 0.5, -1), (-1, 1, -1), (-1, -1, 1), (1, -1, -1), (1, -1, -1), (1, 0.5, -1)]]	2	NA	NA	NA	NA	322.26420939993113	['right', 'left', 'left', 'right', 'left', 'left']	[5.487799900118262, 9.046058599837124, 12.029697299934924, 14.745868199970573, 18.242058999836445, 20.65920259989798]	NA	NA	NA	NA	atn	001	2026-03-10_17h29.25.763	CMT	2023.1.0	59.96584347470974	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	NA	NA	346.2274640998803	NA	NA	[[(-1, 1, -1), (-1, 1, -1), (1, -1, -1), (-1, 1, -1), (1, 0.5, -1), (-1, -1, 1), (1, 0.5, -1), (1, 0.5, -1), (1, 0.5, -1)], [(1, 1, -1), (1, -1, -1), (1, -1, -1), (1, 1, -1), (1, 0.5, -1), (1, -1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1)], [(1, -1, 1), (1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, 1, -1), (-1, -1, 1)], [(-1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, 0.5, -1), (1, 1, -1), (1, 0.5, -1), (-1, -1, 1), (1, 0.5, -1), (1, 0.5, -1)], [(1, 0.5, -1), (1, 0.5, -1), (-1, 1, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (-1, -1, 1), (-1, 1, -1)], [(1, -1, 1), (1, -1, -1), (1, -1, 1), (1, 0.5, -1), (1, -1, -1), (-1, -1, 1), (-1, -1, 1), (1, -1, -1), (1, 0.5, -1)], [(1, -1, -1), (1, 0.5, -1), (-1, 1, -1), (1, -1, 1), (1, -1, 1), (1, -1, -1), (1, -1, -1), (-1, 1, -1), (1, -1, 1)], [(1, -1, 1), (1, -1, -1), (1, -1, 1), (1, 0.5, -1), (1, -1, -1), (-1, -1, 1), (-1, -1, 1), (1, -1, -1), (1, 0.5, -1)]]	5	NA	NA	NA	NA	346.7607642998919	['left', 'left', 'right', 'right', 'right']	[5.118856300134212, 11.249807599931955, 17.768847099971026, 21.30870629986748, 23.426790399942547]	NA	NA	NA	NA	atn	001	2026-03-10_17h29.25.763	CMT	2023.1.0	59.96584347470974	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	2	0	NA	NA	NA	NA	370.7574825002812	NA	NA	[[(-1, 1, -1), (1, 0.5, -1), (1, 0.5, -1), (1, 1, -1), (1, 1, -1), (1, 0.5, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1)], [(1, 0.5, -1), (1, -1, -1), (1, -1, 1), (1, 0.5, -1), (1, 0.5, -1), (1, 0.5, -1), (1, -1, -1), (1, -1, -1), (1, -1, 1)], [(-1, 1, -1), (1, 1, -1), (1, -1, -1), (1, 1, -1), (1, -1, 1), (1, -1, -1), (1, -1, 1), (-1, 1, -1), (-1, 1, -1)], [(1, -1, 1), (1, 0.5, -1), (1, 0.5, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, 0.5, -1), (1, 0.5, -1), (1, 1, -1)], [(-1, 1, -1), (-1, -1, 1), (1, -1, 1), (1, -1, -1), (-1, -1, 1), (-1, -1, 1), (-1, 1, -1), (1, -1, -1), (-1, -1, 1)], [(1, 1, -1), (1, -1, 1), (1, -1, 1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (1, 0.5, -1), (1, 0.5, -1), (-1, -1, 1)], [(1, 0.5, -1), (1, -1, -1), (-1, -1, 1), (1, 0.5, -1), (1, 0.5, -1), (1, 0.5, -1), (-1, 1, -1), (-1, -1, 1), (1, 0.5, -1)], [(-1, 1, -1), (-1, -1, 1), (1, -1, 1), (1, -1, -1), (-1, -1, 1), (-1, -1, 1), (-1, 1, -1), (1, -1, -1), (-1, -1, 1)]]	4	NA	NA	NA	NA	371.25742050027475	['right', 'right', 'right', 'left', 'left', 'left', 'right']	[4.711982999928296, 9.338441399857402, 11.063608299940825, 15.068294799886644, 17.34409310016781, 22.18412770004943, 23.228480800054967]	NA	NA	NA	NA	atn	001	2026-03-10_17h29.25.763	CMT	2023.1.0	59.96584347470974	NA
