sequence	training_session.thisRepN	training_session.thisTrialN	training_session.thisN	training_session.thisIndex	training_2n.thisRepN	training_2n.thisTrialN	training_2n.thisN	training_2n.thisIndex	training_3n.thisRepN	training_3n.thisTrialN	training_3n.thisN	training_3n.thisIndex	training_4n.thisRepN	training_4n.thisTrialN	training_4n.thisN	training_4n.thisIndex	allrep_2nback.thisRepN	allrep_2nback.thisTrialN	allrep_2nback.thisN	allrep_2nback.thisIndex	trials_2nback.thisRepN	trials_2nback.thisTrialN	trials_2nback.thisN	trials_2nback.thisIndex	allrep_3nback.thisRepN	allrep_3nback.thisTrialN	allrep_3nback.thisN	allrep_3nback.thisIndex	trials_3nback.thisRepN	trials_3nback.thisTrialN	trials_3nback.thisN	trials_3nback.thisIndex	allrep_4nback.thisRepN	allrep_4nback.thisTrialN	allrep_4nback.thisN	allrep_4nback.thisIndex	trials_4nback.thisRepN	trials_4nback.thisTrialN	trials_4nback.thisN	trials_4nback.thisIndex	buffer02_txt.started	test_griddot_resp2.started	test_griddot_resp2.keys	test_griddot_resp2.rt	buffer23_txt.started	test_griddot_resp3.started	test_griddot_resp3.keys	test_griddot_resp3.rt	buffer34_txt.started	test_griddot_resp4.started	test_griddot_resp4.keys	test_griddot_resp4.rt	confirm_resp.started	confirm_resp.keys	confirm_resp.rt	instr_text_2.started	buffer02_txt.stopped	griddot_resp2.started	griddot_resp2.keys	griddot_resp2.rt	buffer23_txt.stopped	griddot_resp3.started	griddot_resp3.keys	griddot_resp3.rt	buffer34_txt.stopped	griddot_resp4.started	griddot_resp4.keys	griddot_resp4.rt	participant	session	date	expName	psychopyVersion	frameRate	...76
[(1, 0), (0, 2), (1, 0), (0, 2), (1, 1), (1, 0), (1, 1), (2, 1)]	0	0	0	0	0	0	0	103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1652.0930288000964	1656.2262615999207	['right', 'left']	[5.71763650001958, 11.459097200073302]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sev	001	2026-03-06_10h50.04.390	SS	2023.1.0	60.02242432487709	NA
[(0, 0), (2, 0), (1, 2), (2, 1), (1, 2), (2, 2), (1, 2), (1, 0)]	0	0	0	0	0	1	1	454	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1673.1574625000358	['right', 'left', 'left', 'right', 'right']	[4.79068520013243, 5.577872700057924, 8.355138400103897, 9.002283399924636, 10.742306900210679]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sev	001	2026-03-06_10h50.04.390	SS	2023.1.0	60.02242432487709	NA
[(1, 0), (1, 2), (2, 2), (2, 0), (1, 2), (2, 0), (0, 2), (2, 0)]	0	0	0	0	0	2	2	492	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1690.1544026997872	['left', 'left', 'right', 'right', 'right']	[5.461783500388265, 7.065951500553638, 9.39419380063191, 11.797703900374472, 13.371844100300223]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sev	001	2026-03-06_10h50.04.390	SS	2023.1.0	60.02242432487709	NA
[(2, 0), (1, 2), (2, 0), (1, 2), (1, 2), (0, 0), (2, 1), (1, 2), (1, 2)]	0	0	0	0	NA	NA	NA	NA	0	0	0	479	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1707.085416099988	1711.151495500002	['right', 'left', 'right', 'right']	[7.505120600108057, 11.288329700473696, 14.155896100215614, 14.959935000166297]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sev	001	2026-03-06_10h50.04.390	SS	2023.1.0	60.02242432487709	NA
[(1, 1), (2, 0), (1, 0), (1, 1), (0, 2), (2, 1), (1, 1), (1, 0), (0, 1)]	0	0	0	0	NA	NA	NA	NA	0	1	1	531	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1730.1360319997184	['left', 'left', 'left', 'right', 'left', 'right']	[7.436188000254333, 9.498268800321966, 11.36252470035106, 13.751808000262827, 15.851357400417328, 17.22051710030064]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sev	001	2026-03-06_10h50.04.390	SS	2023.1.0	60.02242432487709	NA
[(0, 2), (1, 0), (1, 1), (2, 0), (2, 1), (0, 0), (1, 1), (2, 1), (0, 0)]	0	0	0	0	NA	NA	NA	NA	0	2	2	504	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1749.1464094999246	['left', 'left', 'left', 'right', 'left', 'right']	[7.086394100449979, 10.013972700573504, 11.5300797005184, 12.882247100584209, 15.411461700219661, 17.50389920035377]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sev	001	2026-03-06_10h50.04.390	SS	2023.1.0	60.02242432487709	NA
[(1, 0), (1, 0), (0, 0), (1, 2), (2, 0), (2, 2), (0, 0), (1, 2), (0, 1), (1, 2)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1768.0936253000982	1772.1462559998035	['left', 'left', 'left', 'right', 'left', 'left']	[9.044311000499874, 11.59013620018959, 13.403765600174665, 15.053080700337887, 16.875631600618362, 19.019765900447965]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sev	001	2026-03-06_10h50.04.390	SS	2023.1.0	60.02242432487709	NA
[(2, 0), (2, 0), (1, 1), (1, 1), (0, 1), (2, 0), (0, 1), (1, 1), (0, 0), (1, 1)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	392	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1793.144691299647	['left', 'left', 'right', 'right', 'left', 'left']	[9.283465900458395, 13.231818300206214, 13.742322300095111, 15.476502600125968, 17.310728100128472, 19.503184400498867]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sev	001	2026-03-06_10h50.04.390	SS	2023.1.0	60.02242432487709	NA
[(2, 1), (0, 0), (1, 2), (1, 1), (2, 1), (1, 2), (1, 2), (2, 1), (1, 0), (2, 2)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	2	2	77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1814.1411146996545	['right', 'right', 'left', 'left', 'right', 'right']	[8.960795599967241, 11.133451499976218, 13.21565579995513, 15.911048100329936, 16.73792740004137, 19.22552360035479]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sev	001	2026-03-06_10h50.04.390	SS	2023.1.0	60.02242432487709	NA
NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1834.0839885999449	y	12.472712100483475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sev	001	2026-03-06_10h50.04.390	SS	2023.1.0	60.02242432487709	NA
