training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	arsal_train.thisRepN	arsal_train.thisTrialN	arsal_train.thisN	arsal_train.thisIndex	arsal_s2.thisRepN	arsal_s2.thisTrialN	arsal_s2.thisN	arsal_s2.thisIndex	arsal_s3.thisRepN	arsal_s3.thisTrialN	arsal_s3.thisN	arsal_s3.thisIndex	arsal_s4.thisRepN	arsal_s4.thisTrialN	arsal_s4.thisN	arsal_s4.thisIndex	blank.started	matrix_resp.started	sequence	repeat_idx	matrix_resp.keys	matrix_resp.rt	trainconf.keys	trainconf.rt	blank.stopped	matrix_resp_2.started	matrix_resp_2.keys	matrix_resp_2.rt	matrix_resp_3.started	matrix_resp_3.keys	matrix_resp_3.rt	byebye_text.started	participant	session	date	expName	psychopyVersion	frameRate	...43
0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	146.23493660008535	146.78471340006217	[[(1, -1, -1), (-1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (-1, 1, -1), (-1, 1, -1), (1, 1, -1)], [(-1, -1, 1), (1, -1, -1), (1, -1, -1), (-1, 1, -1), (1, -1, 1), (-1, -1, 1), (1, -1, -1), (1, -1, 1), (1, -1, -1)], [(1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, 1, -1), (1, -1, 1), (1, 1, -1), (1, -1, 1), (-1, 1, -1), (-1, 1, -1)], [(-1, -1, 1), (1, -0.2, -1), (-1, 1, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -0.2, -1), (1, -1, 1), (1, -0.2, -1)], [(-1, -1, 1), (1, -1, 1), (1, 1, -1), (-1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, -1, 1), (1, 1, -1), (-1, -1, 1)], [(1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -0.2, -1), (-1, 1, -1), (-1, -1, 1), (1, 1, -1), (-1, 1, -1), (-1, -1, 1)], [(1, -0.2, -1), (-1, 1, -1), (-1, -1, 1), (-1, 1, -1), (1, -0.2, -1), (1, 1, -1), (1, -0.2, -1), (-1, 1, -1), (1, 1, -1)], [(1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, 1, -1), (1, -1, 1), (1, 1, -1), (1, -1, 1), (-1, 1, -1), (-1, 1, -1)]]	2	['left', 'left', 'right', 'left', 'right', 'left']	[4.64997459994629, 10.025091299787164, 14.306879799813032, 18.49856049986556, 19.64866130007431, 22.331575599964708]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sev	001	2026-03-06_11h13.22.936	CMT	2023.1.0	60.067888727309	NA
0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170.73144009988755	NA	NA	NA	NA	NA	['n']	[5.19280289998278]	NA	NA	NA	NA	NA	NA	NA	NA	sev	001	2026-03-06_11h13.22.936	CMT	2023.1.0	60.067888727309	NA
1	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	176.44737619999796	176.98065900010988	[[(-1, 1, -1), (1, -1, -1), (1, -1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, -1), (1, -1, -1), (-1, -1, 1)], [(1, -1, -1), (1, -0.2, -1), (-1, 1, -1), (-1, -1, 1), (1, -1, -1), (-1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (-1, 1, -1)], [(-1, 1, -1), (1, 1, -1), (1, -1, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (-1, 1, -1), (1, 1, -1), (-1, 1, -1)], [(-1, -1, 1), (1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, 1, -1), (-1, -1, 1), (-1, 1, -1), (1, 1, -1), (-1, -1, 1)], [(1, 1, -1), (1, 1, -1), (1, -1, 1), (1, 1, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, 1, -1)], [(-1, -1, 1), (1, -1, 1), (-1, -1, 1), (-1, 1, -1), (1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1)], [(1, -0.2, -1), (-1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -0.2, -1), (-1, 1, -1), (-1, 1, -1), (-1, 1, -1), (-1, 1, -1)], [(1, 1, -1), (1, 1, -1), (1, -1, 1), (1, 1, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, 1, -1)]]	4	['right', 'left', 'left', 'left', 'right', 'left', 'left']	[4.554168899543583, 7.643296599388123, 10.942877799738199, 14.213984199799597, 17.048691699746996, 19.686910499818623, 22.572849999647588]	NA	NA	176.98065900010988	NA	NA	NA	NA	NA	NA	NA	sev	001	2026-03-06_11h13.22.936	CMT	2023.1.0	60.067888727309	NA
1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	200.97744290018457	NA	NA	NA	NA	NA	['y']	[2.6461820998229086]	NA	NA	NA	NA	NA	NA	NA	NA	sev	001	2026-03-06_11h13.22.936	CMT	2023.1.0	60.067888727309	NA
NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	217.6585261002183	218.19159380020577	[[(1, -1, 1), (1, -1, 1), (-1, 1, -1), (1, -1, -1), (1, -1, 1), (1, -1, 1), (1, -1, -1), (-1, 1, -1), (1, -1, -1)], [(1, -1, -1), (1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, -1, 1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (-1, 1, -1)], [(1, -1, -1), (1, -0.2, -1), (-1, 1, -1), (-1, 1, -1), (-1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -0.2, -1), (1, -0.2, -1)], [(1, -0.2, -1), (1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (-1, -1, 1), (-1, 1, -1), (-1, 1, -1)], [(1, -0.2, -1), (-1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, 1, -1), (1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, -0.2, -1)], [(-1, 1, -1), (-1, -1, 1), (1, -1, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, -1), (-1, -1, 1), (-1, -1, 1)], [(1, -1, -1), (1, -1, -1), (1, -1, -1), (1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, -1, -1), (-1, 1, -1), (-1, 1, -1)], [(1, -0.2, -1), (1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (-1, -1, 1), (-1, 1, -1), (-1, 1, -1)]]	3	['left', 'left', 'left', 'right', 'left', 'right', 'left']	[5.033864500001073, 7.39135509962216, 10.24199269991368, 14.26533109974116, 16.098610599990934, 19.349860799964517, 22.520887999795377]	NA	NA	218.19159380020577	NA	NA	NA	NA	NA	NA	NA	sev	001	2026-03-06_11h13.22.936	CMT	2023.1.0	60.067888727309	NA
NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	242.17149200011045	242.70498930010945	[[(-1, 1, -1), (1, 1, -1), (1, -1, 1), (1, -1, 1), (1, 1, -1), (1, -1, 1), (-1, -1, 1), (-1, 1, -1), (1, -1, 1)], [(-1, -1, 1), (1, -1, -1), (1, 1, -1), (1, 1, -1), (1, -1, -1), (1, 1, -1), (-1, -1, 1), (-1, 1, -1), (1, -1, -1)], [(1, -1, 1), (1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, 1), (1, -0.2, -1), (-1, -1, 1), (-1, 1, -1)], [(1, -1, 1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, -1, -1), (1, -1, 1)], [(-1, -1, 1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1)], [(-1, -1, 1), (1, -0.2, -1), (1, 1, -1), (-1, -1, 1), (1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, -0.2, -1), (1, -0.2, -1)], [(1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -1, 1), (1, -1, 1), (-1, 1, -1), (-1, -1, 1), (-1, 1, -1), (-1, 1, -1)], [(1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -1, 1), (1, -1, 1), (-1, 1, -1), (-1, -1, 1), (-1, 1, -1), (-1, 1, -1)]]	6	['left', 'left', 'left', 'left', 'left', 'left']	[5.116586299613118, 7.981068199966103, 10.54023989988491, 14.019481000024825, 16.542829299811274, 20.171836799941957]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sev	001	2026-03-06_11h13.22.936	CMT	2023.1.0	60.067888727309	NA
NA	NA	NA	NA	NA	NA	NA	NA	2	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	266.68483560020104	267.2014160002582	[[(1, -1, 1), (-1, -1, 1), (-1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -0.2, -1), (-1, 1, -1), (-1, 1, -1)], [(-1, -1, 1), (1, -1, -1), (1, -1, -1), (1, 1, -1), (-1, -1, 1), (-1, 1, -1), (1, -1, -1), (1, -1, -1), (1, 1, -1)], [(1, 1, -1), (1, -1, -1), (1, -1, -1), (-1, 1, -1), (1, -1, -1), (1, 1, -1), (1, -1, -1), (1, -1, -1), (1, 1, -1)], [(1, -1, -1), (1, -1, -1), (-1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, -1, -1), (1, 1, -1), (1, 1, -1), (1, -1, -1)], [(-1, -1, 1), (1, -1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, -1)], [(1, 1, -1), (1, -1, 1), (1, -1, 1), (1, 1, -1), (-1, -1, 1), (1, 1, -1), (1, 1, -1), (1, -1, 1), (-1, -1, 1)], [(1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, -1, 1), (-1, 1, -1), (1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, -1, 1)], [(-1, -1, 1), (1, -1, -1), (1, -1, -1), (1, 1, -1), (-1, -1, 1), (-1, 1, -1), (1, -1, -1), (1, -1, -1), (1, 1, -1)]]	1	['left', 'right', 'left', 'left', 'left', 'left']	[4.078997800126672, 7.702864199876785, 11.327171899843961, 13.583370300009847, 16.906600799877197, 20.667887500021607]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sev	001	2026-03-06_11h13.22.936	CMT	2023.1.0	60.067888727309	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	291.1814373000525	NA	[[(1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, -1, -1), (1, -1, -1), (-1, -1, 1), (1, 1, -1), (1, -1, -1), (1, 1, -1)], [(1, -1, -1), (-1, 1, -1), (1, 1, -1), (1, 0.5, -1), (1, 0.5, -1), (1, -1, -1), (1, -1, -1), (1, 0.5, -1), (1, 1, -1)], [(-1, -1, 1), (-1, 1, -1), (1, -1, -1), (-1, 1, -1), (1, 1, -1), (-1, 1, -1), (1, 1, -1), (-1, -1, 1), (-1, -1, 1)], [(1, 0.5, -1), (1, 0.5, -1), (1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, 0.5, -1), (1, 0.5, -1), (-1, 1, -1), (-1, -1, 1)], [(1, 0.5, -1), (-1, 1, -1), (-1, -1, 1), (1, 1, -1), (1, 0.5, -1), (-1, -1, 1), (1, 0.5, -1), (1, 1, -1), (1, 1, -1)], [(-1, -1, 1), (1, 0.5, -1), (1, -1, 1), (-1, -1, 1), (1, 0.5, -1), (1, -1, -1), (1, -1, 1), (-1, 1, -1), (1, 0.5, -1)], [(1, -1, -1), (1, -1, -1), (1, 0.5, -1), (1, -1, 1), (-1, 1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, 1), (-1, 1, -1)], [(1, 0.5, -1), (1, 0.5, -1), (1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, 0.5, -1), (1, 0.5, -1), (-1, 1, -1), (-1, -1, 1)]]	3	NA	NA	NA	NA	NA	291.69803220033646	['right', 'right', 'right', 'left', 'right', 'left', 'left', 'left']	[1.2814964996650815, 5.75889019947499, 8.42923259967938, 11.024365599732846, 13.481656599789858, 17.715713299810886, 19.592875799629837, 22.797100299503654]	NA	NA	NA	NA	sev	001	2026-03-06_11h13.22.936	CMT	2023.1.0	60.067888727309	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	NA	NA	315.67799360025674	NA	[[(-1, -1, 1), (1, 1, -1), (-1, -1, 1), (1, 0.5, -1), (1, -1, -1), (1, 1, -1), (-1, 1, -1), (1, 0.5, -1), (1, -1, -1)], [(1, 1, -1), (1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, 1, -1), (1, 0.5, -1), (1, -1, 1), (1, 1, -1), (1, -1, 1)], [(1, -1, 1), (1, 1, -1), (1, 1, -1), (1, -1, -1), (1, 1, -1), (1, -1, -1), (1, 1, -1), (1, -1, 1), (-1, -1, 1)], [(1, 1, -1), (1, 0.5, -1), (1, -1, -1), (1, 1, -1), (1, -1, -1), (1, 0.5, -1), (-1, -1, 1), (1, -1, -1), (1, 1, -1)], [(1, -1, -1), (1, -1, -1), (-1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, 1, -1), (1, -1, 1), (-1, -1, 1), (1, -1, 1)], [(-1, 1, -1), (1, 1, -1), (1, -1, 1), (1, -1, -1), (1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, -1, 1), (-1, 1, -1)], [(1, 1, -1), (1, 1, -1), (1, 0.5, -1), (-1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, 0.5, -1), (-1, 1, -1), (1, 1, -1)], [(1, -1, 1), (1, 1, -1), (1, 1, -1), (1, -1, -1), (1, 1, -1), (1, -1, -1), (1, 1, -1), (1, -1, 1), (-1, -1, 1)]]	2	NA	NA	NA	NA	NA	316.19475750019774	['left', 'right', 'left', 'left', 'right', 'left', 'left']	[4.027470499742776, 7.936131099704653, 10.30233919993043, 15.100718999747187, 16.20560779981315, 19.28903440013528, 22.64005760010332]	NA	NA	NA	NA	sev	001	2026-03-06_11h13.22.936	CMT	2023.1.0	60.067888727309	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	2	0	NA	NA	NA	NA	340.1748791001737	NA	[[(1, -1, -1), (1, 1, -1), (1, 1, -1), (1, -1, -1), (-1, 1, -1), (1, 1, -1), (1, 1, -1), (1, 0.5, -1), (1, 1, -1)], [(1, 0.5, -1), (1, 0.5, -1), (1, -1, -1), (-1, 1, -1), (-1, 1, -1), (-1, -1, 1), (1, 0.5, -1), (-1, 1, -1), (1, -1, 1)], [(1, -1, -1), (1, 1, -1), (1, 0.5, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (1, 1, -1), (1, 0.5, -1), (1, 0.5, -1)], [(-1, -1, 1), (-1, -1, 1), (1, 0.5, -1), (1, -1, 1), (1, 1, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (-1, 1, -1)], [(-1, 1, -1), (-1, 1, -1), (1, 1, -1), (-1, 1, -1), (1, -1, 1), (1, -1, -1), (1, -1, -1), (1, -1, 1), (1, -1, 1)], [(1, 0.5, -1), (1, 0.5, -1), (-1, -1, 1), (1, -1, 1), (-1, -1, 1), (-1, -1, 1), (1, -1, -1), (1, -1, -1), (1, 0.5, -1)], [(1, 0.5, -1), (1, 0.5, -1), (-1, -1, 1), (-1, 1, -1), (1, 1, -1), (-1, 1, -1), (-1, 1, -1), (-1, -1, 1), (1, 0.5, -1)], [(1, 0.5, -1), (1, 0.5, -1), (1, -1, -1), (-1, 1, -1), (-1, 1, -1), (-1, -1, 1), (1, 0.5, -1), (-1, 1, -1), (1, -1, 1)]]	1	NA	NA	NA	NA	NA	340.70800610026345	['right', 'left', 'left', 'right', 'right', 'left', 'left']	[4.40067629981786, 7.607320899609476, 10.374752799980342, 13.70919999992475, 16.702384499832988, 18.990629199892282, 22.70331159979105]	NA	NA	NA	NA	sev	001	2026-03-06_11h13.22.936	CMT	2023.1.0	60.067888727309	NA
