clr1p1	clr2p1	clr3p1	clr4p1	clr1p2	clr2p2	clr3p2	clr4p2	Hshow	Htest	stim_var	blank_clr	difficulty	answ	l_test	r_test	realclr2	realclr3	realclr	training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	CC_resp_2.keys	CC_resp_2.corr	CC_resp_2.rt	CC_resp.keys	CC_resp.corr	CC_resp.rt	participant	session	date	expName	psychopyVersion	frameRate
#FB8C00	#E65100	#FFF3E0	#FFB74D	#FDD835	#000000	#FFFDE7	#FFF176	orange	yellow	l_rand1	clr2	high	left	#F57F17	#F9A825	#F57F17	#FFFDE7	#F57F17	0	0	0	23	NA	NA	NA	NA	right	0	1.1551053998991847	NA	NA	NA	pme	1	2026-02-17_14h49.36.401	MCT	2023.1.0	60.04134451904317
#E8F5E9	#81C784	#43A047	#1B5E20	#FFEBEE	#000000	#E53935	#B71C1C	green	red	l_down	clr2	high	right	#EF9A9A	#E57373	#E57373	#E53935	#E57373	0	1	1	5	NA	NA	NA	NA	right	1	1.0555071998387575	NA	NA	NA	pme	1	2026-02-17_14h49.36.401	MCT	2023.1.0	60.04134451904317
#006064	#00ACC1	#4DD0E1	#E0F7FA	#01579B	#039BE5	#000000	#E1F5FE	cyan	l_blue	l_up	clr3	high	right	#81D4FA	#4FC3F7	#039BE5	#4FC3F7	#4FC3F7	0	2	2	72	NA	NA	NA	NA	left	0	1.2097448999993503	NA	NA	NA	pme	1	2026-02-17_14h49.36.401	MCT	2023.1.0	60.04134451904317
#1A237E	#E8EAF6	#3949AB	#7986CB	#01579B	#E1F5FE	#000000	#4FC3F7	indigo	l_blue	l_rand2	clr3	high	right	#03A9F4	#039BE5	#E1F5FE	#039BE5	#039BE5	0	3	3	51	NA	NA	NA	NA	right	1	0.8662550000008196	NA	NA	NA	pme	1	2026-02-17_14h49.36.401	MCT	2023.1.0	60.04134451904317
#8E24AA	#4A148C	#F3E5F5	#BA68C8	#5E35B1	#000000	#EDE7F6	#9575CD	purple	d_purple	l_rand1	clr2	high	left	#311B92	#4527A0	#311B92	#EDE7F6	NA	NA	NA	NA	NA	0	0	0	20	NA	NA	NA	right	0	0.8965678999666125	pme	1	2026-02-17_14h49.36.401	MCT	2023.1.0	60.04134451904317
#E0F7FA	#4DD0E1	#00ACC1	#006064	#EFEBE9	#A1887F	#000000	#3E2723	cyan	brown	l_down	clr3	low	right	#8D6E63	#6D4C41	#A1887F	#6D4C41	NA	NA	NA	NA	NA	0	1	1	18	NA	NA	NA	right	1	0.6161147998645902	pme	1	2026-02-17_14h49.36.401	MCT	2023.1.0	60.04134451904317
#6D4C41	#3E2723	#EFEBE9	#A1887F	#00ACC1	#000000	#E0F7FA	#4DD0E1	brown	cyan	l_rand1	clr2	low	right	#0097A7	#006064	#006064	#E0F7FA	NA	NA	NA	NA	NA	0	2	2	29	NA	NA	NA	right	1	0.6729940997902304	pme	1	2026-02-17_14h49.36.401	MCT	2023.1.0	60.04134451904317
#039BE5	#01579B	#E1F5FE	#4FC3F7	#D81B60	#000000	#FCE4EC	#F06292	l_blue	pink	l_rand1	clr2	high	left	#880E4F	#AD1457	#880E4F	#FCE4EC	NA	NA	NA	NA	NA	0	3	3	21	NA	NA	NA	left	1	0.8798197000287473	pme	1	2026-02-17_14h49.36.401	MCT	2023.1.0	60.04134451904317
#B71C1C	#FFEBEE	#E53935	#E57373	#1A237E	#E8EAF6	#000000	#7986CB	red	indigo	l_rand2	clr3	high	right	#303F9F	#3949AB	#E8EAF6	#3949AB	NA	NA	NA	NA	NA	0	4	4	50	NA	NA	NA	right	1	0.9239694999996572	pme	1	2026-02-17_14h49.36.401	MCT	2023.1.0	60.04134451904317
#827717	#C0CA33	#DCE775	#F9FBE7	#004D40	#000000	#4DB6AC	#E0F2F1	lime	teal	l_up	clr2	high	right	#009688	#00897B	#00897B	#4DB6AC	NA	NA	NA	NA	NA	0	5	5	63	NA	NA	NA	left	0	1.0171085998881608	pme	1	2026-02-17_14h49.36.401	MCT	2023.1.0	60.04134451904317
#B71C1C	#E53935	#E57373	#FFEBEE	#004D40	#000000	#4DB6AC	#E0F2F1	red	lime	l_up	clr2	low	left	#00897B	#00695C	#00897B	#4DB6AC	NA	NA	NA	NA	NA	0	6	6	66	NA	NA	NA	left	1	1.1181672997772694	pme	1	2026-02-17_14h49.36.401	MCT	2023.1.0	60.04134451904317
#00ACC1	#006064	#E0F7FA	#4DD0E1	#43A047	#1B5E20	#000000	#81C784	cyan	green	l_rand1	clr3	low	left	#E8F5E9	#A5D6A7	#1B5E20	#E8F5E9	NA	NA	NA	NA	NA	0	7	7	36	NA	NA	NA	left	1	0.6543352997396141	pme	1	2026-02-17_14h49.36.401	MCT	2023.1.0	60.04134451904317
#FFB300	#FF6F00	#FFF8E1	#FFD54F	#039BE5	#01579B	#000000	#4FC3F7	amber	l_blue	l_rand1	clr3	high	right	#B3E5FC	#E1F5FE	#01579B	#E1F5FE	NA	NA	NA	NA	NA	0	8	8	34	NA	NA	NA	right	1	0.7581951997708529	pme	1	2026-02-17_14h49.36.401	MCT	2023.1.0	60.04134451904317
