training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	arsal_train.thisRepN	arsal_train.thisTrialN	arsal_train.thisN	arsal_train.thisIndex	arsal_s2.thisRepN	arsal_s2.thisTrialN	arsal_s2.thisN	arsal_s2.thisIndex	arsal_s3.thisRepN	arsal_s3.thisTrialN	arsal_s3.thisN	arsal_s3.thisIndex	arsal_s4.thisRepN	arsal_s4.thisTrialN	arsal_s4.thisN	arsal_s4.thisIndex	blank.started	blank.stopped	matrix_resp.started	sequence	repeat_idx	matrix_resp.keys	matrix_resp.rt	trainconf.keys	trainconf.rt	matrix_resp_2.started	matrix_resp_2.keys	matrix_resp_2.rt	matrix_resp_3.started	matrix_resp_3.keys	matrix_resp_3.rt	byebye_text.started	participant	session	date	expName	psychopyVersion	frameRate	...43
0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	94.48654249985702	95.05307030002588	95.05307030002588	[[(1, -1, 1), (-1, 1, -1), (1, -0.2, -1), (-1, 1, -1), (1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (-1, 1, -1), (1, -1, 1)], [(1, -0.2, -1), (1, -0.2, -1), (1, -1, -1), (1, -0.2, -1), (-1, -1, 1), (-1, -1, 1), (1, -0.2, -1), (-1, 1, -1), (1, -0.2, -1)], [(1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, -1, 1), (1, 1, -1), (-1, 1, -1), (-1, -1, 1), (1, -1, 1), (1, -1, 1)], [(-1, 1, -1), (1, -1, 1), (1, 1, -1), (1, -1, 1), (-1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, 1, -1), (1, -1, 1)], [(1, 1, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -1, 1), (1, 1, -1), (-1, -1, 1), (1, 1, -1), (1, 1, -1)], [(1, -1, -1), (1, 1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (1, -1, -1), (1, 1, -1), (1, -1, -1), (1, -1, -1)], [(-1, -1, 1), (1, -0.2, -1), (-1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (-1, -1, 1), (1, 1, -1), (1, -0.2, -1), (-1, 1, -1)], [(1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, -1, 1), (1, 1, -1), (-1, 1, -1), (-1, -1, 1), (1, -1, 1), (1, -1, 1)]]	2	['left', 'left', 'left', 'left', 'left', 'left']	[4.66673000017181, 7.671205200254917, 11.271522500086576, 16.16484700026922, 19.72311340016313, 23.882492400240153]	NA	NA	NA	NA	NA	NA	NA	NA	NA	pme	001	2026-02-17_14h35.54.526	CMT	2023.1.0	59.989261910189754	NA
0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	119.01644529984333	NA	NA	NA	NA	NA	NA	['n']	[4.279409100068733]	NA	NA	NA	NA	NA	NA	NA	pme	001	2026-02-17_14h35.54.526	CMT	2023.1.0	59.989261910189754	NA
1	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	123.799100499833	124.3324120999314	124.3324120999314	[[(1, -1, 1), (1, -1, 1), (-1, 1, -1), (1, -0.2, -1), (1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, 1), (1, -0.2, -1)], [(-1, 1, -1), (1, -1, 1), (-1, -1, 1), (1, -0.2, -1), (-1, 1, -1), (1, -1, 1), (-1, 1, -1), (-1, 1, -1), (1, -0.2, -1)], [(1, -0.2, -1), (1, -1, -1), (-1, 1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -0.2, -1)], [(1, -0.2, -1), (1, -1, -1), (1, -1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, -1), (-1, -1, 1)], [(1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (-1, -1, 1), (-1, 1, -1), (1, -0.2, -1)], [(-1, -1, 1), (1, -1, -1), (1, -1, -1), (-1, 1, -1), (1, -1, -1), (-1, 1, -1), (-1, 1, -1), (-1, 1, -1), (1, -0.2, -1)], [(1, -1, 1), (1, -1, 1), (1, -1, 1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -1, 1), (-1, -1, 1), (1, 1, -1)], [(1, -0.2, -1), (1, -1, -1), (-1, 1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -0.2, -1)]]	2	['right', 'left', 'right', 'left', 'left', 'left', 'left']	[5.348274700110778, 9.042707400163636, 10.258830100065097, 14.038232400082052, 16.381419100100175, 20.35274070012383, 23.064941700082272]	NA	NA	NA	NA	NA	NA	NA	NA	NA	pme	001	2026-02-17_14h35.54.526	CMT	2023.1.0	59.989261910189754	NA
1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	148.3289453999605	NA	NA	NA	NA	NA	NA	['y']	[42.057486300123855]	NA	NA	NA	NA	NA	NA	NA	pme	001	2026-02-17_14h35.54.526	CMT	2023.1.0	59.989261910189754	NA
NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	207.8874037999194	208.42061889986508	208.42061889986508	[[(1, -1, -1), (1, -0.2, -1), (1, -1, -1), (1, -0.2, -1), (-1, 1, -1), (1, -1, -1), (-1, 1, -1), (1, -0.2, -1), (-1, 1, -1)], [(1, 1, -1), (-1, 1, -1), (1, -1, -1), (1, -1, -1), (-1, 1, -1), (-1, -1, 1), (1, -1, -1), (1, -1, -1), (1, 1, -1)], [(-1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, 1), (1, -0.2, -1), (-1, 1, -1), (-1, -1, 1), (-1, -1, 1), (1, -1, 1)], [(-1, 1, -1), (1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, -1, 1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (-1, 1, -1)], [(1, -0.2, -1), (1, 1, -1), (-1, 1, -1), (1, -0.2, -1), (1, 1, -1), (-1, 1, -1), (1, 1, -1), (-1, 1, -1), (1, -0.2, -1)], [(1, -0.2, -1), (-1, 1, -1), (1, -0.2, -1), (1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, -0.2, -1), (-1, -1, 1), (1, -0.2, -1)], [(-1, -1, 1), (1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, 1, -1), (1, 1, -1), (1, -0.2, -1), (-1, -1, 1), (1, 1, -1)], [(-1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, 1), (1, -0.2, -1), (-1, 1, -1), (-1, -1, 1), (-1, -1, 1), (1, -1, 1)]]	2	['left', 'left', 'left', 'right', 'left', 'left', 'left']	[5.670658100163564, 7.907946000108495, 10.723048400133848, 14.588610700098798, 16.77749430015683, 19.46171970013529, 22.50483290012926]	NA	NA	NA	NA	NA	NA	NA	NA	NA	pme	001	2026-02-17_14h35.54.526	CMT	2023.1.0	59.989261910189754	NA
NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	232.41717639984563	NA	232.93401269987223	[[(-1, 1, -1), (1, -0.2, -1), (1, -1, 1), (-1, 1, -1), (1, -0.2, -1), (-1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, 1)], [(1, -0.2, -1), (1, -0.2, -1), (1, -1, 1), (1, -0.2, -1), (1, -1, 1), (1, -0.2, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1)], [(-1, 1, -1), (1, -1, -1), (1, -1, -1), (-1, 1, -1), (-1, 1, -1), (-1, -1, 1), (1, -1, -1), (1, -1, -1), (1, -1, -1)], [(-1, 1, -1), (-1, -1, 1), (1, 1, -1), (1, -0.2, -1), (-1, -1, 1), (-1, -1, 1), (1, 1, -1), (1, 1, -1), (-1, -1, 1)], [(1, -1, -1), (-1, 1, -1), (1, -1, -1), (-1, 1, -1), (1, -1, 1), (1, -1, 1), (1, -1, -1), (1, -1, 1), (-1, -1, 1)], [(1, -0.2, -1), (-1, 1, -1), (-1, 1, -1), (1, -0.2, -1), (-1, 1, -1), (1, -0.2, -1), (1, 1, -1), (-1, -1, 1), (1, 1, -1)], [(1, -0.2, -1), (1, -1, 1), (1, -0.2, -1), (1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, 1), (-1, 1, -1), (1, -0.2, -1)], [(-1, 1, -1), (-1, -1, 1), (1, 1, -1), (1, -0.2, -1), (-1, -1, 1), (-1, -1, 1), (1, 1, -1), (1, 1, -1), (-1, -1, 1)]]	3	['right', 'left', 'left', 'left', 'left', 'left', 'left']	[3.880987900076434, 7.926469699945301, 10.441669200081378, 14.257949799997732, 16.51816750015132, 20.680818800115958, 23.493037400068715]	NA	NA	NA	NA	NA	NA	NA	NA	NA	pme	001	2026-02-17_14h35.54.526	CMT	2023.1.0	59.989261910189754	NA
NA	NA	NA	NA	NA	NA	NA	NA	2	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	256.89720709994435	NA	257.43027390004136	[[(1, 1, -1), (1, -0.2, -1), (1, 1, -1), (1, -0.2, -1), (-1, 1, -1), (1, 1, -1), (-1, -1, 1), (-1, 1, -1), (1, -0.2, -1)], [(-1, -1, 1), (1, -1, -1), (-1, -1, 1), (1, 1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (1, 1, -1), (1, -1, -1)], [(1, -1, -1), (-1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -1, 1), (1, -1, 1), (1, -1, -1), (1, -1, 1), (-1, 1, -1)], [(1, -1, -1), (1, -1, -1), (-1, 1, -1), (-1, -1, 1), (-1, -1, 1), (1, -1, -1), (1, -1, -1), (-1, 1, -1), (-1, 1, -1)], [(-1, 1, -1), (1, -1, 1), (-1, 1, -1), (-1, 1, -1), (1, -1, 1), (1, -0.2, -1), (-1, -1, 1), (1, -0.2, -1), (-1, -1, 1)], [(1, -1, -1), (1, -1, -1), (-1, 1, -1), (1, 1, -1), (1, -1, -1), (-1, -1, 1), (1, 1, -1), (1, -1, -1), (1, -1, -1)], [(1, -0.2, -1), (1, -1, 1), (1, -0.2, -1), (-1, 1, -1), (1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, 1), (-1, 1, -1)], [(-1, -1, 1), (1, -1, -1), (-1, -1, 1), (1, 1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (1, 1, -1), (1, -1, -1)]]	1	['right', 'left', 'left', 'left', 'left', 'left', 'left', 'left']	[0.923890600213781, 4.424162200186402, 7.7272159000858665, 10.727359800133854, 13.568447100231424, 16.657662000041455, 19.509547400055453, 22.464832600206137]	NA	NA	NA	NA	NA	NA	NA	NA	NA	pme	001	2026-02-17_14h35.54.526	CMT	2023.1.0	59.989261910189754	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	281.4104995999951	NA	NA	[[(1, 1, -1), (-1, -1, 1), (1, -1, 1), (1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, 0.5, -1), (1, 1, -1), (1, -1, 1)], [(1, -1, -1), (1, -1, 1), (1, -1, -1), (-1, -1, 1), (1, 1, -1), (-1, 1, -1), (1, -1, -1), (1, -1, -1), (1, 1, -1)], [(-1, -1, 1), (1, 0.5, -1), (1, -1, 1), (1, -1, 1), (-1, 1, -1), (-1, 1, -1), (-1, 1, -1), (1, 0.5, -1), (-1, 1, -1)], [(-1, -1, 1), (1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, -1, 1), (1, 0.5, -1), (1, 0.5, -1), (-1, -1, 1), (1, -1, 1)], [(-1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -1, -1), (1, 1, -1), (-1, 1, -1), (1, -1, -1), (1, -1, -1), (1, 1, -1)], [(1, -1, -1), (1, 1, -1), (1, 1, -1), (1, 0.5, -1), (-1, -1, 1), (-1, 1, -1), (1, 0.5, -1), (1, 1, -1), (1, 1, -1)], [(-1, -1, 1), (-1, 1, -1), (1, -1, 1), (-1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -1, 1), (1, 1, -1), (1, 1, -1)], [(1, -1, -1), (1, 1, -1), (1, 1, -1), (1, 0.5, -1), (-1, -1, 1), (-1, 1, -1), (1, 0.5, -1), (1, 1, -1), (1, 1, -1)]]	5	NA	NA	NA	NA	281.9271733998321	['left', 'left', 'left', 'left', 'left', 'left']	[3.9054144001565874, 8.281768400222063, 10.744065700098872, 13.895253700204194, 17.830514300148934, 22.675898700254038]	NA	NA	NA	NA	pme	001	2026-02-17_14h35.54.526	CMT	2023.1.0	59.989261910189754	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	NA	NA	305.8904353999533	NA	NA	[[(1, 0.5, -1), (1, 0.5, -1), (-1, -1, 1), (1, -1, -1), (1, -1, -1), (-1, 1, -1), (-1, 1, -1), (1, 0.5, -1), (1, -1, 1)], [(1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (1, 0.5, -1), (-1, 1, -1), (-1, 1, -1), (-1, 1, -1), (1, -1, -1)], [(-1, -1, 1), (-1, 1, -1), (1, -1, -1), (1, 1, -1), (1, 0.5, -1), (1, -1, -1), (1, 0.5, -1), (1, 0.5, -1), (1, -1, -1)], [(1, 0.5, -1), (1, -1, 1), (1, 0.5, -1), (1, 1, -1), (1, 1, -1), (1, 0.5, -1), (1, -1, 1), (1, 0.5, -1), (1, 1, -1)], [(1, -1, -1), (1, -1, 1), (1, 1, -1), (-1, 1, -1), (1, 1, -1), (-1, 1, -1), (-1, -1, 1), (1, 1, -1), (1, 1, -1)], [(1, 0.5, -1), (-1, 1, -1), (1, 0.5, -1), (-1, -1, 1), (1, 0.5, -1), (-1, -1, 1), (-1, 1, -1), (1, 1, -1), (-1, -1, 1)], [(1, -1, -1), (1, -1, 1), (1, -1, 1), (1, -1, -1), (-1, 1, -1), (1, -1, 1), (1, 0.5, -1), (-1, 1, -1), (1, -1, 1)], [(1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (1, 0.5, -1), (-1, 1, -1), (-1, 1, -1), (-1, 1, -1), (1, -1, -1)]]	1	NA	NA	NA	NA	306.4236894999631	['left', 'right', 'left', 'right', 'left', 'left', 'left']	[4.164780100109056, 8.432329000206664, 11.283574000233784, 14.402884900104254, 17.26916700019501, 19.784945000195876, 22.670143200084567]	NA	NA	NA	NA	pme	001	2026-02-17_14h35.54.526	CMT	2023.1.0	59.989261910189754	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	2	0	NA	NA	NA	NA	330.4037095999811	NA	NA	[[(1, -1, 1), (1, 0.5, -1), (1, -1, 1), (1, 1, -1), (-1, 1, -1), (1, -1, 1), (1, -1, 1), (-1, 1, -1), (-1, -1, 1)], [(1, -1, 1), (1, -1, -1), (1, 1, -1), (1, 1, -1), (1, -1, -1), (1, -1, 1), (1, -1, 1), (1, -1, -1), (1, -1, -1)], [(-1, 1, -1), (1, -1, 1), (1, 0.5, -1), (1, 0.5, -1), (1, 0.5, -1), (1, -1, -1), (1, 0.5, -1), (1, -1, 1), (-1, 1, -1)], [(-1, -1, 1), (1, -1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (1, -1, 1), (1, -1, 1), (1, -1, -1), (1, 1, -1)], [(1, 0.5, -1), (-1, -1, 1), (1, 1, -1), (-1, -1, 1), (1, 0.5, -1), (1, -1, 1), (1, 1, -1), (1, -1, 1), (1, 0.5, -1)], [(1, 0.5, -1), (1, -1, -1), (-1, 1, -1), (1, 0.5, -1), (-1, -1, 1), (-1, 1, -1), (-1, -1, 1), (1, -1, -1), (1, 0.5, -1)], [(-1, 1, -1), (-1, -1, 1), (-1, -1, 1), (1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -1, 1), (1, -1, -1), (1, -1, 1)], [(1, -1, 1), (1, -1, -1), (1, 1, -1), (1, 1, -1), (1, -1, -1), (1, -1, 1), (1, -1, 1), (1, -1, -1), (1, -1, -1)]]	1	NA	NA	NA	NA	330.93703829986043	['right', 'right', 'right', 'left', 'left', 'left', 'right']	[5.03349529998377, 7.68914350005798, 10.731360600097105, 12.881596700055525, 16.504801499890164, 19.455264900112525, 21.993487699888647]	NA	NA	NA	NA	pme	001	2026-02-17_14h35.54.526	CMT	2023.1.0	59.989261910189754	NA
