sequence	training_session.thisRepN	training_session.thisTrialN	training_session.thisN	training_session.thisIndex	training_2n.thisRepN	training_2n.thisTrialN	training_2n.thisN	training_2n.thisIndex	training_3n.thisRepN	training_3n.thisTrialN	training_3n.thisN	training_3n.thisIndex	training_4n.thisRepN	training_4n.thisTrialN	training_4n.thisN	training_4n.thisIndex	allrep_2nback.thisRepN	allrep_2nback.thisTrialN	allrep_2nback.thisN	allrep_2nback.thisIndex	trials_2nback.thisRepN	trials_2nback.thisTrialN	trials_2nback.thisN	trials_2nback.thisIndex	allrep_3nback.thisRepN	allrep_3nback.thisTrialN	allrep_3nback.thisN	allrep_3nback.thisIndex	trials_3nback.thisRepN	trials_3nback.thisTrialN	trials_3nback.thisN	trials_3nback.thisIndex	allrep_4nback.thisRepN	allrep_4nback.thisTrialN	allrep_4nback.thisN	allrep_4nback.thisIndex	trials_4nback.thisRepN	trials_4nback.thisTrialN	trials_4nback.thisN	trials_4nback.thisIndex	buffer02_txt.started	test_griddot_resp2.started	test_griddot_resp2.keys	test_griddot_resp2.rt	buffer23_txt.started	test_griddot_resp3.started	test_griddot_resp3.keys	test_griddot_resp3.rt	buffer34_txt.started	test_griddot_resp4.started	test_griddot_resp4.keys	test_griddot_resp4.rt	confirm_resp.started	confirm_resp.keys	confirm_resp.rt	instr_text_2.started	buffer02_txt.stopped	griddot_resp2.started	griddot_resp2.keys	griddot_resp2.rt	buffer23_txt.stopped	griddot_resp3.started	griddot_resp3.keys	griddot_resp3.rt	buffer34_txt.stopped	griddot_resp4.started	griddot_resp4.keys	griddot_resp4.rt	participant	session	date	expName	psychopyVersion	frameRate	...76
[(0, 0), (0, 0), (0, 0), (0, 2), (0, 2), (0, 1), (1, 2), (0, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	425.48223030008376	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	399.0859668001067	428.54979100008495	429.55294429999776	['right', 'left', 'left', 'left', 'left', 'right']	[5.05450789979659, 6.776601699879393, 9.370094699785113, 10.932230399921536, 12.714359399862587, 14.828538699774072]	NA	NA	NA	NA	NA	NA	NA	NA	pme	001	2026-02-17_14h16.37.585	SS	2023.1.0	60.01694877565282	NA
[(1, 0), (0, 1), (2, 0), (0, 1), (2, 1), (0, 1), (2, 1), (0, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	1	617	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	446.5626519999933	['left', 'right', 'left', 'right', 'right', 'left']	[4.974735899828374, 6.940007299883291, 8.862071099923924, 10.913708599749953, 13.048711799783632, 14.725969099905342]	NA	NA	NA	NA	NA	NA	NA	NA	pme	001	2026-02-17_14h16.37.585	SS	2023.1.0	60.01694877565282	NA
[(2, 0), (2, 0), (2, 1), (2, 0), (2, 1), (1, 2), (0, 2), (1, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	2	2	468	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	463.5470430999994	['left', 'right', 'right', 'left', 'left', 'right']	[4.839991099899635, 6.744191099889576, 8.677918300032616, 10.65211179992184, 12.923361399909481, 14.577857099939138]	NA	NA	NA	NA	NA	NA	NA	NA	pme	001	2026-02-17_14h16.37.585	SS	2023.1.0	60.01694877565282	NA
[(1, 0), (0, 0), (1, 0), (0, 1), (2, 2), (1, 1), (2, 2), (2, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	3	3	242	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	480.5453590000979	['right', 'left', 'left', 'left', 'right', 'left']	[4.6521014999598265, 6.711357399821281, 8.681479199789464, 10.695637099910527, 12.483785099815577, 14.964013599790633]	NA	NA	NA	NA	NA	NA	NA	NA	pme	001	2026-02-17_14h16.37.585	SS	2023.1.0	60.01694877565282	NA
[(1, 2), (2, 0), (1, 2), (1, 2), (1, 1), (1, 2), (0, 2), (2, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	4	4	469	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	497.5427486000117	['right', 'left', 'left', 'right', 'left', 'left']	[4.683364499825984, 6.936602599918842, 8.779700899729505, 10.598746199859306, 12.761116699781269, 14.804262699792162]	NA	NA	NA	NA	NA	NA	NA	NA	pme	001	2026-02-17_14h16.37.585	SS	2023.1.0	60.01694877565282	NA
[(2, 1), (0, 1), (2, 1), (1, 2), (0, 0), (1, 2), (0, 1), (1, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	5	5	70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	514.5391699001193	['right', 'left', 'left', 'right', 'left', 'right']	[4.535771299852058, 6.603932299884036, 8.612191799795255, 10.71833649976179, 12.962006299756467, 14.672105299774557]	NA	NA	NA	NA	NA	NA	NA	NA	pme	001	2026-02-17_14h16.37.585	SS	2023.1.0	60.01694877565282	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pme	001	2026-02-17_14h16.37.585	SS	2023.1.0	60.01694877565282	NA
[(2, 0), (2, 0), (0, 2), (1, 0), (0, 1), (2, 1), (0, 1), (2, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	0	0	180	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	533.5340828001499	['left', 'left', 'left', 'left', 'right', 'right']	[5.0261901000048965, 6.788766499841586, 8.607024499913678, 10.7991990998853, 12.645306299906224, 14.673723499989137]	NA	NA	NA	NA	NA	NA	NA	NA	pme	001	2026-02-17_14h16.37.585	SS	2023.1.0	60.01694877565282	NA
[(0, 1), (2, 1), (0, 1), (0, 1), (2, 0), (0, 1), (0, 1), (0, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	1	1	177	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	550.4979880000465	['right', 'left', 'left', 'right', 'left', 'left']	[4.543182999826968, 6.755342399701476, 9.285575599875301, 10.790747699793428, 12.83285199990496, 15.175273299915716]	NA	NA	NA	NA	NA	NA	NA	NA	pme	001	2026-02-17_14h16.37.585	SS	2023.1.0	60.01694877565282	NA
[(1, 2), (0, 1), (0, 0), (0, 1), (2, 0), (1, 2), (1, 1), (1, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	2	2	584	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	567.5324609000236	['left', 'right', 'left', 'left', 'left', 'right']	[4.905156499706209, 6.87429969990626, 8.620562799740583, 11.39496749988757, 13.150096699828282, 14.75422599981539]	NA	NA	NA	NA	NA	NA	NA	NA	pme	001	2026-02-17_14h16.37.585	SS	2023.1.0	60.01694877565282	NA
[(2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (1, 1), (1, 2), (2, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	3	3	680	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	584.5435900001321	['right', 'right', 'right', 'left', 'left', 'left']	[4.450746899703518, 6.415876699844375, 9.03718369989656, 10.601283199852332, 12.731633499730378, 14.799757599830627]	NA	NA	NA	NA	NA	NA	NA	NA	pme	001	2026-02-17_14h16.37.585	SS	2023.1.0	60.01694877565282	NA
[(0, 2), (2, 0), (0, 2), (2, 2), (0, 2), (2, 1), (1, 1), (1, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	4	4	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	601.5290689000394	['right', 'left', 'right', 'left', 'left', 'right']	[4.687104299897328, 6.54035979998298, 8.500564199872315, 10.58868039981462, 12.646068299887702, 14.726432199822739]	NA	NA	NA	NA	NA	NA	NA	NA	pme	001	2026-02-17_14h16.37.585	SS	2023.1.0	60.01694877565282	NA
[(2, 0), (2, 1), (2, 0), (2, 0), (2, 1), (2, 0), (0, 1), (2, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	5	5	689	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	618.5402920001652	['right', 'left', 'right', 'right', 'left', 'right']	[4.6790968999266624, 6.622885199962184, 9.17548089986667, 10.767751399893314, 12.74202899984084, 15.528164099901915]	NA	NA	NA	NA	NA	NA	NA	NA	pme	001	2026-02-17_14h16.37.585	SS	2023.1.0	60.01694877565282	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pme	001	2026-02-17_14h16.37.585	SS	2023.1.0	60.01694877565282	NA
[(0, 1), (0, 1), (1, 2), (0, 2), (0, 2), (1, 2), (2, 1), (2, 1), (1, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	481	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	636.3363683000207	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	639.4525629000273	640.4190493000206	['left', 'left', 'right', 'left', 'left']	[6.765441899886355, 8.875512899830937, 10.69818349997513, 12.902469099964947, 15.159833499928936]	NA	NA	NA	NA	pme	001	2026-02-17_14h16.37.585	SS	2023.1.0	60.01694877565282	NA
[(1, 1), (0, 1), (2, 1), (1, 2), (2, 1), (2, 1), (1, 1), (2, 1), (1, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	1	58	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	659.4034689001273	['left', 'left', 'right', 'left', 'right', 'right']	[6.647318099858239, 8.8306055997964, 10.567690199706703, 12.899565499741584, 15.492491399869323, 17.10363889974542]	NA	NA	NA	NA	pme	001	2026-02-17_14h16.37.585	SS	2023.1.0	60.01694877565282	NA
[(1, 2), (2, 1), (2, 0), (1, 2), (1, 0), (0, 0), (2, 0), (1, 0), (1, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	2	2	622	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	678.4137303000316	['right', 'left', 'left', 'right', 'right', 'right']	[6.621226500021294, 8.631413399940357, 11.018196599790826, 12.869141799863428, 14.805165499914438, 16.69099419983104]	NA	NA	NA	NA	pme	001	2026-02-17_14h16.37.585	SS	2023.1.0	60.01694877565282	NA
[(2, 0), (2, 2), (2, 2), (0, 1), (2, 1), (2, 2), (2, 2), (2, 1), (2, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	3	3	548	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	697.3982866001315	['left', 'left', 'right', 'left', 'right', 'left']	[6.685482299886644, 8.696964700007811, 10.606762500014156, 12.862966799875721, 14.927893999963999, 16.883725999854505]	NA	NA	NA	NA	pme	001	2026-02-17_14h16.37.585	SS	2023.1.0	60.01694877565282	NA
[(2, 1), (0, 1), (2, 0), (2, 1), (0, 1), (2, 2), (0, 0), (2, 0), (2, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	4	4	601	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	716.4085699000861	['right', 'right', 'left', 'left', 'left', 'left']	[6.608251099940389, 8.438272799830884, 10.587364400038496, 12.744281599996611, 14.98633769992739, 16.816498899832368]	NA	NA	NA	NA	pme	001	2026-02-17_14h16.37.585	SS	2023.1.0	60.01694877565282	NA
[(1, 2), (2, 0), (1, 1), (1, 2), (1, 2), (0, 0), (0, 0), (2, 0), (0, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	5	5	243	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	735.3929675000254	['right', 'left', 'left', 'left', 'left', 'right']	[6.653832399751991, 8.723321199882776, 10.659202199894935, 12.774859899887815, 14.962675099726766, 16.842929899692535]	NA	NA	NA	NA	pme	001	2026-02-17_14h16.37.585	SS	2023.1.0	60.01694877565282	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pme	001	2026-02-17_14h16.37.585	SS	2023.1.0	60.01694877565282	NA
[(1, 2), (1, 0), (1, 0), (2, 2), (1, 0), (1, 1), (2, 2), (1, 1), (2, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	0	0	589	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	756.0364626999944	['left', 'right', 'left', 'right', 'right', 'left']	[6.685154400067404, 8.581708499928936, 10.612203099997714, 12.549776300089434, 14.736265300074592, 16.801574199926108]	NA	NA	NA	NA	pme	001	2026-02-17_14h16.37.585	SS	2023.1.0	60.01694877565282	NA
[(0, 2), (2, 2), (1, 2), (0, 2), (2, 0), (1, 2), (1, 0), (0, 0), (1, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	1	1	652	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	775.0170756001025	['right', 'left', 'right', 'left', 'left', 'right']	[6.842292599845678, 8.805489999707788, 10.870295699918643, 12.774278299883008, 14.997939599910751, 16.880235699936748]	NA	NA	NA	NA	pme	001	2026-02-17_14h16.37.585	SS	2023.1.0	60.01694877565282	NA
[(1, 2), (0, 2), (2, 0), (0, 2), (2, 2), (2, 0), (2, 1), (2, 0), (2, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	2	2	535	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	794.0189916000236	['right', 'right', 'right', 'left', 'right', 'left']	[6.80284469993785, 8.889765299856663, 10.695032599847764, 12.705601299880072, 14.713852299842983, 17.108635999727994]	NA	NA	NA	NA	pme	001	2026-02-17_14h16.37.585	SS	2023.1.0	60.01694877565282	NA
