sequence	training_session.thisRepN	training_session.thisTrialN	training_session.thisN	training_session.thisIndex	training_2n.thisRepN	training_2n.thisTrialN	training_2n.thisN	training_2n.thisIndex	training_3n.thisRepN	training_3n.thisTrialN	training_3n.thisN	training_3n.thisIndex	training_4n.thisRepN	training_4n.thisTrialN	training_4n.thisN	training_4n.thisIndex	allrep_2nback.thisRepN	allrep_2nback.thisTrialN	allrep_2nback.thisN	allrep_2nback.thisIndex	trials_2nback.thisRepN	trials_2nback.thisTrialN	trials_2nback.thisN	trials_2nback.thisIndex	allrep_3nback.thisRepN	allrep_3nback.thisTrialN	allrep_3nback.thisN	allrep_3nback.thisIndex	trials_3nback.thisRepN	trials_3nback.thisTrialN	trials_3nback.thisN	trials_3nback.thisIndex	allrep_4nback.thisRepN	allrep_4nback.thisTrialN	allrep_4nback.thisN	allrep_4nback.thisIndex	trials_4nback.thisRepN	trials_4nback.thisTrialN	trials_4nback.thisN	trials_4nback.thisIndex	buffer02_txt.started	test_griddot_resp2.started	test_griddot_resp2.keys	test_griddot_resp2.rt	buffer23_txt.started	test_griddot_resp3.started	test_griddot_resp3.keys	test_griddot_resp3.rt	buffer34_txt.started	test_griddot_resp4.started	test_griddot_resp4.keys	test_griddot_resp4.rt	confirm_resp.started	confirm_resp.keys	confirm_resp.rt	instr_text_2.started	buffer02_txt.stopped	griddot_resp2.started	griddot_resp2.keys	griddot_resp2.rt	buffer23_txt.stopped	griddot_resp3.started	griddot_resp3.keys	griddot_resp3.rt	buffer34_txt.stopped	griddot_resp4.started	griddot_resp4.keys	griddot_resp4.rt	participant	session	date	expName	psychopyVersion	frameRate	...76
[(1, 0), (0, 0), (0, 0), (2, 0), (1, 1), (2, 0), (1, 1), (2, 0)]	0	0	0	0	0	0	0	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170.63886640011333	174.71702390001155	['left', 'left', 'left', 'right', 'right', 'right']	[5.18412599992007, 7.752157899783924, 9.054235199699178, 10.857817499898374, 13.244930099695921, 14.99927799985744]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pme	001	2026-02-17_14h16.37.585	SS	2023.1.0	60.01694877565282	NA
[(2, 0), (1, 2), (2, 0), (1, 1), (2, 0), (2, 2), (0, 1), (1, 2)]	0	0	0	0	0	1	1	525	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	191.71477670012973	['right', 'left', 'right', 'left', 'left', 'left']	[5.280280199833214, 6.902467199834064, 9.074676499702036, 10.721803299849853, 12.889135899720713, 15.221715199761093]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pme	001	2026-02-17_14h16.37.585	SS	2023.1.0	60.01694877565282	NA
[(1, 2), (2, 0), (2, 0), (2, 0), (0, 0), (2, 0), (2, 1), (0, 0)]	0	0	0	0	0	2	2	465	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	208.7006097000558	['right', 'left', 'left', 'right', 'left', 'right']	[4.842770699877292, 7.166967199882492, 9.064482599962503, 11.026884499937296, 12.894437999930233, 14.903522299835458]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pme	001	2026-02-17_14h16.37.585	SS	2023.1.0	60.01694877565282	NA
[(2, 1), (2, 1), (0, 0), (2, 2), (1, 2), (0, 0), (0, 1), (1, 2), (2, 2)]	0	0	0	0	NA	NA	NA	NA	0	0	0	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	225.6477628001012	229.69639850012027	['left', 'left', 'left', 'right', 'left', 'right', 'left']	[3.278773699887097, 7.367420099908486, 8.674454999854788, 11.083686999743804, 13.055496799759567, 14.94286029972136, 17.205697199795395]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pme	001	2026-02-17_14h16.37.585	SS	2023.1.0	60.01694877565282	NA
[(2, 0), (2, 1), (2, 1), (0, 2), (1, 2), (2, 1), (2, 2), (2, 1), (2, 1)]	0	0	0	0	NA	NA	NA	NA	0	1	1	71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	248.67813710006885	['left', 'left', 'right', 'left', 'right']	[6.766327099874616, 8.720552199753001, 11.568779499735683, 13.659198199864477, 17.4355679997243]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pme	001	2026-02-17_14h16.37.585	SS	2023.1.0	60.01694877565282	NA
[(1, 0), (2, 1), (0, 1), (1, 1), (2, 1), (2, 1), (2, 2), (2, 1), (1, 2)]	0	0	0	0	NA	NA	NA	NA	0	2	2	184	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	267.6908162001055	['left', 'right', 'left', 'left', 'right', 'left']	[6.6903481998015195, 8.703303599962965, 10.723460999783128, 12.827066799858585, 14.667547899764031, 17.15310339978896]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pme	001	2026-02-17_14h16.37.585	SS	2023.1.0	60.01694877565282	NA
[(0, 1), (0, 1), (1, 2), (0, 2), (1, 0), (0, 0), (1, 2), (1, 2), (1, 0), (0, 2)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	286.651726400014	290.70095730014145	['left', 'left', 'right', 'left', 'left', 'right']	[8.65448040002957, 10.671232299879193, 12.826651999959722, 15.011793199926615, 17.3379994998686, 18.843524700030684]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pme	001	2026-02-17_14h16.37.585	SS	2023.1.0	60.01694877565282	NA
[(2, 1), (0, 0), (1, 2), (1, 1), (2, 1), (1, 2), (1, 2), (2, 1), (1, 0), (2, 2)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	311.7184360001702	['right', 'left', 'right', 'left', 'left', 'left']	[8.760348999872804, 11.112696199910715, 12.838036299915984, 15.033129499992356, 17.043395299930125, 18.847806899808347]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pme	001	2026-02-17_14h16.37.585	SS	2023.1.0	60.01694877565282	NA
[(0, 2), (0, 0), (0, 0), (2, 0), (0, 2), (1, 2), (2, 0), (0, 2), (0, 1), (1, 2)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	2	2	664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	332.7118672002107	['right', 'left', 'left', 'left', 'left', 'right']	[8.915135300019756, 10.662624099990353, 13.033817499876022, 14.762182199861854, 17.009386099874973, 19.008879999862984]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pme	001	2026-02-17_14h16.37.585	SS	2023.1.0	60.01694877565282	NA
NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	352.6423345000949	y	46.42047320003621	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pme	001	2026-02-17_14h16.37.585	SS	2023.1.0	60.01694877565282	NA
