clr1p1	clr2p1	clr3p1	clr4p1	clr1p2	clr2p2	clr3p2	clr4p2	Hshow	Htest	stim_var	blank_clr	difficulty	answ	l_test	r_test	realclr2	realclr3	realclr	training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	CC_resp_2.keys	CC_resp_2.corr	CC_resp_2.rt	CC_resp.keys	CC_resp.corr	CC_resp.rt	participant	session	date	expName	psychopyVersion	frameRate
#5E35B1	#311B92	#EDE7F6	#9575CD	#6D4C41	#3E2723	#000000	#A1887F	d_purple	brown	l_rand1	clr3	low	left	#EFEBE9	#BCAAA4	#3E2723	#EFEBE9	#EFEBE9	0	0	0	35	NA	NA	NA	NA	right	0	0.9605633998289704	NA	NA	NA	aae	1	2026-06-01_13h11.61.209	MCT	2023.1.0	60.05717447392527
#00897B	#004D40	#E0F2F1	#4DB6AC	#FFB300	#000000	#FFF8E1	#FFD54F	teal	amber	l_rand1	clr2	low	right	#FFA000	#FF6F00	#FF6F00	#FFF8E1	#FF6F00	0	1	1	27	NA	NA	NA	NA	right	1	1.321955299936235	NA	NA	NA	aae	1	2026-06-01_13h11.61.209	MCT	2023.1.0	60.05717447392527
#01579B	#039BE5	#4FC3F7	#E1F5FE	#F57F17	#FDD835	#000000	#FFFDE7	l_blue	yellow	l_up	clr3	high	left	#FFF176	#FFEE58	#FDD835	#FFF176	#FFF176	0	2	2	70	NA	NA	NA	NA	left	1	0.6143585997633636	NA	NA	NA	aae	1	2026-06-01_13h11.61.209	MCT	2023.1.0	60.05717447392527
#F3E5F5	#BA68C8	#8E24AA	#4A148C	#E0F2F1	#000000	#00897B	#004D40	purple	lime	l_down	clr2	low	left	#4DB6AC	#B2DFDB	#4DB6AC	#00897B	#4DB6AC	0	3	3	6	NA	NA	NA	NA	right	0	0.8793431995436549	NA	NA	NA	aae	1	2026-06-01_13h11.61.209	MCT	2023.1.0	60.05717447392527
#BF360C	#FBE9E7	#F4511E	#FF8A65	#B71C1C	#000000	#E53935	#E57373	d_orange	red	l_rand2	clr2	low	right	#EF9A9A	#FFEBEE	#FFEBEE	#E53935	NA	NA	NA	NA	NA	0	30	30	48	NA	NA	NA	right	1	1.37142372794915	aae	1	2026-06-01_13h11.61.209	MCT	2023.1.0	60.05717447392527
#004D40	#E0F2F1	#00897B	#4DB6AC	#3E2723	#EFEBE9	#000000	#A1887F	teal	brown	l_rand2	clr3	none	right	#FB8C00	#6D4C41	#EFEBE9	#6D4C41	NA	NA	NA	NA	NA	0	27	27	107	NA	NA	NA	right	1	1.10955644526985	aae	1	2026-06-01_13h11.61.209	MCT	2023.1.0	60.05717447392527
#F57F17	#FDD835	#FFF176	#FFFDE7	#33691E	#7CB342	#000000	#F1F8E9	yellow	l_green	l_up	clr3	low	left	#AED581	#DCEDC8	#7CB342	#AED581	NA	NA	NA	NA	NA	0	115	115	75	NA	NA	NA	left	1	1.62279994541314	aae	1	2026-06-01_13h11.61.209	MCT	2023.1.0	60.05717447392527
#FFEBEE	#E57373	#E53935	#B71C1C	#E1F5FE	#000000	#039BE5	#01579B	red	l_blue	l_down	clr2	none	left	#4FC3F7	#7986CB	#4FC3F7	#039BE5	NA	NA	NA	NA	NA	0	119	119	80	NA	NA	NA	right	0	1.50380901724566	aae	1	2026-06-01_13h11.61.209	MCT	2023.1.0	60.05717447392527
#FFB300	#FF6F00	#FFF8E1	#FFD54F	#039BE5	#01579B	#000000	#4FC3F7	amber	l_blue	l_rand1	clr3	none	right	#E8EAF6	#E1F5FE	#01579B	#E1F5FE	NA	NA	NA	NA	NA	0	82	82	99	NA	NA	NA	right	1	1.60436258593109	aae	1	2026-06-01_13h11.61.209	MCT	2023.1.0	60.05717447392527
#5E35B1	#311B92	#EDE7F6	#9575CD	#6D4C41	#3E2723	#000000	#A1887F	d_purple	brown	l_rand1	clr3	low	left	#EFEBE9	#BCAAA4	#3E2723	#EFEBE9	NA	NA	NA	NA	NA	0	118	118	35	NA	NA	NA	left	1	1.45542964886408	aae	1	2026-06-01_13h11.61.209	MCT	2023.1.0	60.05717447392527
