sequence	training_session.thisRepN	training_session.thisTrialN	training_session.thisN	training_session.thisIndex	training_2n.thisRepN	training_2n.thisTrialN	training_2n.thisN	training_2n.thisIndex	training_3n.thisRepN	training_3n.thisTrialN	training_3n.thisN	training_3n.thisIndex	training_4n.thisRepN	training_4n.thisTrialN	training_4n.thisN	training_4n.thisIndex	allrep_2nback.thisRepN	allrep_2nback.thisTrialN	allrep_2nback.thisN	allrep_2nback.thisIndex	trials_2nback.thisRepN	trials_2nback.thisTrialN	trials_2nback.thisN	trials_2nback.thisIndex	allrep_3nback.thisRepN	allrep_3nback.thisTrialN	allrep_3nback.thisN	allrep_3nback.thisIndex	trials_3nback.thisRepN	trials_3nback.thisTrialN	trials_3nback.thisN	trials_3nback.thisIndex	allrep_4nback.thisRepN	allrep_4nback.thisTrialN	allrep_4nback.thisN	allrep_4nback.thisIndex	trials_4nback.thisRepN	trials_4nback.thisTrialN	trials_4nback.thisN	trials_4nback.thisIndex	buffer02_txt.started	test_griddot_resp2.started	test_griddot_resp2.keys	test_griddot_resp2.rt	buffer23_txt.started	test_griddot_resp3.started	test_griddot_resp3.keys	test_griddot_resp3.rt	buffer34_txt.started	test_griddot_resp4.started	test_griddot_resp4.keys	test_griddot_resp4.rt	confirm_resp.started	confirm_resp.keys	confirm_resp.rt	instr_text_2.started	buffer02_txt.stopped	griddot_resp2.started	griddot_resp2.keys	griddot_resp2.rt	buffer23_txt.stopped	griddot_resp3.started	griddot_resp3.keys	griddot_resp3.rt	buffer34_txt.stopped	griddot_resp4.started	griddot_resp4.keys	griddot_resp4.rt	participant	session	date	expName	psychopyVersion	frameRate	...76
[(2, 1), (0, 2), (2, 2), (0, 2), (2, 1), (0, 2), (0, 0), (1, 0)]	0	0	0	0	0	0	0	69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	227.98568750033155	232.13629900012165	['left', 'left', 'left']	[5.1510911998339, 7.807919299695641, 15.740293299779296]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BMI	001	2026-03-13_12h45.20.478	SS	2023.1.0	59.92107189326074	NA
[(0, 1), (0, 1), (0, 1), (0, 1), (2, 1), (1, 0), (2, 1), (0, 1)]	0	0	0	0	0	1	1	618	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	249.03251540008932	['right', 'right', 'left', 'left', 'right', 'left']	[4.86753339972347, 7.3347887001000345, 9.29722089972347, 11.22635899996385, 13.029589499812573, 15.242863599676639]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BMI	001	2026-03-13_12h45.20.478	SS	2023.1.0	59.92107189326074	NA
[(0, 1), (2, 2), (0, 1), (2, 1), (0, 1), (2, 2), (0, 1), (2, 1)]	0	0	0	0	0	2	2	176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	266.063851099927	['right', 'left', 'right', 'left', 'right', 'left']	[4.94077969994396, 6.832544299773872, 8.699653699994087, 11.015026499982923, 13.416435999795794, 15.036830299999565]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BMI	001	2026-03-13_12h45.20.478	SS	2023.1.0	59.92107189326074	NA
[(1, 1), (0, 1), (1, 2), (1, 1), (0, 1), (0, 0), (2, 0), (0, 0), (2, 0)]	0	0	0	0	NA	NA	NA	NA	0	0	0	357	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	282.9947260003537	287.06243599997833	['right', 'right', 'left', 'left', 'left', 'right']	[7.810771100223064, 9.085010200273246, 10.609201600309461, 13.23968579992652, 15.544448500033468, 17.175943300127983]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BMI	001	2026-03-13_12h45.20.478	SS	2023.1.0	59.92107189326074	NA
[(1, 2), (0, 0), (0, 1), (2, 0), (1, 0), (1, 0), (2, 1), (1, 0), (1, 0)]	0	0	0	0	NA	NA	NA	NA	0	1	1	35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	306.05806510010734	['left', 'left', 'left', 'left', 'right', 'left']	[7.0522358999587595, 9.162255799863487, 10.71282930020243, 13.478653099853545, 15.405149600002915, 17.11982520017773]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BMI	001	2026-03-13_12h45.20.478	SS	2023.1.0	59.92107189326074	NA
[(2, 2), (1, 2), (2, 2), (0, 2), (1, 1), (2, 2), (2, 0), (2, 1), (2, 2)]	0	0	0	0	NA	NA	NA	NA	0	2	2	639	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	325.0578799000941	['left', 'left', 'right', 'left', 'left', 'right']	[7.6143340999260545, 9.034570400137454, 11.001327500212938, 13.546120800077915, 15.625421900302172, 17.652798800263554]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BMI	001	2026-03-13_12h45.20.478	SS	2023.1.0	59.92107189326074	NA
[(1, 1), (0, 1), (0, 1), (2, 0), (1, 1), (1, 1), (2, 2), (0, 0), (1, 1), (1, 2)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	343.98627640027553	348.0691802999936	['right', 'left', 'left', 'right']	[11.263491199817508, 13.242770599666983, 14.932955799624324, 17.29433579975739]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BMI	001	2026-03-13_12h45.20.478	SS	2023.1.0	59.92107189326074	NA
[(0, 0), (2, 1), (2, 1), (0, 1), (1, 1), (2, 1), (0, 1), (1, 0), (1, 0), (2, 1)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	369.0680198003538	['left', 'left', 'left', 'right', 'right']	[9.092252400238067, 13.39316980028525, 15.465506200212985, 17.19665620010346, 19.447085299994797]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BMI	001	2026-03-13_12h45.20.478	SS	2023.1.0	59.92107189326074	NA
[(2, 0), (0, 1), (2, 0), (0, 0), (2, 1), (0, 1), (2, 0), (1, 0), (1, 0), (0, 2)]	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	2	2	440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	390.0669851000421	['left', 'right', 'right', 'left', 'left', 'left']	[9.071383600123227, 11.325618099886924, 13.482915899716318, 15.159120500087738, 17.736166500020772, 19.318419099785388]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BMI	001	2026-03-13_12h45.20.478	SS	2023.1.0	59.92107189326074	NA
NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	410.01022990001366	y	30.095333700068295	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BMI	001	2026-03-13_12h45.20.478	SS	2023.1.0	59.92107189326074	NA
