clr1p1	clr2p1	clr3p1	clr4p1	clr1p2	clr2p2	clr3p2	clr4p2	Hshow	Htest	stim_var	blank_clr	difficulty	answ	l_test	r_test	realclr2	realclr3	realclr	training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	CC_resp_2.keys	CC_resp_2.corr	CC_resp_2.rt	CC_resp.keys	CC_resp.corr	CC_resp.rt	participant	session	date	expName	psychopyVersion	frameRate
#1B5E20	#43A047	#81C784	#E8F5E9	#4A148C	#000000	#BA68C8	#F3E5F5	green	purple	l_up	clr2	low	right	#6A1B9A	#8E24AA	#8E24AA	#BA68C8	#8E24AA	0	0	0	69	NA	NA	NA	NA	None	0	NA	NA	NA	NA	aaa	1	2026-06-01_14h48.26.790	MCT	2023.1.0	60.11049526798321
#3E2723	#EFEBE9	#6D4C41	#A1887F	#0D47A1	#E3F2FD	#000000	#64B5F6	brown	blue	l_rand2	clr3	high	right	#2196F3	#1E88E5	#E3F2FD	#1E88E5	#1E88E5	0	1	1	54	NA	NA	NA	NA	right	1	4.378255200572312	NA	NA	NA	aaa	1	2026-06-01_14h48.26.790	MCT	2023.1.0	60.11049526798321
#FFF8E1	#FFD54F	#FFB300	#FF6F00	#E8EAF6	#7986CB	#000000	#1A237E	amber	indigo	l_down	clr3	high	right	#3F51B5	#3949AB	#7986CB	#3949AB	#3949AB	0	2	2	13	NA	NA	NA	NA	None	0	NA	NA	NA	NA	aaa	1	2026-06-01_14h48.26.790	MCT	2023.1.0	60.11049526798321
#FFEBEE	#E57373	#E53935	#B71C1C	#E1F5FE	#000000	#039BE5	#01579B	red	l_blue	l_down	clr2	high	left	#4FC3F7	#81D4FA	#4FC3F7	#039BE5	#4FC3F7	0	3	3	0	NA	NA	NA	NA	None	0	NA	NA	NA	NA	aaa	1	2026-06-01_14h48.26.790	MCT	2023.1.0	60.11049526798321
#FCE4EC	#F06292	#D81B60	#880E4F	#FBE9E7	#000000	#F4511E	#BF360C	pink	d_orange	l_down	clr2	none	right	#FFD54F	#FF8A65	#FF8A65	#F4511E	NA	NA	NA	NA	NA	0	0	0	84	NA	NA	NA	right	1	1.03622667063028	aaa	1	2026-06-01_14h48.26.790	MCT	2023.1.0	60.11049526798321
#E8EAF6	#7986CB	#3949AB	#1A237E	#FFF3E0	#FFB74D	#000000	#E65100	indigo	orange	l_down	clr3	high	left	#FB8C00	#FF9800	#FFB74D	#FB8C00	NA	NA	NA	NA	NA	0	1	1	10	NA	NA	NA	right	1	1.12440851673483	aaa	1	2026-06-01_14h48.26.790	MCT	2023.1.0	60.11049526798321
#7CB342	#33691E	#F1F8E9	#AED581	#8E24AA	#000000	#F3E5F5	#BA68C8	l_green	purple	l_rand1	clr2	high	left	#4A148C	#6A1B9A	#4A148C	#F3E5F5	NA	NA	NA	NA	NA	0	2	2	22	NA	NA	NA	right	0	2.88973968736827	aaa	1	2026-06-01_14h48.26.790	MCT	2023.1.0	60.11049526798321
#FF6F00	#FFB300	#FFD54F	#FFF8E1	#1A237E	#3949AB	#000000	#E8EAF6	amber	indigo	l_up	clr3	low	right	#C5CAE9	#7986CB	#3949AB	#7986CB	NA	NA	NA	NA	NA	0	3	3	78	NA	NA	NA	right	1	0.973865842800587	aaa	1	2026-06-01_14h48.26.790	MCT	2023.1.0	60.11049526798321
#FFEBEE	#E57373	#E53935	#B71C1C	#FFFDE7	#000000	#FDD835	#F57F17	red	yellow	l_down	clr2	high	left	#FFF176	#FFEE58	#FFF176	#FDD835	NA	NA	NA	NA	NA	0	4	4	3	NA	NA	NA	left	1	2.30802999462001	aaa	1	2026-06-01_14h48.26.790	MCT	2023.1.0	60.11049526798321
#3949AB	#1A237E	#E8EAF6	#7986CB	#7CB342	#000000	#F1F8E9	#AED581	indigo	l_green	l_rand1	clr2	high	left	#33691E	#558B2F	#33691E	#F1F8E9	NA	NA	NA	NA	NA	0	5	5	24	NA	NA	NA	left	1	2.22451574131846	aaa	1	2026-06-01_14h48.26.790	MCT	2023.1.0	60.11049526798321
#BF360C	#F4511E	#FF8A65	#FBE9E7	#33691E	#7CB342	#000000	#F1F8E9	d_orange	l_green	l_up	clr3	high	right	#C5E1A5	#AED581	#7CB342	#AED581	NA	NA	NA	NA	NA	0	6	6	73	NA	NA	NA	right	1	1.07742856892757	aaa	1	2026-06-01_14h48.26.790	MCT	2023.1.0	60.11049526798321
#1E88E5	#0D47A1	#E3F2FD	#64B5F6	#C0CA33	#827717	#000000	#DCE775	blue	lime	l_rand1	clr3	high	right	#F0F4C3	#F9FBE7	#827717	#F9FBE7	NA	NA	NA	NA	NA	0	7	7	32	NA	NA	NA	left	1	1.72375395793468	aaa	1	2026-06-01_14h48.26.790	MCT	2023.1.0	60.11049526798321
#004D40	#E0F2F1	#00897B	#4DB6AC	#3E2723	#EFEBE9	#000000	#A1887F	teal	brown	l_rand2	clr3	none	right	#FB8C00	#6D4C41	#EFEBE9	#6D4C41	NA	NA	NA	NA	NA	0	8	8	107	NA	NA	NA	right	1	1.20469678773545	aaa	1	2026-06-01_14h48.26.790	MCT	2023.1.0	60.11049526798321
