sequence	training_session.thisRepN	training_session.thisTrialN	training_session.thisN	training_session.thisIndex	training_2n.thisRepN	training_2n.thisTrialN	training_2n.thisN	training_2n.thisIndex	training_3n.thisRepN	training_3n.thisTrialN	training_3n.thisN	training_3n.thisIndex	training_4n.thisRepN	training_4n.thisTrialN	training_4n.thisN	training_4n.thisIndex	allrep_2nback.thisRepN	allrep_2nback.thisTrialN	allrep_2nback.thisN	allrep_2nback.thisIndex	trials_2nback.thisRepN	trials_2nback.thisTrialN	trials_2nback.thisN	trials_2nback.thisIndex	allrep_3nback.thisRepN	allrep_3nback.thisTrialN	allrep_3nback.thisN	allrep_3nback.thisIndex	trials_3nback.thisRepN	trials_3nback.thisTrialN	trials_3nback.thisN	trials_3nback.thisIndex	allrep_4nback.thisRepN	allrep_4nback.thisTrialN	allrep_4nback.thisN	allrep_4nback.thisIndex	trials_4nback.thisRepN	trials_4nback.thisTrialN	trials_4nback.thisN	trials_4nback.thisIndex	buffer02_txt.started	test_griddot_resp2.started	test_griddot_resp2.keys	test_griddot_resp2.rt	buffer23_txt.started	test_griddot_resp3.started	test_griddot_resp3.keys	test_griddot_resp3.rt	buffer34_txt.started	test_griddot_resp4.started	test_griddot_resp4.keys	test_griddot_resp4.rt	confirm_resp.started	confirm_resp.keys	confirm_resp.rt	buffer02_txt.stopped	instr_text_2.started	griddot_resp2.started	griddot_resp2.keys	griddot_resp2.rt	buffer23_txt.stopped	griddot_resp3.started	griddot_resp3.keys	griddot_resp3.rt	buffer34_txt.stopped	griddot_resp4.started	griddot_resp4.keys	griddot_resp4.rt	participant	session	date	expName	psychopyVersion	frameRate	...76
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mfi	001	2026-02-20_14h35.22.933	SS	2023.1.0	60.04819469851661	NA
[(1, 2), (0, 1), (1, 2), (1, 2), (1, 2), (2, 0), (2, 1), (2, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	0	0	370	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	832.5821519999299	['right', 'left', 'right', 'left', 'left', 'left']	[4.666850900044665, 7.124323300085962, 9.236326300073415, 11.040859800064936, 12.99199020001106, 15.223860200028867]	NA	NA	NA	NA	NA	NA	NA	NA	mfi	001	2026-02-20_14h35.22.933	SS	2023.1.0	60.04819469851661	NA
[(2, 0), (1, 1), (2, 0), (1, 1), (1, 1), (1, 0), (2, 2), (1, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	1	1	466	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	849.5940995998681	['right', 'right', 'left', 'left', 'left', 'left']	[4.688523499993607, 7.224224699893966, 9.27348340000026, 11.050217399839312, 12.978410599986091, 14.783683199901134]	NA	NA	NA	NA	NA	NA	NA	NA	mfi	001	2026-02-20_14h35.22.933	SS	2023.1.0	60.04819469851661	NA
[(2, 2), (2, 2), (1, 0), (2, 0), (0, 0), (2, 0), (0, 0), (2, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	2	2	167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	866.5934086998459	['left', 'left', 'left', 'right', 'right', 'left']	[5.083377899834886, 6.942565999925137, 8.998550300020725, 11.470954699907452, 13.537186600035056, 15.603588599944487]	NA	NA	NA	NA	NA	NA	NA	NA	mfi	001	2026-02-20_14h35.22.933	SS	2023.1.0	60.04819469851661	NA
[(2, 0), (1, 1), (1, 1), (1, 2), (2, 2), (0, 0), (2, 2), (0, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	3	3	582	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	883.5871599998791	['right', 'left', 'left', 'left', 'right', 'right']	[5.083875000011176, 7.126106499927118, 9.120522200129926, 11.222729699919, 13.607192999916151, 15.575898600043729]	NA	NA	NA	NA	NA	NA	NA	NA	mfi	001	2026-02-20_14h35.22.933	SS	2023.1.0	60.04819469851661	NA
[(2, 0), (1, 1), (0, 2), (1, 1), (2, 0), (1, 1), (0, 2), (1, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	4	4	543	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	900.5848115000408	['left', 'left', 'left', 'right', 'left', 'left']	[4.783573199994862, 7.0467610999476165, 9.183068699901924, 11.087359800003469, 13.32585999998264, 15.074851999990642]	NA	NA	NA	NA	NA	NA	NA	NA	mfi	001	2026-02-20_14h35.22.933	SS	2023.1.0	60.04819469851661	NA
[(1, 1), (2, 0), (1, 1), (2, 0), (2, 0), (2, 2), (0, 1), (0, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	5	5	165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	917.5693985999096	['left', 'right', 'left', 'left', 'left', 'left', 'left']	[2.89198899990879, 5.025440900120884, 7.43675999995321, 10.034663799917325, 11.521457599941641, 12.98870430001989, 15.0799978999421]	NA	NA	NA	NA	NA	NA	NA	NA	mfi	001	2026-02-20_14h35.22.933	SS	2023.1.0	60.04819469851661	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mfi	001	2026-02-20_14h35.22.933	SS	2023.1.0	60.04819469851661	NA
[(1, 0), (1, 2), (0, 1), (1, 0), (1, 2), (0, 0), (0, 0), (2, 1), (0, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	313	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	935.1011504000052	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	938.1798652999568	939.1961641998496	['right', 'right', 'left', 'left', 'left', 'right']	[7.154745900072157, 9.163029700051993, 10.787013900000602, 12.828858900116757, 14.96310850000009, 17.1055265001487]	NA	NA	NA	NA	mfi	001	2026-02-20_14h35.22.933	SS	2023.1.0	60.04819469851661	NA
[(1, 0), (1, 0), (0, 0), (1, 0), (0, 0), (0, 1), (2, 2), (0, 0), (2, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	1	554	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	958.17680320004	['right', 'left', 'left', 'left', 'right', 'left']	[7.0462190001271665, 9.549573100171983, 11.708720300113782, 13.145409000106156, 14.77588940015994, 17.065095100086182]	NA	NA	NA	NA	mfi	001	2026-02-20_14h35.22.933	SS	2023.1.0	60.04819469851661	NA
[(0, 0), (1, 0), (2, 2), (2, 2), (1, 0), (0, 0), (1, 2), (1, 0), (2, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	2	2	425	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	977.1613034999464	['left', 'right', 'right', 'left', 'right', 'left']	[7.243786400184035, 9.060147900134325, 11.485499300062656, 12.9180076001212, 15.65435430011712, 16.9246323001571]	NA	NA	NA	NA	mfi	001	2026-02-20_14h35.22.933	SS	2023.1.0	60.04819469851661	NA
[(0, 2), (2, 1), (1, 2), (0, 1), (2, 0), (1, 2), (1, 0), (2, 2), (1, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	3	3	684	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	996.1718076998368	['left', 'left', 'left', 'left', 'left', 'right']	[7.185700699919835, 9.174939599819481, 12.059535400010645, 13.861137799918652, 15.216170699801296, 17.506388299865648]	NA	NA	NA	NA	mfi	001	2026-02-20_14h35.22.933	SS	2023.1.0	60.04819469851661	NA
[(2, 2), (1, 1), (1, 0), (2, 2), (1, 1), (0, 2), (1, 1), (1, 1), (1, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	4	4	94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1015.1688320999964	['right', 'right', 'left', 'right', 'left', 'left']	[6.897868300089613, 9.191877600038424, 11.032241400098428, 13.439403400057927, 14.880877899937332, 17.478335000108927]	NA	NA	NA	NA	mfi	001	2026-02-20_14h35.22.933	SS	2023.1.0	60.04819469851661	NA
[(2, 1), (1, 2), (1, 2), (2, 0), (0, 2), (1, 2), (2, 2), (0, 2), (2, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	5	5	626	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1034.1829533998389	['left', 'left', 'left', 'left', 'right', 'right']	[6.967270799912512, 8.958407799946144, 10.938627899857238, 12.97245499980636, 15.046717399964109, 17.674310499802232]	NA	NA	NA	NA	mfi	001	2026-02-20_14h35.22.933	SS	2023.1.0	60.04819469851661	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mfi	001	2026-02-20_14h35.22.933	SS	2023.1.0	60.04819469851661	NA
[(0, 2), (2, 1), (2, 2), (0, 2), (2, 2), (2, 2), (2, 1), (2, 2), (0, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	0	0	115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1055.1134235998616	['right', 'right', 'right', 'left', 'right', 'left']	[6.612304999958724, 9.394033999880776, 10.944304100004956, 12.975712299812585, 15.313116799807176, 17.53555819997564]	NA	NA	NA	NA	mfi	001	2026-02-20_14h35.22.933	SS	2023.1.0	60.04819469851661	NA
[(2, 0), (2, 0), (2, 1), (0, 0), (2, 0), (1, 1), (0, 0), (0, 2), (0, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	1	1	34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1074.1108263998758	['left', 'left', 'left', 'right', 'left', 'left']	[6.902141899801791, 9.468507899902761, 11.23991829995066, 12.947102800011635, 14.729257999919355, 17.11153409979306]	NA	NA	NA	NA	mfi	001	2026-02-20_14h35.22.933	SS	2023.1.0	60.04819469851661	NA
[(0, 0), (0, 1), (0, 1), (1, 1), (0, 1), (1, 2), (0, 0), (0, 1), (1, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	2	2	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1093.1081784998532	['left', 'right', 'left', 'left', 'right', 'right']	[7.992422200040892, 9.23747540009208, 10.591590400086716, 12.866863199975342, 14.96292580012232, 17.08468380011618]	NA	NA	NA	NA	mfi	001	2026-02-20_14h35.22.933	SS	2023.1.0	60.04819469851661	NA
