training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	arsal_train.thisRepN	arsal_train.thisTrialN	arsal_train.thisN	arsal_train.thisIndex	arsal_s2.thisRepN	arsal_s2.thisTrialN	arsal_s2.thisN	arsal_s2.thisIndex	arsal_s3.thisRepN	arsal_s3.thisTrialN	arsal_s3.thisN	arsal_s3.thisIndex	arsal_s4.thisRepN	arsal_s4.thisTrialN	arsal_s4.thisN	arsal_s4.thisIndex	blank.started	blank.stopped	matrix_resp.started	sequence	repeat_idx	matrix_resp.keys	matrix_resp.rt	trainconf.keys	trainconf.rt	matrix_resp_2.started	matrix_resp_2.keys	matrix_resp_2.rt	matrix_resp_3.started	matrix_resp_3.keys	matrix_resp_3.rt	byebye_text.started	participant	session	date	expName	psychopyVersion	frameRate	...43
0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	158.32626909995452	158.87363249994814	158.87363249994814	[[(-1, -1, 1), (-1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -0.2, -1), (1, -1, 1)], [(1, -1, -1), (1, -1, -1), (1, -0.2, -1), (-1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -1, -1), (-1, 1, -1), (1, -1, -1)], [(-1, -1, 1), (1, 1, -1), (-1, -1, 1), (1, -0.2, -1), (-1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, -0.2, -1), (1, -0.2, -1)], [(1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (-1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1)], [(-1, 1, -1), (1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (-1, 1, -1), (-1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, 1, -1)], [(-1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (-1, 1, -1), (1, -1, 1), (1, -0.2, -1), (-1, 1, -1), (1, -0.2, -1), (-1, -1, 1)], [(-1, -1, 1), (1, -1, -1), (1, 1, -1), (1, 1, -1), (1, -1, -1), (1, 1, -1), (1, 1, -1), (-1, 1, -1), (-1, -1, 1)], [(-1, -1, 1), (1, 1, -1), (-1, -1, 1), (1, -0.2, -1), (-1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, -0.2, -1), (1, -0.2, -1)]]	2	['left', 'left', 'left', 'left', 'left']	[4.0717302998527884, 14.732203799765557, 16.25766579946503, 19.36192289972678, 22.346522599924356]	NA	NA	NA	NA	NA	NA	NA	NA	NA	rsd	001	2026-03-17_13h13.08.719	CMT	2023.1.0	59.96178047496932	NA
0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	182.83683980023488	NA	NA	NA	NA	NA	NA	['n']	[2.9889541999436915]	NA	NA	NA	NA	NA	NA	NA	rsd	001	2026-03-17_13h13.08.719	CMT	2023.1.0	59.96178047496932	NA
1	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	186.35156220011413	186.8848335999064	186.8848335999064	[[(1, -1, -1), (1, -1, -1), (-1, 1, -1), (1, -1, -1), (1, -1, 1), (1, -1, -1), (1, -1, 1), (1, -1, 1), (-1, -1, 1)], [(-1, -1, 1), (-1, -1, 1), (1, -0.2, -1), (1, -1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (-1, -1, 1), (-1, -1, 1)], [(1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, -1, 1), (1, 1, -1), (1, 1, -1), (-1, 1, -1), (1, -1, 1), (1, -1, 1)], [(1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (1, 1, -1), (1, -0.2, -1), (1, 1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -0.2, -1)], [(-1, -1, 1), (-1, 1, -1), (1, 1, -1), (1, -0.2, -1), (-1, -1, 1), (1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, 1, -1)], [(1, 1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (1, 1, -1), (-1, 1, -1), (-1, 1, -1), (-1, -1, 1), (1, -0.2, -1)], [(1, -1, 1), (1, -0.2, -1), (-1, -1, 1), (1, -0.2, -1), (-1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -0.2, -1), (1, -1, 1)], [(1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (1, 1, -1), (1, -0.2, -1), (1, 1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -0.2, -1)]]	3	['left', 'left', 'left', 'left', 'right', 'right', 'left', 'right', 'left']	[4.337009100243449, 7.314907500054687, 10.235275600105524, 13.90773000009358, 15.034774499945343, 18.23590369988233, 19.082516300026327, 21.991409200243652, 22.431434399913996]	NA	NA	NA	NA	NA	NA	NA	NA	NA	rsd	001	2026-03-17_13h13.08.719	CMT	2023.1.0	59.96178047496932	NA
1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	210.88555609993637	NA	NA	NA	NA	NA	NA	['y']	[7.689267800189555]	NA	NA	NA	NA	NA	NA	NA	rsd	001	2026-03-17_13h13.08.719	CMT	2023.1.0	59.96178047496932	NA
NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	228.6330817998387	229.16461770003664	229.16461770003664	[[(1, -1, -1), (1, -1, -1), (-1, -1, 1), (-1, 1, -1), (-1, 1, -1), (-1, 1, -1), (-1, -1, 1), (-1, 1, -1), (1, -1, 1)], [(1, 1, -1), (1, -1, -1), (1, -1, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (1, -1, -1), (1, 1, -1), (1, 1, -1)], [(-1, -1, 1), (1, 1, -1), (-1, 1, -1), (1, 1, -1), (-1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1)], [(1, -1, -1), (1, -1, -1), (-1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, -1), (-1, 1, -1), (1, -1, 1)], [(1, -0.2, -1), (1, -0.2, -1), (-1, 1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, 1), (1, -0.2, -1), (1, -1, 1)], [(-1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, 1), (-1, -1, 1), (1, -1, 1)], [(1, -1, 1), (-1, 1, -1), (1, -1, 1), (1, -1, 1), (1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, 1, -1), (-1, -1, 1)], [(1, -0.2, -1), (1, -0.2, -1), (-1, 1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, 1), (1, -0.2, -1), (1, -1, 1)]]	4	['left', 'left', 'left', 'left', 'right', 'left', 'left']	[4.674281800165772, 7.540434000082314, 10.219569600187242, 13.410718400031328, 16.204943399876356, 20.349208199884742, 22.55621730023995]	NA	NA	NA	NA	NA	NA	NA	NA	NA	rsd	001	2026-03-17_13h13.08.719	CMT	2023.1.0	59.96178047496932	NA
NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	253.15863780025393	NA	253.67549759987745	[[(1, -0.2, -1), (1, -1, -1), (-1, -1, 1), (1, -1, -1), (-1, -1, 1), (-1, 1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -0.2, -1)], [(-1, -1, 1), (-1, -1, 1), (1, -0.2, -1), (-1, 1, -1), (1, -0.2, -1), (1, 1, -1), (1, 1, -1), (-1, -1, 1), (-1, 1, -1)], [(1, -1, 1), (1, -1, 1), (-1, 1, -1), (1, -1, 1), (-1, 1, -1), (1, -1, -1), (1, -1, -1), (1, -1, 1), (1, -1, 1)], [(1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, -1, 1), (1, -1, 1), (1, 1, -1), (1, 1, -1), (1, -1, 1), (-1, -1, 1)], [(-1, 1, -1), (1, -1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, -1), (1, -0.2, -1), (1, -0.2, -1), (-1, -1, 1), (1, -0.2, -1)], [(1, 1, -1), (-1, -1, 1), (1, -0.2, -1), (1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, 1, -1), (1, -0.2, -1), (-1, -1, 1)], [(-1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (-1, 1, -1), (1, 1, -1), (1, 1, -1), (-1, 1, -1)], [(-1, -1, 1), (-1, -1, 1), (1, -0.2, -1), (-1, 1, -1), (1, -0.2, -1), (1, 1, -1), (1, 1, -1), (-1, -1, 1), (-1, 1, -1)]]	1	['left', 'left', 'left', 'left', 'left', 'left', 'left']	[4.836333199869841, 8.097827800083905, 10.959764000028372, 13.841028599999845, 16.259629500098526, 19.203981999773532, 22.527279399801046]	NA	NA	NA	NA	NA	NA	NA	NA	NA	rsd	001	2026-03-17_13h13.08.719	CMT	2023.1.0	59.96178047496932	NA
NA	NA	NA	NA	NA	NA	NA	NA	2	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	277.6385615002364	NA	278.1721657002345	[[(1, -1, 1), (1, -1, 1), (1, 1, -1), (-1, -1, 1), (-1, 1, -1), (1, -1, 1), (-1, 1, -1), (1, 1, -1), (-1, -1, 1)], [(1, -0.2, -1), (1, -0.2, -1), (-1, -1, 1), (1, -0.2, -1), (1, -1, -1), (1, -0.2, -1), (-1, 1, -1), (1, -1, -1), (-1, 1, -1)], [(1, -1, 1), (-1, 1, -1), (1, -1, 1), (-1, -1, 1), (-1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, 1, -1)], [(1, -0.2, -1), (1, -1, 1), (1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (-1, -1, 1)], [(1, 1, -1), (1, -1, 1), (-1, -1, 1), (-1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (-1, -1, 1), (1, -1, 1)], [(1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (-1, -1, 1), (1, -0.2, -1), (-1, 1, -1), (-1, 1, -1)], [(1, -0.2, -1), (-1, 1, -1), (1, 1, -1), (1, -0.2, -1), (1, -0.2, -1), (1, -0.2, -1), (-1, -1, 1), (-1, 1, -1), (-1, -1, 1)], [(1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, -0.2, -1), (1, -0.2, -1), (-1, -1, 1), (1, -0.2, -1), (-1, 1, -1), (-1, 1, -1)]]	5	['left', 'left', 'left', 'left', 'right', 'left', 'right', 'right']	[4.011308200191706, 7.416252300143242, 10.255574699956924, 13.394892599899322, 17.07719189999625, 17.42221330013126, 19.264338599983603, 23.05593870021403]	NA	NA	NA	NA	NA	NA	NA	NA	NA	rsd	001	2026-03-17_13h13.08.719	CMT	2023.1.0	59.96178047496932	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	302.16853290004656	NA	NA	[[(1, -1, 1), (1, -1, 1), (1, 0.5, -1), (1, 1, -1), (-1, 1, -1), (-1, -1, 1), (1, 0.5, -1), (-1, 1, -1), (-1, -1, 1)], [(1, 1, -1), (1, 0.5, -1), (1, 1, -1), (1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, 1, -1), (-1, 1, -1), (1, 0.5, -1)], [(1, -1, -1), (-1, 1, -1), (1, -1, -1), (-1, 1, -1), (1, -1, -1), (-1, 1, -1), (1, 0.5, -1), (-1, 1, -1), (1, -1, -1)], [(1, -1, -1), (1, -1, -1), (1, 1, -1), (1, -1, -1), (1, 0.5, -1), (-1, -1, 1), (1, 0.5, -1), (1, 0.5, -1), (1, 0.5, -1)], [(1, 0.5, -1), (-1, 1, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, 0.5, -1), (1, -1, 1), (-1, 1, -1)], [(1, 0.5, -1), (-1, 1, -1), (1, 1, -1), (-1, -1, 1), (1, 0.5, -1), (1, 0.5, -1), (1, 0.5, -1), (1, 0.5, -1), (1, -1, 1)], [(1, 1, -1), (1, -1, 1), (1, -1, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, -1)], [(1, 1, -1), (1, -1, 1), (1, -1, -1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, 1), (1, -1, -1)]]	6	NA	NA	NA	NA	302.6694904002361	['left', 'left', 'right', 'left', 'right', 'left']	[4.008829100057483, 8.05820979969576, 10.095272399950773, 15.165952399838716, 16.759244199842215, 20.492322199977934]	NA	NA	NA	NA	rsd	001	2026-03-17_13h13.08.719	CMT	2023.1.0	59.96178047496932	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	NA	NA	326.6486590998247	NA	NA	[[(1, 1, -1), (1, 0.5, -1), (1, 1, -1), (1, 0.5, -1), (1, 1, -1), (1, 1, -1), (1, 1, -1), (-1, 1, -1), (1, -1, -1)], [(1, -1, -1), (1, -1, 1), (1, 0.5, -1), (-1, -1, 1), (-1, 1, -1), (-1, 1, -1), (-1, 1, -1), (1, -1, -1), (-1, -1, 1)], [(-1, -1, 1), (1, 1, -1), (1, -1, -1), (-1, 1, -1), (-1, -1, 1), (1, -1, 1), (-1, 1, -1), (-1, -1, 1), (1, -1, -1)], [(1, -1, -1), (-1, -1, 1), (1, -1, -1), (1, 1, -1), (-1, -1, 1), (1, -1, 1), (1, 1, -1), (1, 1, -1), (1, -1, -1)], [(-1, -1, 1), (1, -1, 1), (-1, 1, -1), (1, 1, -1), (-1, -1, 1), (-1, 1, -1), (-1, 1, -1), (1, -1, -1), (-1, -1, 1)], [(1, 0.5, -1), (1, -1, -1), (1, -1, -1), (1, 0.5, -1), (1, -1, -1), (1, -1, 1), (1, 0.5, -1), (-1, 1, -1), (-1, -1, 1)], [(-1, -1, 1), (1, -1, -1), (1, -1, 1), (1, -1, 1), (1, 0.5, -1), (-1, -1, 1), (1, -1, 1), (-1, 1, -1), (1, 0.5, -1)], [(-1, -1, 1), (1, 1, -1), (1, -1, -1), (-1, 1, -1), (-1, -1, 1), (1, -1, 1), (-1, 1, -1), (-1, -1, 1), (1, -1, -1)]]	2	NA	NA	NA	NA	327.1850525001064	['left', 'left', 'right', 'left', 'right', 'left', 'right', 'left']	[2.10281280009076, 4.254794599954039, 7.011202199850231, 10.781622999813408, 14.762383900117129, 16.031611000187695, 19.746387499850243, 22.280061500146985]	NA	NA	NA	NA	rsd	001	2026-03-17_13h13.08.719	CMT	2023.1.0	59.96178047496932	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	2	0	NA	NA	NA	NA	351.1617040000856	NA	NA	[[(-1, 1, -1), (1, -1, 1), (1, -1, -1), (1, -1, 1), (1, 1, -1), (1, -1, 1), (1, -1, -1), (1, -1, -1), (1, -1, 1)], [(-1, -1, 1), (1, 0.5, -1), (1, -1, 1), (1, -1, -1), (1, 0.5, -1), (1, -1, -1), (-1, -1, 1), (1, 0.5, -1), (-1, -1, 1)], [(1, -1, -1), (1, 0.5, -1), (1, 0.5, -1), (1, 0.5, -1), (1, -1, 1), (-1, -1, 1), (-1, 1, -1), (1, -1, -1), (1, -1, -1)], [(1, 1, -1), (-1, 1, -1), (1, 1, -1), (1, 0.5, -1), (1, 0.5, -1), (1, -1, 1), (1, 0.5, -1), (1, 0.5, -1), (-1, -1, 1)], [(1, 1, -1), (1, -1, -1), (1, 1, -1), (-1, -1, 1), (1, -1, 1), (1, -1, -1), (-1, 1, -1), (1, 1, -1), (1, -1, -1)], [(-1, 1, -1), (-1, 1, -1), (1, 1, -1), (-1, -1, 1), (-1, -1, 1), (1, 0.5, -1), (-1, -1, 1), (1, 0.5, -1), (1, -1, 1)], [(1, -1, 1), (1, 0.5, -1), (1, -1, 1), (1, -1, 1), (1, 0.5, -1), (1, -1, 1), (-1, -1, 1), (1, -1, -1), (1, -1, 1)], [(-1, -1, 1), (1, 0.5, -1), (1, -1, 1), (1, -1, -1), (1, 0.5, -1), (1, -1, -1), (-1, -1, 1), (1, 0.5, -1), (-1, -1, 1)]]	1	NA	NA	NA	NA	351.67890840023756	['left', 'left', 'left', 'left', 'right', 'left', 'left', 'right']	[2.422670300118625, 3.9177904999814928, 7.470473399851471, 10.348826800007373, 14.47178030014038, 15.974751700181514, 18.74302380019799, 22.399717799853534]	NA	NA	NA	NA	rsd	001	2026-03-17_13h13.08.719	CMT	2023.1.0	59.96178047496932	NA
